game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp,offense_rp,defense_rp,opponent_overall_rp,opponent_offense_rp,opponent_defense_rp,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_spread_field,full_game_model_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog,candidate_key,candidate_label,historical_record,historical_ats_pct,historical_avg_ats_margin,historical_median_ats_margin
g16,1,2026-09-03,Massachusetts,Rutgers,Rutgers,Massachusetts,home,47.0,49.0,46.0,46.0,49.0,43.0,1.0,6.0,-3.0,projection_spread_home,31.105,15.5525,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g33,1,2026-09-05,UCLA,California,California,UCLA,home,58.0,70.0,45.0,67.0,73.0,61.0,-9.0,9.0,-28.0,projection_spread_home,1.6675,0.83375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g46,1,2026-09-05,Northern Illinois,Iowa,Iowa,Northern Illinois,home,44.0,48.0,40.0,48.0,68.0,28.0,-4.0,20.0,-28.0,projection_spread_home,34.0475,17.02375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g57,1,2026-09-05,Western Michigan,Michigan,Michigan,Western Michigan,home,63.0,72.0,55.0,51.0,60.0,42.0,12.0,30.0,-5.0,projection_spread_home,25.26,12.63,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g60,1,2026-09-05,UL-Monroe,Mississippi State,Mississippi State,UL-Monroe,home,48.0,44.0,52.0,51.0,63.0,40.0,-3.0,4.0,-11.0,projection_spread_home,28.3225,14.16125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g64,1,2026-09-05,Central Michigan,New Mexico,New Mexico,Central Michigan,home,63.0,68.0,58.0,46.0,62.0,29.0,17.0,39.0,-4.0,projection_spread_home,11.1875,5.59375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g89,1,2026-09-05,Oklahoma State,Tulsa,Oklahoma State,Tulsa,away,58.0,62.0,53.0,62.0,64.0,60.0,-4.0,2.0,-11.0,projection_spread_home,10.5925,5.29625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g72,1,2026-09-05,Marshall,Penn State,Penn State,Marshall,home,52.0,50.0,53.0,48.0,61.0,36.0,4.0,14.0,-8.0,projection_spread_home,27.0225,13.51125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g85,1,2026-09-05,Texas State,Texas,Texas,Texas State,home,68.0,73.0,63.0,56.0,70.0,43.0,12.0,30.0,-7.0,projection_spread_home,31.1375,15.56875,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g42,1,2026-09-05,UNLV,Hawaii,UNLV,Hawaii,away,40.0,40.0,40.0,45.0,54.0,37.0,-5.0,3.0,-14.0,projection_spread_home,2.2725,1.13625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g122,2,2026-09-12,Navy,Florida Atlantic,Florida Atlantic,Navy,home,64.0,62.0,65.0,47.0,33.0,61.0,17.0,1.0,32.0,projection_spread_home,-8.805,-4.4025,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g154,2,2026-09-12,Jacksonville State,Ohio,Jacksonville State,Ohio,away,57.0,60.0,54.0,33.0,18.0,48.0,24.0,12.0,36.0,projection_spread_home,-3.2075,-1.60375,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g164,2,2026-09-12,California,Syracuse,California,Syracuse,away,58.0,70.0,45.0,62.0,56.0,67.0,-4.0,3.0,-11.0,projection_spread_home,2.1125,1.05625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g129,2,2026-09-12,Duke,Illinois,Illinois,Duke,home,50.0,52.0,47.0,49.0,48.0,51.0,1.0,1.0,-1.0,projection_spread_home,6.1625,3.08125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g131,2,2026-09-12,Iowa State,Iowa,Iowa,Iowa State,home,44.0,48.0,40.0,45.0,44.0,46.0,-1.0,2.0,-4.0,projection_spread_home,13.9825,6.99125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g137,2,2026-09-12,Louisiana Tech,LSU,LSU,Louisiana Tech,home,61.0,61.0,60.0,56.0,64.0,48.0,5.0,13.0,-4.0,projection_spread_home,31.17,15.585,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g142,2,2026-09-12,Oklahoma,Michigan,Michigan,Oklahoma,home,63.0,72.0,55.0,65.0,75.0,55.0,-2.0,17.0,-20.0,projection_spread_home,0.81,0.405,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g167,2,2026-09-12,Ohio State,Texas,Ohio State,Texas,away,60.0,71.0,50.0,68.0,73.0,63.0,-8.0,8.0,-23.0,projection_spread_home,2.7225,1.36125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g166,2,2026-09-12,Penn State,Temple,Penn State,Temple,away,52.0,50.0,53.0,53.0,62.0,43.0,-1.0,7.0,-9.0,projection_spread_home,21.915,10.9575,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g169,2,2026-09-12,UTSA,Texas State,Texas State,UTSA,home,56.0,70.0,43.0,54.0,64.0,44.0,2.0,26.0,-21.0,projection_spread_home,1.2425,0.62125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g187,3,2026-09-18,Houston,Texas Tech,Texas Tech,Houston,home,65.0,67.0,64.0,65.0,71.0,58.0,0.0,9.0,-7.0,projection_spread_home,17.9375,8.96875,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g231,3,2026-09-19,East Carolina,Old Dominion,East Carolina,Old Dominion,away,42.0,33.0,50.0,40.0,23.0,58.0,2.0,-25.0,27.0,projection_spread_home,-0.56,-0.28,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g191,3,2026-09-19,Northern Illinois,Arizona,Arizona,Northern Illinois,home,60.0,66.0,55.0,48.0,68.0,28.0,12.0,38.0,-13.0,projection_spread_home,30.08,15.04,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g199,3,2026-09-19,Wyoming,Central Michigan,Central Michigan,Wyoming,home,46.0,62.0,29.0,40.0,43.0,36.0,6.0,26.0,-14.0,projection_spread_home,1.4125,0.70625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g223,3,2026-09-19,Troy,Missouri,Missouri,Troy,home,49.0,59.0,40.0,39.0,47.0,32.0,10.0,27.0,-7.0,projection_spread_home,24.9125,12.45625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g228,3,2026-09-19,Kent State,Ohio State,Ohio State,Kent State,home,60.0,71.0,50.0,48.0,57.0,39.0,12.0,32.0,-7.0,projection_spread_home,53.5225,26.76125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g229,3,2026-09-19,New Mexico,Oklahoma,Oklahoma,New Mexico,home,65.0,75.0,55.0,63.0,68.0,58.0,2.0,17.0,-13.0,projection_spread_home,24.1275,12.06375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g248,3,2026-09-19,UTSA,Texas,Texas,UTSA,home,68.0,73.0,63.0,54.0,64.0,44.0,14.0,29.0,-1.0,projection_spread_home,30.08,15.04,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g262,4,2026-09-25,Clemson,California,Clemson,California,away,53.0,46.0,61.0,58.0,70.0,45.0,-5.0,1.0,-9.0,projection_spread_home,7.42,3.71,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g306,4,2026-09-26,James Madison,Old Dominion,Old Dominion,James Madison,home,40.0,23.0,58.0,30.0,27.0,32.0,10.0,-9.0,31.0,projection_spread_home,-1.5225,-0.76125,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g265,4,2026-09-26,South Carolina,Alabama,South Carolina,Alabama,away,68.0,76.0,61.0,48.0,35.0,61.0,20.0,15.0,26.0,projection_spread_home,-11.1925,-5.59625,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g313,4,2026-09-26,Georgia Tech,Stanford,Stanford,Georgia Tech,home,60.0,58.0,62.0,49.0,37.0,61.0,11.0,-3.0,25.0,projection_spread_home,-7.7375,-3.86875,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g314,4,2026-09-26,Army,Temple,Army,Temple,away,50.0,67.0,33.0,53.0,62.0,43.0,-3.0,24.0,-29.0,projection_spread_home,3.4475,1.72375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g330,4,2026-09-26,Boise State,Western Michigan,Boise State,Western Michigan,away,57.0,60.0,55.0,51.0,60.0,42.0,6.0,18.0,-5.0,projection_spread_home,8.4725,4.23625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g283,4,2026-09-26,Oklahoma,Georgia,Georgia,Oklahoma,home,68.0,63.0,72.0,65.0,75.0,55.0,3.0,8.0,-3.0,projection_spread_home,8.5025,4.25125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g285,4,2026-09-26,Northern Illinois,Georgia State,Georgia State,Northern Illinois,home,38.0,48.0,27.0,48.0,68.0,28.0,-10.0,20.0,-41.0,projection_spread_home,0.2625,0.13125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g331,4,2026-09-26,Hawaii,Wyoming,Hawaii,Wyoming,away,45.0,54.0,37.0,40.0,43.0,36.0,5.0,18.0,-6.0,projection_spread_home,5.1125,2.55625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g275,4,2026-09-26,Kansas State,Cincinnati,Kansas State,Cincinnati,away,58.0,65.0,51.0,57.0,57.0,56.0,1.0,9.0,-6.0,projection_spread_home,2.44,1.22,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g289,4,2026-09-26,Ball State,Kent State,Kent State,Ball State,home,48.0,57.0,39.0,36.0,47.0,24.0,12.0,33.0,-8.0,projection_spread_home,4.4275,2.21375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g295,4,2026-09-26,Central Michigan,Miami-FL,Miami-FL,Central Michigan,home,49.0,48.0,51.0,46.0,62.0,29.0,3.0,19.0,-11.0,projection_spread_home,37.3275,18.66375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g299,4,2026-09-26,Missouri,Mississippi State,Missouri,Mississippi State,away,49.0,59.0,40.0,48.0,44.0,52.0,1.0,7.0,-4.0,projection_spread_home,6.4875,3.24375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g305,4,2026-09-26,Illinois,Ohio State,Ohio State,Illinois,home,60.0,71.0,50.0,50.0,52.0,47.0,10.0,24.0,-2.0,projection_spread_home,24.425,12.2125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g321,4,2026-09-26,Oregon,USC,Oregon,USC,away,66.0,65.0,66.0,65.0,67.0,64.0,1.0,1.0,-1.0,projection_spread_home,6.8175,3.40875,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g264,4,2026-09-26,UNLV,Akron,UNLV,Akron,away,40.0,40.0,40.0,40.0,44.0,37.0,0.0,3.0,-4.0,projection_spread_home,17.54,8.77,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g326,4,2026-09-26,Minnesota,Washington,Washington,Minnesota,home,65.0,69.0,61.0,68.0,71.0,65.0,-3.0,4.0,-10.0,projection_spread_home,12.2075,6.10375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g328,4,2026-09-26,Oklahoma State,West Virginia,West Virginia,Oklahoma State,home,52.0,57.0,46.0,58.0,62.0,53.0,-6.0,4.0,-16.0,projection_spread_home,2.5375,1.26875,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
