game_id,week,away_team,home_team,angle_index,signal_group,signal_type,headline,detail,evidence,strength,direction,market,category,record,wins,losses,pushes,historical_pct,sample_size,raw_fields
g1,0.0,Sacramento State,Eastern Michigan,0,Returning Production,High Overall RP vs Low Overall RP,Eastern Michigan returning production edge,"Eastern Michigan triggers High Overall RP vs Low Overall RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Fade,Eastern Michigan,Total,Returning production,18-21-1,18.0,21.0,1.0,62.0,40.0,"{""confidence"": ""High"", ""detail"": ""Eastern Michigan triggers High Overall RP vs Low Overall RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023\u201325 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games."", ""direction"": ""Eastern Michigan"", ""headline"": ""Eastern Michigan returning production edge"", ""historical_ats_pct"": ""0.46153846153846156"", ""historical_ats_record"": ""18-21-1"", ""historical_avg_ats_margin"": ""-1.1039583333333334"", ""historical_games"": ""40"", ""market"": ""Spread"", ""opponent"": ""Sacramento State"", ""period"": ""Full Game"", ""signal_group"": ""Returning Production"", ""signal_type"": ""High Overall RP vs Low Overall RP"", ""source"": ""2026 Bill Connelly/SP+ RP + 2023\u201325 SP+ RP historical backtest with CFBD lines"", ""strength"": ""Fade"", ""team"": ""Eastern Michigan""}"
g1,0.0,Sacramento State,Eastern Michigan,1,Returning Production,High Defense RP vs Low Offense RP,Eastern Michigan returning production edge,"Eastern Michigan triggers High Defense RP vs Low Offense RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Fade,Eastern Michigan,Total,Returning production,17-20-0,17.0,20.0,0.0,62.0,37.0,"{""confidence"": ""High"", ""detail"": ""Eastern Michigan triggers High Defense RP vs Low Offense RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023\u201325 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games."", ""direction"": ""Eastern Michigan"", ""headline"": ""Eastern Michigan returning production edge"", ""historical_ats_pct"": ""0.4594594594594595"", ""historical_ats_record"": ""17-20-0"", ""historical_avg_ats_margin"": ""-1.2331081081081081"", ""historical_games"": ""37"", ""market"": ""Spread"", ""opponent"": ""Sacramento State"", ""period"": ""Full Game"", ""signal_group"": ""Returning Production"", ""signal_type"": ""High Defense RP vs Low Offense RP"", ""source"": ""2026 Bill Connelly/SP+ RP + 2023\u201325 SP+ RP historical backtest with CFBD lines"", ""strength"": ""Fade"", ""team"": ""Eastern Michigan""}"
g1,0.0,Sacramento State,Eastern Michigan,2,betting_angle,coach_ats,Coach ATS fade,"Chris Creighton Full Game Favorite: 21-27 ATS (43.8%), avg ATS margin -2.9 over 48 games. Supports Sacramento State by fading Eastern Michigan.",,medium,Sacramento State,Total,Coach trend,21-27,21.0,27.0,0.0,43.8,48.0,"{""confidence"": ""medium"", ""detail"": ""Chris Creighton Full Game Favorite: 21-27 ATS (43.8%), avg ATS margin -2.9 over 48 games. Supports Sacramento State by fading Eastern Michigan."", ""direction"": ""Sacramento State"", ""headline"": ""Coach ATS fade"", ""historical_ats_pct"": null, ""historical_ats_record"": null, ""historical_avg_ats_margin"": null, ""historical_games"": null, ""market"": null, ""opponent"": null, ""period"": null, ""signal_group"": ""betting_angle"", ""signal_type"": ""coach_ats"", ""source"": ""game_betting_angles_2026.csv"", ""strength"": ""medium"", ""team"": ""Sacramento State""}"
g1,0.0,Sacramento State,Eastern Michigan,3,betting_angle,cross_book_spread_outlier,Stale opener: spread,"BetUS opened -9, 1.0 points from the 13-book opening median -8.",,high,Eastern Michigan Eagles,Spread,Other,,,,,,,"{""confidence"": ""high"", ""detail"": ""BetUS opened -9, 1.0 points from the 13-book opening median -8."", ""direction"": ""Eastern Michigan Eagles"", ""headline"": ""Stale opener: spread"", ""historical_ats_pct"": null, ""historical_ats_record"": null, ""historical_avg_ats_margin"": null, ""historical_games"": null, ""market"": null, ""opponent"": null, ""period"": null, ""signal_group"": ""betting_angle"", ""signal_type"": ""cross_book_spread_outlier"", ""source"": ""game_betting_angles_2026.csv"", ""strength"": ""high"", ""team"": ""Eastern Michigan Eagles""}"
g1,0.0,Sacramento State,Eastern Michigan,4,betting_angle,cross_book_spread_outlier,Stale opener: spread,"FanDuel opened -8.5, 1.0 points from the 11-book opening median -7.5.",,high,Eastern Michigan,Spread,Other,,,,,,,"{""confidence"": ""high"", ""detail"": ""FanDuel opened -8.5, 1.0 points from the 11-book opening median -7.5."", ""direction"": ""Eastern Michigan"", ""headline"": ""Stale opener: spread"", ""historical_ats_pct"": null, ""historical_ats_record"": null, ""historical_avg_ats_margin"": null, ""historical_games"": null, ""market"": null, ""opponent"": null, ""period"": null, ""signal_group"": ""betting_angle"", ""signal_type"": ""cross_book_spread_outlier"", ""source"": ""game_betting_angles_2026.csv"", ""strength"": ""high"", ""team"": ""Eastern Michigan""}"
g1,0.0,Sacramento State,Eastern Michigan,5,betting_angle,high_variance,High model variance,"Sacramento State rating range 12.3 across SP+/FPI/TeamRankings; high source fpi, low source spplus.",,high,Sacramento State,Context,Other,,,,,,,"{""confidence"": ""high"", ""detail"": ""Sacramento State rating range 12.3 across SP+/FPI/TeamRankings; high source fpi, low source spplus."", ""direction"": ""Sacramento State"", ""headline"": ""High model variance"", ""historical_ats_pct"": null, ""historical_ats_record"": null, ""historical_avg_ats_margin"": null, ""historical_games"": null, ""market"": null, ""opponent"": null, ""period"": null, ""signal_group"": ""betting_angle"", ""signal_type"": ""high_variance"", ""source"": ""game_betting_angles_2026.csv"", ""strength"": ""high"", ""team"": ""Sacramento State""}"
g1,0.0,Sacramento State,Eastern Michigan,6,betting_angle,medium_variance,Medium+ model variance,Sacramento State rating range 12.3 across SP+/FPI/TeamRankings.,,high,Sacramento State,Context,Other,,,,,,,"{""confidence"": ""high"", ""detail"": ""Sacramento State rating range 12.3 across SP+/FPI/TeamRankings."", ""direction"": ""Sacramento State"", ""headline"": ""Medium+ model variance"", ""historical_ats_pct"": null, ""historical_ats_record"": null, ""historical_avg_ats_margin"": null, ""historical_games"": null, ""market"": null, ""opponent"": null, ""period"": null, ""signal_group"": ""betting_angle"", ""signal_type"": ""medium_variance"", ""source"": ""game_betting_angles_2026.csv"", ""strength"": ""high"", ""team"": ""Sacramento State""}"
g1,0.0,Sacramento State,Eastern Michigan,7,Returning Production,High Defense RP vs Low Offense RP,Eastern Michigan returning production edge,"Eastern Michigan triggers High Defense RP vs Low Offense RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023–25 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games.",,Fade,Eastern Michigan,Total,Returning production,17-20-0,17.0,20.0,0.0,62.0,37.0,"{""confidence"": ""High"", ""detail"": ""Eastern Michigan triggers High Defense RP vs Low Offense RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023\u201325 early-season High Defense RP vs Low Offense RP Favorites: 17-20-0 ATS, 45.9%, -1.23 ATS margin over 37 games."", ""direction"": ""Eastern Michigan"", ""headline"": ""Eastern Michigan returning production edge"", ""historical_ats_pct"": 0.4594594594594595, ""historical_ats_record"": ""17-20-0"", ""historical_avg_ats_margin"": -1.233108108108108, ""historical_games"": 37, ""market"": ""Spread"", ""opponent"": ""Sacramento State"", ""period"": ""Full Game"", ""signal_group"": ""Returning Production"", ""signal_type"": ""High Defense RP vs Low Offense RP"", ""source"": ""2026 Bill Connelly/SP+ RP + 2023\u201325 SP+ RP historical backtest with CFBD lines"", ""strength"": ""Fade"", ""team"": ""Eastern Michigan""}"
g2,0.0,New Mexico State,Florida State,0,betting_angle,coach_1h,Coach 1H fade,"Tony Sanchez 1H Underdog: 8-10 ATS (44.4%), avg ATS margin -1.8 over 18 games. Supports Florida State by fading New Mexico State.",,medium,Florida State,1H,Coach trend,8-10,8.0,10.0,0.0,44.4,18.0,"{""confidence"": ""medium"", ""detail"": ""Tony Sanchez 1H Underdog: 8-10 ATS (44.4%), avg ATS margin -1.8 over 18 games. Supports Florida State by fading New Mexico State."", ""direction"": ""Florida State"", ""headline"": ""Coach 1H fade"", ""historical_ats_pct"": null, ""historical_ats_record"": null, ""historical_avg_ats_margin"": null, ""historical_games"": null, ""market"": null, ""opponent"": null, ""period"": null, ""signal_group"": ""betting_angle"", ""signal_type"": ""coach_1h"", ""source"": ""game_betting_angles_2026.csv"", ""strength"": ""medium"", ""team"": ""Florida State""}"
g2,0.0,New Mexico State,Florida State,1,betting_angle,coach_2h,Coach 2H fade,"Mike Norvell 2H Favorite: 4-8 ATS (33.3%), avg ATS margin -3.0 over 12 games. Supports New Mexico State by fading Florida State.",,high,New Mexico State,2H,Coach trend,4-8,4.0,8.0,0.0,33.3,12.0,"{""confidence"": ""high"", ""detail"": ""Mike Norvell 2H Favorite: 4-8 ATS (33.3%), avg ATS margin -3.0 over 12 games. Supports New Mexico State by fading Florida State."", ""direction"": ""New Mexico State"", ""headline"": ""Coach 2H fade"", ""historical_ats_pct"": null, ""historical_ats_record"": null, ""historical_avg_ats_margin"": null, ""historical_games"": null, ""market"": null, ""opponent"": null, ""period"": null, ""signal_group"": ""betting_angle"", ""signal_type"": ""coach_2h"", ""source"": ""game_betting_angles_2026.csv"", ""strength"": ""high"", ""team"": ""New Mexico State""}"
