season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rp_team_norm,rp_opponent_norm,team_pair_key,season_year,event_id,starts_at,away_team,home_team,away_team_id,home_team_id,completed,odds_present,odds_available,away_final_points,home_final_points,home_final_margin,final_total_points,away_1h_points,home_1h_points,home_1h_margin,one_h_total_points,away_2h_points_incl_ot,home_2h_points_incl_ot,home_2h_margin_incl_ot,two_h_total_points_incl_ot,home_game_spread,home_game_spread_book,home_game_spread_price,away_game_spread,away_game_spread_book,away_game_spread_price,game_total,game_over_book,game_over_price,game_under_price,home_game_ats_result,game_total_result,home_1h_spread,home_1h_spread_book,home_1h_spread_price,away_1h_spread,away_1h_spread_book,away_1h_spread_price,one_h_total,one_h_over_book,one_h_over_price,one_h_under_price,home_1h_ats_result,one_h_total_result,home_2h_spread,home_2h_spread_book,home_2h_spread_price,away_2h_spread,away_2h_spread_book,away_2h_spread_price,two_h_total,two_h_over_book,two_h_over_price,two_h_under_price,home_2h_ats_result,two_h_total_result,away_norm,home_norm,starts_at_dt,_merge
2024,1,401628322,Florida,Miami,P4_vs_P4,2.0,under_5,17.0,-13.0,2.5,L,-21.5,,False,florida,miami,florida||miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,1,401628334,LSU,USC,P4_vs_P4,13.0,5_to_14_9,6.0,20.0,-3.5,L,-10.5,,False,lsu,usc,lsu||usc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,2,401628342,Ole Miss,Middle Tennessee,P4_vs_G6,16.0,15_to_24_9,39.0,-5.0,-42.5,W,6.5,,True,ole miss,middle tennessee,middle tennessee||ole miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,2,401628344,Missouri,Buffalo,P4_vs_G6,39.0,25_plus,51.0,27.0,-34.5,W,3.5,,True,missouri,buffalo,buffalo||missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,4,401628365,LSU,UCLA,P4_vs_P4,12.0,5_to_14_9,4.0,20.0,-21.5,L,-4.5,,False,lsu,ucla,lsu||ucla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,4,401628371,Texas,UL Monroe,P4_vs_G6,30.0,25_plus,33.0,27.0,-41.5,W,6.5,,False,texas,ul monroe,texas||ul monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,2,401635535,Jacksonville State,Louisville,G6_vs_P4,3.0,under_5,-18.0,24.0,27.5,L,-7.5,,False,jacksonville state,louisville,jacksonville state||louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,4,401635553,Duke,Middle Tennessee,P4_vs_G6,10.0,5_to_14_9,21.0,0.0,-14.5,W,13.5,,False,duke,middle tennessee,duke||middle tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,4,401635555,South Florida,Miami,G6_vs_P4,6.0,5_to_14_9,34.0,-21.0,15.5,L,-19.5,,True,south florida,miami,miami||south florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2024,2,401636617,Sam Houston,UCF,G6_vs_P4,15.0,15_to_24_9,3.0,26.0,21.5,L,-9.5,,False,sam houston,ucf,sam houston||ucf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
