season,completed_week,target_week,game_id,date,away_team,home_team,baseline_market_spread,shadow_spread,later_market_spread,baseline_spread_error_to_later_market,shadow_spread_error_to_later_market,spread_market_error_improvement,shadow_improved_later_spread_estimate,baseline_market_total,shadow_total,later_market_total,baseline_total_error_to_later_market,shadow_total_error_to_later_market,total_market_error_improvement,shadow_improved_later_total_estimate,shadow_spread_movement_direction,later_spread_movement_direction,spread_direction_agreement,shadow_total_movement_direction,later_total_movement_direction,total_direction_agreement,actual_home_margin,baseline_spread_error_to_actual,shadow_spread_error_to_actual,shadow_improved_actual_spread_diagnostic,actual_total,baseline_total_error_to_actual,shadow_total_error_to_actual,shadow_improved_actual_total_diagnostic,eligibility_notes,provenance
2025,13,14,401762868,2025-11-25T21:30:00.000Z,Bowling Green,Massachusetts,15.5,19.80130581526663,14.5,1.0,5.30130581526663,-4.30130581526663,False,44.5,40.226548343168865,44.5,0.0,4.273451656831135,-4.273451656831135,False,up,down,False,down,unchanged,False,-31.0,15.5,11.19869418473337,True,59.0,14.5,18.773451656831135,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401762869,2025-11-26T00:30:00.000Z,Western Michigan,Eastern Michigan,6.5,7.829612454610958,9.5,3.0,1.6703875453890422,1.3296124546109578,True,45.5,,49.5,,,,,up,up,True,,up,,-10.0,3.5,2.170387545389042,True,52.0,6.5,,,missing eligible total adjustment,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401762516,2025-11-28T00:30:00.000Z,Navy,Memphis,-5.5,,-3.5,,,,,57.5,,57.5,,,,,,up,,,unchanged,,-11.0,16.5,,,45.0,12.5,,,missing eligible total adjustment,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752788,2025-11-28T17:00:00.000Z,Ole Miss,Mississippi State,13.5,,7.5,,,,,59.5,,62.5,,,,,,down,,,up,,-19.0,5.5,,,57.0,2.5,,,missing eligible total adjustment,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752916,2025-11-28T17:00:00.000Z,Iowa,Nebraska,-2.5,0.9128909225205977,5.5,8.0,4.587109077479402,3.4128909225205977,True,44.5,42.4542941939102,38.5,6.0,3.9542941939102008,2.0457058060897992,True,up,up,True,down,down,True,-24.0,26.5,23.087109077479404,True,56.0,11.5,13.5457058060898,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401756964,2025-11-28T17:00:00.000Z,Utah,Kansas,13.5,16.553410126339905,10.5,3.0,6.053410126339905,-3.053410126339905,False,58.5,62.859545176250464,59.5,1.0,3.359545176250464,-2.359545176250464,False,up,down,False,up,up,True,-10.0,3.5,6.553410126339905,False,52.0,6.5,10.859545176250464,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401762870,2025-11-28T17:00:00.000Z,Ohio,Buffalo,6.5,11.495034802033913,7.5,1.0,3.9950348020339135,-2.9950348020339135,False,47.5,44.77748414776068,45.5,2.0,0.7225158522393187,1.2774841477606813,True,up,up,True,down,down,True,-5.0,1.5,6.4950348020339135,False,57.0,9.5,12.222515852239319,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401762871,2025-11-28T17:00:00.000Z,Kent State,Northern Illinois,-4.5,-4.379491660198024,-5.5,1.0,1.120508339801976,-0.12050833980197595,False,44.5,42.067275734188556,44.5,0.0,2.4327242658114443,-2.4327242658114443,False,up,down,False,down,unchanged,False,-4.0,8.5,8.379491660198024,True,66.0,21.5,23.932724265811444,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401760421,2025-11-28T20:00:00.000Z,Air Force,Colorado State,2.5,4.215268522112345,2.5,0.0,1.7152685221123454,-1.7152685221123454,False,50.5,47.1244203389867,47.5,3.0,0.37557966101329754,2.6244203389867025,True,up,unchanged,False,down,down,True,-21.0,18.5,16.784731477887654,True,63.0,12.5,15.875579661013298,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752786,2025-11-28T20:30:00.000Z,Georgia,Georgia Tech,13.5,18.738346082582176,15.5,2.0,3.2383460825821757,-1.2383460825821757,False,53.5,50.41497688315116,59.5,6.0,9.085023116848838,-3.085023116848838,False,up,up,True,down,up,False,-7.0,6.5,11.738346082582176,False,25.0,28.5,25.414976883151162,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
