team,spplus
Air Force,-2.4
Akron,-19.5
Alabama,18.2
Appalachian State,-12.1
Arizona,10.2
Arizona State,6.4
Arkansas,5.0
Arkansas State,-8.5
Army,-3.0
Auburn,11.2
BYU,15.5
Ball State,-25.2
Baylor,4.5
Boise State,6.8
Boston College,-1.5
Bowling Green,-13.3
Buffalo,-11.9
California,3.7
Central Florida,2.3
Central Michigan,-12.4
Charlotte,-32.4
Cincinnati,4.5
Clemson,12.8
Coastal Carolina,-13.8
Colorado,0.9
Colorado State,-8.3
Connecticut,-11.2
Delaware,-13.0
Duke,5.7
East Carolina,-2.0
Eastern Michigan,-15.0
Florida,14.9
Florida Atlantic,-7.1
Florida International,-13.7
Florida State,8.8
Fresno State,-2.3
Georgia,25.5
Georgia Southern,-8.9
Georgia State,-25.1
Georgia Tech,6.0
Hawaii,-3.9
Houston,8.2
Illinois,9.3
Indiana,24.5
Iowa,13.6
Iowa State,1.0
Jacksonville State,-7.7
James Madison,-2.1
Kansas,3.7
Kansas State,10.4
Kennesaw State,-9.3
Kent State,-20.1
Kentucky,3.8
LSU,20.2
Liberty,-6.4
Louisiana,-9.1
Louisiana Tech,-8.3
Louisville,11.0
Marshall,-6.4
Maryland,3.8
Massachusetts,-30.9
Memphis,-1.1
Miami-FL,21.0
Miami-OH,-2.9
Michigan,16.1
Michigan State,0.4
Middle Tennessee,-26.0
Minnesota,5.2
Mississippi State,3.9
Missouri,14.8
Missouri State,-18.7
NC State,4.9
Navy,1.1
Nebraska,7.7
Nevada,-12.2
New Mexico,-0.5
New Mexico State,-16.4
North Carolina,3.8
North Dakota State,-1.4
North Texas,-11.8
Northern Illinois,-18.2
Northwestern,4.6
Notre Dame,25.8
Ohio,-13.6
Ohio State,31.8
Oklahoma,17.2
Oklahoma State,7.1
Old Dominion,-5.8
Ole Miss,15.9
Oregon,28.3
Oregon State,-6.3
Penn State,15.7
Pittsburgh,6.5
Purdue,-2.9
Rice,-14.7
Rutgers,1.8
SMU,10.9
Sacramento State,-22.7
Sam Houston,-26.3
San Diego State,-1.3
San Jose State,-15.5
South Alabama,-13.3
South Carolina,12.1
South Florida,-2.8
Southern Miss,-23.3
Stanford,-1.9
Syracuse,-0.7
TCU,9.1
Temple,-8.7
Tennessee,16.0
Texas,23.7
Texas A&M,20.3
Texas State,-5.9
Texas Tech,23.1
Toledo,-11.5
Troy,-6.0
Tulane,-5.5
Tulsa,-7.6
UAB,-18.1
UCLA,5.1
UL-Monroe,-24.3
UNLV,2.8
USC,16.8
UTEP,-20.5
UTSA,-1.5
Utah,11.9
Utah State,-7.7
Vanderbilt,10.0
Virginia,6.6
Virginia Tech,9.4
Wake Forest,3.6
Washington,14.5
Washington State,-5.3
West Virginia,0.8
Western Kentucky,-5.3
Western Michigan,-7.2
Wisconsin,1.8
Wyoming,-9.6
