away_classification,away_moneyline_change,away_team,canonical_cfbd_game_id,canonical_game_id,date,home_classification,home_moneyline_change,home_spread_change,home_team,moneyline_available,moneyline_comparison_book,moneyline_comparison_status,moneyline_source_timestamp,moneyline_stale,neutral_site,previous_away_moneyline,previous_home_moneyline,previous_home_spread,previous_total,season,spread_available,spread_comparison_book,spread_comparison_status,spread_source_timestamp,spread_stale,staged_away_moneyline,staged_away_moneyline_price,staged_away_spread,staged_away_spread_price,staged_home_moneyline,staged_home_moneyline_price,staged_home_spread,staged_home_spread_price,staged_over_price,staged_total,staged_under_price,total_available,total_change,total_comparison_book,total_comparison_status,total_source_timestamp,total_stale,week
FBS,5.0,North Carolina,401856766,g5,2026-08-29,FBS,-8.0,0.0,TCU,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,True,205.0,-250.0,-6.5,49.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,210,210,6.5,-102,-258,-258,-6.5,-118,-110,48.5,-110,True,-1.0,draftkings,comparable,2026-08-01T14:00:33.064Z,False,0
FBS,,San Jose State,401864494,g7,2026-08-29,FBS,,-3.0,USC,,draftkings,same_book_pair_unavailable,,,False,,,-35.5,58.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,,,38.5,-110,,,-38.5,-110,-110,59.5,-110,True,1.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,0
FBS,56.0,NC State,401858202,g8,2026-08-29,FBS,-70.0,-2.5,Virginia,True,draftkings,comparable,2026-08-01T14:00:17.000Z,False,True,114.0,-135.0,-3.0,53.5,2026,True,draftkings,comparable,2026-08-01T14:00:17.000Z,False,170,170,5.5,-110,-205,-205,-5.5,-110,-108,54.5,-112,True,1.0,draftkings,comparable,2026-08-01T14:00:17.000Z,False,0
FBS,,Jacksonville State,401864577,g3,2026-08-29,FBS,,2.5,North Dakota State,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-10.0,48.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,230,230,7.5,-110,-285,-285,-7.5,-110,-105,48.5,-115,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,0
FBS,,Sacramento State,401866408,g1,2026-08-29,FBS,,0.0,Eastern Michigan,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-8.5,53.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,260,260,8.5,-110,-325,-325,-8.5,-110,-110,53.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,0
FBS,,New Mexico State,401864570,g2,2026-08-29,FBS,,-1.0,Florida State,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-29.5,53.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,3000,3000,30.5,-108,-10000,-10000,-30.5,-112,-110,53.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,0
FBS,,Hawaii,401858201,g4,2026-08-29,FBS,,-1.0,Stanford,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-3.0,50.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,160,160,4.0,-112,-192,-192,-4.0,-108,-110,50.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,0
FBS,,Memphis,401862693,g6,2026-08-29,FBS,,-2.5,UNLV,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-3.0,59.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,164,164,5.5,-112,-198,-198,-5.5,-108,-110,59.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,0
FBS,,Massachusetts,401858423,g16,2026-09-03,FBS,,0.0,Rutgers,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-30.5,,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,3000,3000,30.5,-112,-10000,-10000,-30.5,-108,,,,,,,same_book_pair_unavailable,,,1
FCS,,Merrimack,401864424,g11,2026-09-03,FBS,,,Delaware,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Akron,401858204,g18,2026-09-03,FBS,,0.0,Wake Forest,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-22.5,49.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,1300,1300,22.5,-108,-2800,-2800,-22.5,-112,-110,49.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Bethune-Cookman,401856767,g10,2026-09-03,FBS,,,Central Florida,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,UAPB,401856663,g15,2026-09-03,FBS,,,Missouri,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Eastern Illinois,401858422,g14,2026-09-03,FBS,,,Minnesota,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Colorado,401856776,g12,2026-09-03,FBS,,0.0,Georgia Tech,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-7.0,51.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,210,210,7.0,-110,-258,-258,-7.0,-110,-110,51.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Idaho,401856768,g17,2026-09-03,FBS,,,Utah,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,San Jose State,401864495,g19,2026-09-04,FBS,,-0.5,Eastern Michigan,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-3.5,,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,160,160,4.0,-110,-192,-192,-4.0,-110,,,,,,bovada,same_book_pair_unavailable,,,1
FCS,,North Carolina A&T,401866623,g20,2026-09-04,FBS,,,Georgia State,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
