snapshot_date,snapshot_label,season,game_id,cfbd_game_id,game_date,game_week,away_team,home_team,market_spread_home,market_total,market_spread_open_home,market_total_open,projected_margin_home,model_spread_home,projected_total,market_spread_book,market_total_book,market_books_available,market_spread_last_update,market_total_last_update,market_line_source
2026-07-13,Preseason,2026,g1,401866408,2026-08-29,1,Sacramento State,Eastern Michigan,-7.5,53.5,,52.5,3.867,-3.867,56.499,fanduel,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g2,401864570,2026-08-29,1,New Mexico State,Florida State,-29.5,52.5,,53.5,27.2,-27.2,51.499,fanduel,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g3,401864577,2026-08-29,1,Jacksonville State,North Dakota State,-7.5,47.5,,48.5,7.3,-7.3,55.499,fanduel,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g4,401858201,2026-08-29,1,Hawaii,Stanford,-3.5,50.5,,,2.867,-2.867,52.499,betmgm,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",2026-07-03T00:15:04.000Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g5,401856766,2026-08-29,1,North Carolina,TCU,-6.5,49.5,,,4.367,-4.367,52.499,fanduel,fanduel,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g6,401862693,2026-08-29,1,Memphis,UNLV,-4.5,58.5,,60.5,4.867,-4.867,59.499,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g7,401864494,2026-08-29,1,San Jose State,USC,-35.5,58.5,,57.5,35.533,-35.533,55.499,fanduel,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g8,401858202,2026-08-29,1,NC State,Virginia,-5.5,54.5,,,2.9,-2.9,53.499,fanduel,betmgm,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:04.000Z,SportsGameOdds
2026-07-13,Preseason,2026,g10,401856767,2026-09-03,1,Bethune-Cookman,Central Florida,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g11,401864424,2026-09-03,1,Merrimack,Delaware,,,,,,,,,,,,,
