team,book,win_total,over_odds,under_odds,snapshot_ts,source_file
Air Force,BetMGM,6.5,-165.0,130.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Air Force,Caesars,6.5,-190.0,145.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Air Force,DraftKings,6.5,-160.0,125.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Akron,BetMGM,4.5,-115.0,-115.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Akron,Caesars,4.5,-120.0,-110.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Akron,DraftKings,4.5,-125.0,-105.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Alabama,BetMGM,8.5,-125.0,100.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Alabama,Caesars,8.5,-120.0,-110.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Alabama,DraftKings,8.5,100.0,-120.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Alabama,FanDuel,8.5,-120.0,-102.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
App State,BetMGM,5.5,-165.0,130.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Appalachian St.,Caesars,5.5,-160.0,125.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Appalachian State,DraftKings,5.5,-166.0,130.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arizona,BetMGM,7.5,110.0,-140.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arizona,Caesars,7.5,105.0,-135.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arizona,FanDuel,7.5,114.0,-140.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arizona State,BetMGM,6.5,-130.0,100.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arizona State,Caesars,6.5,-140.0,110.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arizona State,DraftKings,6.5,-120.0,100.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arizona State,FanDuel,6.5,-110.0,-110.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arizona Wildcats,DraftKings,7.5,105.0,-125.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arkansas,BetMGM,4.5,135.0,-175.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arkansas,Caesars,4.5,125.0,-160.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arkansas,FanDuel,4.5,138.0,-170.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arkansas Razorbacks,DraftKings,4.5,130.0,-166.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arkansas St,BetMGM,6.5,120.0,-150.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arkansas St.,Caesars,5.5,-200.0,150.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Arkansas State Red Wolves,DraftKings,6.5,110.0,-140.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Army,BetMGM,7.5,-145.0,115.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Army,Caesars,7.5,-160.0,120.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Army Black,DraftKings,7.5,-146.0,115.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Auburn,BetMGM,6.5,-120.0,-110.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Auburn,Caesars,6.5,-120.0,-110.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Auburn,DraftKings,6.5,-115.0,-105.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Auburn,FanDuel,6.5,-115.0,-105.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
BYU,BetMGM,8.5,-125.0,100.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
BYU,Caesars,8.5,-125.0,-105.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
BYU,DraftKings,8.5,-125.0,105.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
BYU,FanDuel,8.5,-124.0,102.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Ball St.,Caesars,3.5,-115.0,-115.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Ball State,BetMGM,3.5,-125.0,-105.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Ball State Cardinals,DraftKings,3.5,-120.0,-110.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
Baylor,BetMGM,6.5,140.0,-185.0,2026-07-01T16:37:51+00:00,market_win_totals_history.csv
