source,game_id,date,away_team,home_team,neutral_site,pulled_at,market_away_moneyline,market_home_moneyline,market_moneyline_book,market_moneyline_last_update,market_spread_home,market_spread_book,market_spread_price_home,market_spread_price_away,market_spread_last_update,market_total,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update
SportsGameOdds,g1,2026-08-29,Sacramento State,Eastern Michigan,False,2026-08-03T05:10:10.947483+00:00,260.0,-325.0,draftkings,2026-08-03T05:08:22.214Z,-8.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,53.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g102,2026-09-11,Missouri,Kansas,False,2026-08-03T05:10:10.947483+00:00,-238.0,195.0,draftkings,2026-08-03T05:08:22.214Z,7.0,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,52.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g12,2026-09-03,Colorado,Georgia Tech,False,2026-08-03T05:10:10.947483+00:00,210.0,-258.0,draftkings,2026-08-03T05:08:22.214Z,-7.0,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,51.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g131,2026-09-12,Iowa State,Iowa,False,2026-08-03T05:10:10.947483+00:00,470.0,-650.0,draftkings,2026-08-03T05:08:22.214Z,-11.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,41.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g142,2026-09-12,Oklahoma,Michigan,False,2026-08-03T05:10:10.947483+00:00,114.0,-135.0,draftkings,2026-08-03T05:08:22.214Z,-2.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z,,,,,
SportsGameOdds,g155,2026-09-12,Oregon,Oklahoma State,False,2026-08-03T05:10:10.947483+00:00,-1050.0,675.0,draftkings,2026-08-03T05:08:22.214Z,18.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,60.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g16,2026-09-03,Massachusetts,Rutgers,False,2026-08-03T05:10:10.947483+00:00,3000.0,-10000.0,draftkings,2026-08-03T05:08:22.214Z,-30.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,55.5,draftkings,-102.0,-118.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g167,2026-09-12,Ohio State,Texas,False,2026-08-03T05:10:10.947483+00:00,-108.0,-112.0,draftkings,2026-08-03T05:08:22.214Z,-1.5,draftkings,-105.0,-115.0,2026-08-03T05:08:22.214Z,47.5,draftkings,-115.0,-105.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g168,2026-09-12,Arizona State,Texas A&M,False,2026-08-03T05:10:10.947483+00:00,470.0,-650.0,draftkings,2026-08-03T05:08:22.214Z,-14.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z,51.5,draftkings,-110.0,-110.0,2026-08-03T05:08:22.214Z
SportsGameOdds,g177,2026-09-12,Arkansas,Utah,False,2026-08-03T05:10:10.947483+00:00,295.0,-375.0,draftkings,2026-08-03T05:08:22.214Z,-9.5,draftkings,-108.0,-112.0,2026-08-03T05:08:22.214Z,53.5,draftkings,-112.0,-108.0,2026-08-03T05:08:22.214Z
