season,week,ranking_date,team,actual_cfp_rank,raw_game_control,game_control,game_control_rank,game_control_index,wins,losses,game_control_method,championship_wins_power,championship_wins_g6,quality_wins,top25_wins,prior_top25_wins,provisional_top25_wins,avg_capped_mov,avg_weighted_mol,bad_losses,sos,source_url,notes
2021,1,2021-11-02,Air Force,26,0.629275965548055,0.6356563510355833,10,13.565635103558327,5,2,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,1,15.8,3.8,0,0.5182296728215094,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Akron,26,0.319061663675687,0.30277658714507477,124,-19.722341285492522,1,6,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,15.0,29.421428571428574,4,0.4534712099125364,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Alabama,2,0.7295701931443028,0.7358658989266157,2,23.586589892661568,6,1,PBP AUC + 0.35*(SOS-.500),0,0,2,2,0,0,17.833333333333332,2.4000000000000004,0,0.5179877308066083,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,App State,26,0.5635992420368312,0.5777531536014571,33,7.775315360145707,5,2,PBP AUC + 0.35*(SOS-.500),0,0,2,0,0,1,12.0,11.057142857142857,1,0.5404397473275023,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Arizona,26,0.3136377380533397,0.3328736129588575,119,-16.71263870411425,0,7,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,0.0,15.95827664399093,2,0.5549596425871935,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Arizona State,26,0.5417233858167606,0.5296349740631703,59,2.9634974063170283,4,3,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,19.75,11.325925925925924,1,0.4654616807040276,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Arkansas,26,0.5446556518498393,0.5654666637546012,38,6.54666637546012,4,3,PBP AUC + 0.35*(SOS-.500),0,0,1,1,0,2,17.75,11.819047619047618,0,0.5594600340136053,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Arkansas State,26,0.26878090035973995,0.26872610066208313,128,-23.127389933791687,0,7,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,0.0,18.979591836734695,3,0.49984342943526616,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Army,26,0.5816734605668377,0.5792907366439352,32,7.929073664393515,4,3,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,14.5,8.82857142857143,1,0.4931922173631357,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Auburn,13,0.5240983059178272,0.5406981264015763,51,4.069812640157632,5,2,PBP AUC + 0.35*(SOS-.500),0,0,2,1,0,0,12.4,10.971428571428572,0,0.5474280585249973,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,BYU,15,0.609510280213786,0.6137466668980893,17,11.374666689808933,7,2,PBP AUC + 0.35*(SOS-.500),0,0,4,0,0,0,9.714285714285714,9.5,1,0.5121039619551524,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Ball State,26,0.4495254370187299,0.4533207884926528,85,-4.667921150734722,3,4,PBP AUC + 0.35*(SOS-.500),0,0,3,0,0,0,13.333333333333334,20.521428571428572,3,0.5108438613540655,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Baylor,12,0.6304835761041095,0.6350286441313204,11,13.502864413132043,6,1,PBP AUC + 0.35*(SOS-.500),0,0,2,1,0,3,12.333333333333334,7.142857142857143,0,0.5129859086491739,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Boise State,26,0.5612505765659274,0.5978783874124882,27,9.787838741248823,4,4,PBP AUC + 0.35*(SOS-.500),0,0,3,1,0,1,15.0,4.878571428571428,0,0.604650888133031,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Boston College,26,0.5023506211268226,0.49096881840573414,70,-0.9031181594265858,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,15.0,14.25,2,0.467480563654033,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Bowling Green,26,0.4450793444938828,0.4374788980653113,92,-6.2521101934688685,2,6,PBP AUC + 0.35*(SOS-.500),0,0,1,1,0,1,8.0,16.533333333333335,3,0.4782844387755101,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Buffalo,26,0.427617589728269,0.3909019399266817,106,-10.909806007331829,3,5,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,7.666666666666667,12.742857142857146,3,0.39509814342403626,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,California,26,0.5181197053182636,0.5190384269735924,63,1.903842697359237,2,5,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,17.5,6.6171428571428565,2,0.5026249190152251,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Central Michigan,26,0.4514630831164316,0.42184195688816245,99,-7.815804311183755,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,3.3333333333333335,13.157142857142857,3,0.415368210776374,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Charlotte,26,0.45663370267375397,0.42256293547798673,98,-7.743706452201327,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,6.0,20.876190476190473,3,0.4026549508692365,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Cincinnati,6,0.714434311109385,0.6961031036263918,4,19.610310362639183,7,0,PBP AUC + 0.35*(SOS-.500),0,0,2,1,0,0,16.285714285714285,0.0,0,0.44762512147716227,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
2021,1,2021-11-02,Clemson,26,0.5152667432445294,0.5321417432445293,56,3.214174324452934,4,3,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,6.25,5.819047619047619,0,0.5482142857142857,https://collegefootballplayoff.com/sports/2021/11/3/wk-x-wk-rankings-2021.aspx,Championship flags pending conference-title crosswalk
