snapshot_prev,snapshot_latest,source_prev,source_latest,game_id,date,week,away_team,home_team,market,book,previous,latest,change,previous_price,latest_price,summary
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,Action Network,Action Network,,2026-09-06,1.0,UCLA,California,Spread,Caesars,-1.0,1.0,2.0,-112.0,-105.0,UCLA at Californi spread -1 → +1 at Caesars
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,Action Network,Action Network,,2026-09-04,1.0,Indiana State,Purdue,Spread,FanDuel,-35.5,-36.5,-1.0,-112.0,-115.0,Indiana State at Purdue spread -35.5 → -36.5 at FanDuel
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,Action Network,Action Network,,2026-09-05,1.0,Tennessee State,Georgia,Spread,FanDuel,-46.5,-45.5,1.0,-110.0,-105.0,Tennessee State at Georgi spread -46.5 → -45.5 at FanDuel
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,Action Network,Action Network,,2026-09-05,1.0,Tarleton State,Bowling Green,Spread,FanDuel,-1.5,-2.5,-1.0,-110.0,-110.0,Tarleton State at Bowling Green spread -1.5 → -2.5 at FanDuel
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,Action Network,Action Network,,2026-09-05,1.0,Ball State,Ohio State,Spread,Caesars,-49.5,-50.5,-1.0,-112.0,-108.0,Ball State at Ohio State spread -49.5 → -50.5 at Caesars
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,The Odds API,The Odds API,,2026-09-05,,Tennessee State,Georgia,Spread,FanDuel,-46.5,-45.5,1.0,-110.0,-105.0,Tennessee State at Georgi spread -46.5 → -45.5 at FanDuel
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,The Odds API,The Odds API,,2026-09-04,,Indiana State Sycamores,Purdue Boilermakers,Spread,FanDuel,-35.5,-36.5,-1.0,-112.0,-115.0,Indiana State Sycamores at Purdue Boilermakers spread -35.5 → -36.5 at FanDuel
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,The Odds API,The Odds API,,2026-09-05,,Tarleton State Texans,Bowling Green Falcons,Spread,FanDuel,-1.5,-2.5,-1.0,-110.0,-110.0,Tarleton State Texans at Bowling Green Falcons spread -1.5 → -2.5 at FanDuel
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,Action Network,Action Network,,2026-08-29,1.0,North Carolina,TCU,Spread,Caesars,-6.5,-7.0,-0.5,-118.0,-110.0,North Carolina at TCU spread -6.5 → -7 at Caesars
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,The Odds API,The Odds API,,2026-08-29,,North Carolina Tar Heels,TCU Horned Frogs,Spread,DraftKings,-6.5,-7.0,-0.5,-118.0,-112.0,North Carolina Tar Heels at TCU Horned Frogs spread -6.5 → -7 at DraftKings
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,Action Network,Action Network,,2026-09-04,1.0,North Carolina A&T,Georgia State,Total,FanDuel,58.5,63.5,5.0,,,North Carolina A&T at Georgia State total 58.5 → 63.5 at FanDuel
2026-08-03T12:00:52+00:00,2026-08-04T12:00:47+00:00,The Odds API,The Odds API,,2026-09-04,,North Carolina A&T,Georgia State Panthers,Total,FanDuel,58.5,63.5,5.0,,,North Carolina A&T at Georgia State Panthers total 58.5 → 63.5 at FanDuel
