game_id,week,date,away_team,home_team,neutral_site,site_spread_home,site_spread_text,site_total,blend_spread_home,blend_spread_text,blend_total,spread_sources_used,total_sources_used,spread_weight_detail,total_weight_detail,source_count_spread,source_count_total,dratings_spread_home,dratings_spread_text,dratings_total,spread_disagreement_dratings,total_disagreement_dratings,spread_weight_dratings,total_weight_dratings,massey_spread_home,massey_spread_text,massey_total,spread_disagreement_massey,total_disagreement_massey,spread_weight_massey,total_weight_massey,sagarin_homeaway_spread_home,sagarin_homeaway_spread_text,sagarin_homeaway_total,spread_disagreement_sagarin_homeaway,total_disagreement_sagarin_homeaway,spread_weight_sagarin_homeaway,total_weight_sagarin_homeaway,sagarin_predictor_spread_home,sagarin_predictor_spread_text,sagarin_predictor_total,spread_disagreement_sagarin_predictor,total_disagreement_sagarin_predictor,spread_weight_sagarin_predictor,total_weight_sagarin_predictor,spread_disagreement,total_disagreement
g1,0,2026-08-29,Sacramento State,Eastern Michigan,False,9.2,Eastern Michigan -9.2,56.499,6.1,Eastern Michigan -6.1,56.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,3.0,Eastern Michigan -3.0,56.5,6.2,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g2,0,2026-08-29,New Mexico State,Florida State,False,27.1,Florida State -27.1,51.499,29.05,Florida State -29.1,51.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,31.0,Florida State -31.0,51.5,3.9,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g3,0,2026-08-29,Jacksonville State,North Dakota State,False,8.8,North Dakota State -8.8,55.499,11.4,North Dakota State -11.4,55.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,14.0,North Dakota State -14.0,55.5,5.2,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g4,0,2026-08-29,Hawaii,Stanford,False,3.4,Stanford -3.4,52.499,5.2,Stanford -5.2,52.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,7.0,Stanford -7.0,52.5,3.6,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g5,0,2026-08-29,North Carolina,TCU,True,5.3,TCU -5.3,52.499,8.15,TCU -8.2,52.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,11.0,TCU -11.0,52.5,5.7,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g6,0,2026-08-29,Memphis,UNLV,False,6.0,UNLV -6.0,59.499,2.5,UNLV -2.5,59.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,-1.0,Memphis -1.0,59.5,7.0,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g7,0,2026-08-29,San Jose State,USC,False,34.7,USC -34.7,55.499,32.85,USC -32.9,55.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,31.0,USC -31.0,55.5,3.7,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g8,0,2026-08-29,NC State,Virginia,True,1.7,Virginia -1.7,53.499,1.35,Virginia -1.4,53.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,1.0,Virginia -1.0,53.5,0.7,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g9,1,2026-09-03,UAlbany,Buffalo,False,,,,25.0,Buffalo -25.0,50.5,Massey Games,Massey Games,Massey Games:0.5,Massey Games:0.5,1,1,,,,,,0.0,0.0,25.0,Buffalo -25.0,50.5,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g10,1,2026-09-03,Bethune-Cookman,Central Florida,False,,,,45.0,Central Florida -45.0,53.5,Massey Games,Massey Games,Massey Games:0.5,Massey Games:0.5,1,1,,,,,,0.0,0.0,45.0,Central Florida -45.0,53.5,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
