game_id,away_team,home_team,has_site_spread,has_site_total,has_dratings_spread,has_dratings_total,has_fpi_spread,has_fpi_total,has_massey_spread,has_massey_total,has_sp_spread,has_sp_total,has_sagarin_predictor_spread,has_sagarin_predictor_total,has_sagarin_rating_spread,has_sagarin_rating_total,has_teamrankings_spread,has_teamrankings_total
g1,Sacramento State,Eastern Michigan,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g2,New Mexico State,Florida State,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g3,Jacksonville State,North Dakota State,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g4,Hawaii,Stanford,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g5,North Carolina,TCU,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g6,Memphis,UNLV,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g7,San Jose State,USC,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g8,NC State,Virginia,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g9,UAlbany,Buffalo,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
g10,Bethune-Cookman,Central Florida,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
g11,Merrimack,Delaware,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
g12,Colorado,Georgia Tech,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g13,West Georgia,Kennesaw State,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
g14,Eastern Illinois,Minnesota,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g15,UAPB,Missouri,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g16,Massachusetts,Rutgers,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g17,Idaho,Utah,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g18,Akron,Wake Forest,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g19,San Jose State,Eastern Michigan,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g20,North Carolina A&T,Georgia State,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g21,LIU,Kansas,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g22,Miami-FL,Stanford,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g23,Duquesne,Air Force,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g24,East Carolina,Alabama,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g25,Maine,Appalachian State,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
g26,Northern Arizona,Arizona,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g27,Morgan State,Arizona State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g28,North Alabama,Arkansas,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g29,Bryant,Army,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g30,Baylor,Auburn,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g31,Utah Tech,BYU,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g32,Tarleton State,Bowling Green,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g33,UCLA,California,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g34,The Citadel,Charlotte,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
g35,Boston College,Cincinnati,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g36,Wyoming,Colorado State,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g37,Lafayette,Connecticut,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g38,Tulane,Duke,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g39,Florida Atlantic,Florida,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g40,Tennessee State,Georgia,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g41,Charleston So.,Georgia Southern,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g42,UNLV,Hawaii,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g43,Oregon State,Houston,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g44,UAB,Illinois,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g45,North Texas,Indiana,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g46,Northern Illinois,Iowa,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g47,Southeast Missouri,Iowa State,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g48,Liberty,James Madison,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g49,Eastern Kentucky,Jacksonville State,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g50,Nicholls,Kansas State,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
g51,Youngstown State,Kentucky,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g52,Clemson,LSU,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g53,Lamar,Louisiana,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g54,Northwestern State,Louisiana Tech,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g55,Hampton,Maryland,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g56,Arkansas State,Memphis,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g57,Western Michigan,Michigan,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g58,Toledo,Michigan State,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g59,Murray State,Middle Tennessee,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g60,UL-Monroe,Mississippi State,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g61,Towson,Navy,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g62,Ohio,Nebraska,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g63,Western Kentucky,Nevada,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g64,Central Michigan,New Mexico,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
