source,date,away,home,matched,game_id,match_method,status,rows
SP+,2026-08-29,Sacramento State,Eastern Michigan,True,g1,,,
FPI,2026-08-29,Sacramento State,Eastern Michigan,True,g1,,,
TeamRankings,2026-08-29,Sacramento State,Eastern Michigan,True,g1,,,
Sagarin Rating,2026-08-29,Sacramento State,Eastern Michigan,False,g1,,,
SP+,2026-08-29,New Mexico State,Florida State,True,g2,,,
FPI,2026-08-29,New Mexico State,Florida State,True,g2,,,
TeamRankings,2026-08-29,New Mexico State,Florida State,True,g2,,,
Sagarin Rating,2026-08-29,New Mexico State,Florida State,False,g2,,,
SP+,2026-08-29,Jacksonville State,North Dakota State,True,g3,,,
FPI,2026-08-29,Jacksonville State,North Dakota State,True,g3,,,
TeamRankings,2026-08-29,Jacksonville State,North Dakota State,True,g3,,,
Sagarin Rating,2026-08-29,Jacksonville State,North Dakota State,False,g3,,,
SP+,2026-08-29,Hawaii,Stanford,True,g4,,,
FPI,2026-08-29,Hawaii,Stanford,True,g4,,,
TeamRankings,2026-08-29,Hawaii,Stanford,True,g4,,,
Sagarin Rating,2026-08-29,Hawaii,Stanford,False,g4,,,
SP+,2026-08-29,North Carolina,TCU,True,g5,,,
FPI,2026-08-29,North Carolina,TCU,True,g5,,,
TeamRankings,2026-08-29,North Carolina,TCU,True,g5,,,
Sagarin Rating,2026-08-29,North Carolina,TCU,False,g5,,,
SP+,2026-08-29,Memphis,UNLV,True,g6,,,
FPI,2026-08-29,Memphis,UNLV,True,g6,,,
TeamRankings,2026-08-29,Memphis,UNLV,True,g6,,,
Sagarin Rating,2026-08-29,Memphis,UNLV,False,g6,,,
SP+,2026-08-29,San Jose State,USC,True,g7,,,
FPI,2026-08-29,San Jose State,USC,True,g7,,,
TeamRankings,2026-08-29,San Jose State,USC,True,g7,,,
Sagarin Rating,2026-08-29,San Jose State,USC,False,g7,,,
SP+,2026-08-29,NC State,Virginia,True,g8,,,
FPI,2026-08-29,NC State,Virginia,True,g8,,,
TeamRankings,2026-08-29,NC State,Virginia,True,g8,,,
Sagarin Rating,2026-08-29,NC State,Virginia,False,g8,,,
SP+,2026-09-03,UAlbany,Buffalo,False,g9,,,
FPI,2026-09-03,UAlbany,Buffalo,False,g9,,,
TeamRankings,2026-09-03,UAlbany,Buffalo,False,g9,,,
Sagarin Rating,2026-09-03,UAlbany,Buffalo,False,g9,,,
SP+,2026-09-03,Bethune-Cookman,Central Florida,False,g10,,,
FPI,2026-09-03,Bethune-Cookman,Central Florida,False,g10,,,
TeamRankings,2026-09-03,Bethune-Cookman,Central Florida,False,g10,,,
Sagarin Rating,2026-09-03,Bethune-Cookman,Central Florida,False,g10,,,
SP+,2026-09-03,Merrimack,Delaware,False,g11,,,
FPI,2026-09-03,Merrimack,Delaware,False,g11,,,
TeamRankings,2026-09-03,Merrimack,Delaware,False,g11,,,
Sagarin Rating,2026-09-03,Merrimack,Delaware,False,g11,,,
SP+,2026-09-03,Colorado,Georgia Tech,True,g12,,,
FPI,2026-09-03,Colorado,Georgia Tech,True,g12,,,
TeamRankings,2026-09-03,Colorado,Georgia Tech,True,g12,,,
Sagarin Rating,2026-09-03,Colorado,Georgia Tech,False,g12,,,
SP+,2026-09-03,West Georgia,Kennesaw State,False,g13,,,
FPI,2026-09-03,West Georgia,Kennesaw State,False,g13,,,
TeamRankings,2026-09-03,West Georgia,Kennesaw State,False,g13,,,
Sagarin Rating,2026-09-03,West Georgia,Kennesaw State,False,g13,,,
SP+,2026-09-03,Eastern Illinois,Minnesota,False,g14,,,
FPI,2026-09-03,Eastern Illinois,Minnesota,False,g14,,,
TeamRankings,2026-09-03,Eastern Illinois,Minnesota,False,g14,,,
Sagarin Rating,2026-09-03,Eastern Illinois,Minnesota,False,g14,,,
SP+,2026-09-03,UAPB,Missouri,False,g15,,,
FPI,2026-09-03,UAPB,Missouri,False,g15,,,
TeamRankings,2026-09-03,UAPB,Missouri,False,g15,,,
Sagarin Rating,2026-09-03,UAPB,Missouri,False,g15,,,
SP+,2026-09-03,Massachusetts,Rutgers,True,g16,,,
FPI,2026-09-03,Massachusetts,Rutgers,True,g16,,,
TeamRankings,2026-09-03,Massachusetts,Rutgers,True,g16,,,
Sagarin Rating,2026-09-03,Massachusetts,Rutgers,False,g16,,,
SP+,2026-09-03,Idaho,Utah,False,g17,,,
FPI,2026-09-03,Idaho,Utah,False,g17,,,
TeamRankings,2026-09-03,Idaho,Utah,False,g17,,,
Sagarin Rating,2026-09-03,Idaho,Utah,False,g17,,,
SP+,2026-09-03,Akron,Wake Forest,True,g18,,,
FPI,2026-09-03,Akron,Wake Forest,True,g18,,,
TeamRankings,2026-09-03,Akron,Wake Forest,True,g18,,,
Sagarin Rating,2026-09-03,Akron,Wake Forest,False,g18,,,
SP+,2026-09-04,San Jose State,Eastern Michigan,True,g19,,,
FPI,2026-09-04,San Jose State,Eastern Michigan,True,g19,,,
TeamRankings,2026-09-04,San Jose State,Eastern Michigan,True,g19,,,
Sagarin Rating,2026-09-04,San Jose State,Eastern Michigan,False,g19,,,
SP+,2026-09-04,North Carolina A&T,Georgia State,False,g20,,,
FPI,2026-09-04,North Carolina A&T,Georgia State,False,g20,,,
TeamRankings,2026-09-04,North Carolina A&T,Georgia State,False,g20,,,
Sagarin Rating,2026-09-04,North Carolina A&T,Georgia State,False,g20,,,
SP+,2026-09-04,LIU,Kansas,False,g21,,,
FPI,2026-09-04,LIU,Kansas,False,g21,,,
TeamRankings,2026-09-04,LIU,Kansas,False,g21,,,
Sagarin Rating,2026-09-04,LIU,Kansas,False,g21,,,
SP+,2026-09-04,Miami-FL,Stanford,True,g22,,,
FPI,2026-09-04,Miami-FL,Stanford,True,g22,,,
TeamRankings,2026-09-04,Miami-FL,Stanford,True,g22,,,
Sagarin Rating,2026-09-04,Miami-FL,Stanford,False,g22,,,
SP+,2026-09-05,Duquesne,Air Force,False,g23,,,
