page_id,status,metric,value,detail,last_success_at,source_artifacts
dashboard,red,Slate games,902,,2026-08-18T03:01:25.358589+00:00,data/site/matchups_view.json|data/site/betting_activity_view.json
dashboard,red,Betting signals,0,,2026-08-18T03:01:25.358589+00:00,data/site/matchups_view.json|data/site/betting_activity_view.json
dashboard,red,Market history,902,,2026-08-18T03:01:25.358589+00:00,data/site/matchups_view.json|data/site/betting_activity_view.json
dashboard,red,Injuries,GRAY · Injury source not configured,,2026-08-18T03:01:25.358589+00:00,data/site/matchups_view.json|data/site/betting_activity_view.json
dashboard,red,Open wagers,35,,2026-08-18T03:01:25.358589+00:00,data/site/matchups_view.json|data/site/betting_activity_view.json
dashboard,red,Last completed run,"FAILED · Aug 4, 2026 at 8:02 AM ET",,2026-08-18T03:01:25.358589+00:00,data/site/matchups_view.json|data/site/betting_activity_view.json
ratings,yellow,Composite,138/138,,2026-08-17T00:00:00+00:00,data/site/ratings_view.json|data/site/matchups_view.json
ratings,yellow,Rating sources,SP+ 138 · FPI 138 · TR 138 · BP 138,,2026-08-17T00:00:00+00:00,data/site/ratings_view.json|data/site/matchups_view.json
ratings,yellow,Market-derived,120/138,Separate from composite,2026-08-17T00:00:00+00:00,data/site/ratings_view.json|data/site/matchups_view.json
ratings,yellow,Off / Def,138/138 · 138/138,,2026-08-17T00:00:00+00:00,data/site/ratings_view.json|data/site/matchups_view.json
ratings,yellow,Movement,1101,,2026-08-17T00:00:00+00:00,data/site/ratings_view.json|data/site/matchups_view.json
ratings,yellow,Variance,138/138,,2026-08-17T00:00:00+00:00,data/site/ratings_view.json|data/site/matchups_view.json
openers,green,Games,111,,2026-08-19T18:17:09+00:00,data/site/matchups_view.json|data/site/odds_screen_v2.json
openers,green,Spread openers,111,,2026-08-19T18:17:09+00:00,data/site/matchups_view.json|data/site/odds_screen_v2.json
openers,green,Total openers,111,,2026-08-19T18:17:09+00:00,data/site/matchups_view.json|data/site/odds_screen_v2.json
openers,green,History,111,,2026-08-19T18:17:09+00:00,data/site/matchups_view.json|data/site/odds_screen_v2.json
