rank,team,bradpowers_start,bradpowers,bradpowers_diff,team_raw,bradpowers_raw,bradpowers_avg
1,Ohio State,94.28,28.755144927536207,-1.0,Ohio State,93.28,64.5248550724638
2,Notre Dame,93.40,28.375144927536212,-0.5,Notre Dame,92.90,64.5248550724638
3,Georgia,90.94,27.915144927536204,1.5,Georgia,92.44,64.5248550724638
4,Texas,90.07,27.5451449275362,2.0,Texas,92.07,64.5248550724638
5,Indiana,91.53,26.005144927536207,-1.0,Indiana,90.53,64.5248550724638
6,Miami-FL,88.15,25.625144927536212,2.0,Miami (FL),90.15,64.5248550724638
7,LSU,82.66,22.135144927536203,4.0,LSU,86.66,64.5248550724638
8,Oregon,92.08,22.055144927536205,-5.5,Oregon,86.58,64.5248550724638
9,Alabama,84.38,21.8551449275362,2.0,Alabama,86.38,64.5248550724638
10,Texas A&M,84.67,20.145144927536208,0.0,Texas A&M,84.67,64.5248550724638
11,USC,84.48,19.45514492753621,-0.5,USC,83.98,64.5248550724638
12,Oklahoma,85.55,18.525144927536203,-2.5,Oklahoma,83.05,64.5248550724638
13,Ole Miss,84.77,18.245144927536202,-2.0,Ole Miss,82.77,64.5248550724638
13,Tennessee,80.77,18.245144927536202,2.0,Tennessee,82.77,64.5248550724638
15,Florida,78.71,16.6851449275362,2.5,Florida,81.21,64.5248550724638
16,Texas Tech,84.91,16.385144927536203,-4.0,Texas Tech,80.91,64.5248550724638
17,Penn State,80.67,16.145144927536208,0.0,Penn State,80.67,64.5248550724638
18,Utah,77.22,15.695144927536205,3.0,Utah,80.22,64.5248550724638
19,Michigan,83.21,15.6851449275362,-3.0,Michigan,80.21,64.5248550724638
20,SMU,78.09,15.06514492753621,1.5,SMU,79.59,64.5248550724638
21,South Carolina,79.43,14.405144927536213,-0.5,South Carolina,78.93,64.5248550724638
22,BYU,79.31,13.785144927536209,-1.0,BYU,78.31,64.5248550724638
23,Louisville,75.33,13.305144927536205,2.5,Louisville,77.83,64.5248550724638
24,Missouri,77.03,13.005144927536207,0.5,Missouri,77.53,64.5248550724638
25,Washington,79.41,12.885144927536203,-2.0,Washington,77.41,64.5248550724638
26,Mississippi State,71.71,12.6851449275362,5.5,Mississippi State,77.21,64.5248550724638
27,Auburn,77.59,12.56514492753621,-0.5,Auburn,77.09,64.5248550724638
28,Kansas State,71.88,11.855144927536202,4.5,Kansas State,76.38,64.5248550724638
29,Virginia Tech,74.10,11.5751449275362,2.0,Virginia Tech,76.10,64.5248550724638
30,Iowa,77.86,11.335144927536206,-2.0,Iowa,75.86,64.5248550724638
31,Virginia,72.72,11.195144927536205,3.0,Virginia,75.72,64.5248550724638
32,Houston,75.06,11.035144927536209,0.5,Houston,75.56,64.5248550724638
33,Arizona,74.29,10.765144927536213,1.0,Arizona,75.29,64.5248550724638
34,Pittsburgh,73.70,10.67514492753621,1.5,Pittsburgh,75.20,64.5248550724638
35,Nebraska,72.96,9.4351449275362,1.0,Nebraska,73.96,64.5248550724638
36,Wisconsin,73.94,8.415144927536204,-1.0,Wisconsin,72.94,64.5248550724638
37,UCLA,71.80,8.275144927536203,1.0,UCLA,72.80,64.5248550724638
38,Arizona State,69.68,8.155144927536213,3.0,Arizona State,72.68,64.5248550724638
39,Vanderbilt,75.26,7.735144927536211,-3.0,Vanderbilt,72.26,64.5248550724638
40,TCU,74.16,7.135144927536203,-2.5,TCU,71.66,64.5248550724638
41,Kentucky,71.21,6.6851449275362,0.0,Kentucky,71.21,64.5248550724638
42,Florida State,74.57,6.5451449275361995,-3.5,Florida State,71.07,64.5248550724638
43,Boise State,69.56,6.535144927536209,1.5,Boise State,71.06,64.5248550724638
44,Baylor,69.27,6.245144927536202,1.5,Baylor,70.77,64.5248550724638
45,Oklahoma State,70.10,6.075144927536201,0.5,Oklahoma State,70.60,64.5248550724638
46,Maryland,69.01,5.985144927536211,1.5,Maryland,70.51,64.5248550724638
