Rank,Overall,Change,SOS (Rank),Standard (Rank),Inference (Rank),Vegas (Rank)
1. Indiana Hoosiers (0-0),4.4235,-,0.0000 (1),4.9114 (1),5.4592 (1),2.8850 (15)
2. Oregon Ducks (0-0),4.2511,-,0.0000 (1),4.3300 (2),4.8620 (2),3.5590 (4)
3. Ohio State Buckeyes (0-0),4.0763,-,0.0000 (1),3.6718 (4),4.5037 (3),4.0658 (1)
4. Notre Dame Fighting Irish (0-0),3.8682,+2,0.0000 (1),3.2616 (9),4.4045 (5),3.9567 (2)
5. Texas Longhorns (0-0),3.7938,+6,0.0000 (1),3.6891 (3),3.8643 (8),3.8312 (3)
6. Miami Hurricanes (0-0),3.6582,+1,0.0000 (1),3.2762 (8),4.4737 (4),3.2362 (8)
7. Texas Tech Red Raiders (0-0),3.6499,-3,0.0000 (1),3.4210 (5),4.2907 (6),3.2448 (7)
8. Georgia Bulldogs (0-0),3.6347,-3,0.0000 (1),3.3498 (6),4.1514 (7),3.4117 (5)
9. Ole Miss Rebels (0-0),3.1698,-1,0.0000 (1),3.2448 (10),3.7130 (9),2.5492 (19)
10. Oklahoma Sooners (0-0),3.0017,+6,0.0000 (1),2.9786 (11),2.9361 (17),3.0911 (11)
11. Alabama Crimson Tide (0-0),2.9789,-2,0.0000 (1),2.7963 (12),2.9116 (19),3.2342 (9)
12. BYU Cougars (0-0),2.9574,+1,0.0000 (1),3.2936 (7),3.3005 (10),2.2680 (26)
13. LSU Tigers (0-0),2.9386,+25,0.0000 (1),2.6200 (14),2.8700 (20),3.3353 (6)
14. USC Trojans (0-0),2.9259,+1,0.0000 (1),2.5634 (16),3.2458 (11),2.9797 (12)
15. Texas A&M Aggies (0-0),2.9063,-3,0.0000 (1),2.6313 (13),3.1947 (13),2.9013 (14)
16. Michigan Wolverines (0-0),2.8453,+2,0.0000 (1),2.6159 (15),2.9683 (16),2.9587 (13)
17. Utah Utes (0-0),2.6566,-7,0.0000 (1),2.4608 (17),2.9190 (18),2.5959 (18)
18. Washington Huskies (0-0),2.5904,+1,0.0000 (1),2.1520 (20),3.2015 (12),2.4310 (22)
19. Iowa Hawkeyes (0-0),2.5032,-5,0.0000 (1),2.3340 (18),3.1697 (14),2.0110 (30)
20. Florida Gators (0-0),2.4122,+30,0.0000 (1),2.2490 (19),1.8616 (37),3.1310 (10)
21. SMU Mustangs (0-0),2.4098,-1,0.0000 (1),1.9829 (23),3.1133 (15),2.1461 (28)
22. Penn State Nittany Lions (0-0),2.3216,-,0.0000 (1),1.6521 (39),2.7056 (21),2.6273 (17)
23. Tennessee Volunteers (0-0),2.2922,+5,0.0000 (1),1.8797 (32),2.2021 (26),2.8071 (16)
24. Louisville Cardinals (0-0),2.209,+7,0.0000 (1),1.8951 (30),2.4488 (23),2.2925 (24)
25. Kansas State Wildcats (0-0),2.1015,+10,0.0000 (1),1.6188 (41),2.5581 (22),2.1423 (29)
26. Arizona Wildcats (0-0),2.046,+4,0.0000 (1),1.9293 (27),2.4375 (24),1.7746 (35)
27. Illinois Fighting Illini (0-0),2.0201,-3,0.0000 (1),1.9679 (25),2.2761 (25),1.8180 (34)
28. Missouri Tigers (0-0),1.9764,+8,0.0000 (1),1.5973 (43),2.0428 (30),2.3006 (23)
29. Nebraska Cornhuskers (0-0),1.9433,+17,0.0000 (1),1.8486 (35),1.7159 (41),2.2684 (25)
30. Houston Cougars (0-0),1.9348,+12,0.0000 (1),2.1427 (21),1.9664 (33),1.6889 (42)
31. NC State Wolfpack (0-0),1.8928,+9,0.0000 (1),1.9332 (26),2.0444 (29),1.6996 (40)
32. TCU Horned Frogs (0-0),1.8787,-9,0.0000 (1),1.9126 (28),1.8823 (36),1.8402 (32)
33. Virginia Cavaliers (0-0),1.8613,-1,0.0000 (1),1.8980 (29),2.1588 (27),1.5261 (47)
34. Auburn Tigers (0-0),1.8561,+17,0.0000 (1),1.1667 (55),1.9464 (34),2.4761 (20)
35. Virginia Tech Hokies (0-0),1.834,+44,0.0000 (1),1.8057 (37),1.4343 (51),2.2629 (27)
36. Arizona State Sun Devils (0-0),1.8166,+1,0.0000 (1),1.8654 (33),1.7538 (40),1.8293 (33)
37. Clemson Tigers (0-0),1.7795,+6,0.0000 (1),1.2305 (51),1.6860 (44),2.4386 (21)
38. Wisconsin Badgers (0-0),1.7676,+15,0.0000 (1),1.8206 (36),1.8196 (38),1.6610 (43)
39. Pittsburgh Panthers (0-0),1.7044,-6,0.0000 (1),1.4468 (49),1.9794 (32),1.6947 (41)
40. Minnesota Golden Gophers (0-0),1.6863,+8,0.0000 (1),2.0100 (22),1.6899 (43),1.3491 (56)
41. Vanderbilt Commodores (0-0),1.6785,-24,0.0000 (1),1.5178 (44),2.1292 (28),1.3935 (49)
42. UCLA Bruins (0-0),1.6292,+24,0.0000 (1),1.5012 (46),1.6431 (45),1.7471 (39)
43. Northwestern Wildcats (0-0),1.5787,+9,0.0000 (1),1.7711 (38),1.7148 (42),1.2443 (60)
44. Georgia Tech Yellow Jackets (0-0),1.569,-5,0.0000 (1),1.6172 (42),1.3281 (57),1.7604 (38)
45. Wake Forest Demon Deacons (0-0),1.566,+16,0.0000 (1),1.9681 (24),1.3649 (53),1.3527 (54)
46. California Golden Bears (0-0),1.5233,+31,0.0000 (1),1.8922 (31),1.0441 (72),1.6225 (46)
47. Tulane Green Wave (0-0),1.4503,-13,0.0000 (1),1.8587 (34),1.4664 (49),1.0135 (67)
48. Duke Blue Devils (0-0),1.3867,-7,0.0000 (1),1.5024 (45),1.2826 (59),1.3718 (53)
49. Kentucky Wildcats (0-0),1.3736,+8,0.0000 (1),1.2210 (52),1.2597 (61),1.6447 (44)
50. Baylor Bears (0-0),1.3543,+8,0.0000 (1),1.1305 (58),1.1746 (65),1.7645 (37)
51. James Madison Dukes (0-0),1.2949,-30,0.0000 (1),1.1439 (56),1.9407 (35),0.8047 (77)
52. Boise State Broncos (0-0),1.2626,+8,0.0000 (1),1.0559 (65),1.2125 (63),1.5256 (48)
53. UNLV Rebels (0-0),1.2479,+15,0.0000 (1),1.1672 (54),1.5184 (47),1.0605 (65)
54. Maryland Terrapins (0-0),1.2459,+29,0.0000 (1),0.8897 (70),1.5063 (48),1.3525 (55)
55. Mississippi State Bulldogs (0-0),1.2192,+17,0.0000 (1),1.0681 (62),0.9527 (74),1.6415 (45)
56. East Carolina Pirates (0-0),1.2157,-2,0.0000 (1),1.4912 (47),1.3872 (52),0.7602 (78)
