snapshot_date,season,game_date,away_team,home_team,away_current_score,home_current_score,away_projected_points,home_projected_points,away_win_prob,home_win_prob,projected_spread_home,projected_total,source_file,source_url
2026-08-17,2026,2026-08-29,North Carolina,TCU,0.0,0.0,20.0,31.0,0.22,0.78,-11.5,52.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-08-29,San Jose St,USC,0.0,0.0,10.0,41.0,0.03,0.97,-30.5,55.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-08-29,NC State,Virginia,0.0,0.0,27.0,28.0,0.49,0.51,-1.5,53.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-08-29,Jacksonville St,N Dakota St,0.0,0.0,21.0,35.0,0.17,0.83,-14.5,55.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-08-29,CS Sacramento,E Michigan,0.0,0.0,26.0,29.0,0.41,0.59,-3.5,56.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-08-29,New Mexico St,Florida St,0.0,0.0,7.0,38.0,0.02,0.98,-30.5,51.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-08-29,Hawaii,Stanford,0.0,0.0,21.0,28.0,0.31,0.69,-7.5,52.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-08-29,Memphis,UNLV,0.0,0.0,28.0,27.0,0.51,0.49,-0.5,59.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Massachusetts,Rutgers,0.0,0.0,7.0,42.0,0.01,0.99,-35.5,54.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Bethune-Cookman,UCF,0.0,0.0,3.0,48.0,0.0,1.0,-44.5,54.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Akron,Wake Forest,0.0,0.0,10.0,37.0,0.04,0.96,-26.5,50.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,SUNY Albany,Buffalo,0.0,0.0,13.0,38.0,0.05,0.95,-24.5,50.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,West Georgia,Kennesaw,0.0,0.0,17.0,31.0,0.17,0.83,-14.5,52.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Colorado,Georgia Tech,0.0,0.0,24.0,31.0,0.29,0.71,-7.5,55.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,E Illinois,Minnesota,0.0,0.0,3.0,45.0,0.0,1.0,-41.5,48.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Idaho,Utah,0.0,0.0,7.0,45.0,0.01,0.99,-37.5,53.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,UAB,Illinois,0.0,0.0,14.0,42.0,0.04,0.96,-28.5,54.5,massey_games_20260829.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Massachusetts,Rutgers,0.0,0.0,7.0,42.0,0.01,0.99,-35.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Bethune-Cookman,UCF,0.0,0.0,3.0,48.0,0.0,1.0,-44.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Akron,Wake Forest,0.0,0.0,10.0,37.0,0.04,0.96,-26.5,50.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,SUNY Albany,Buffalo,0.0,0.0,13.0,38.0,0.05,0.95,-24.5,50.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,West Georgia,Kennesaw,0.0,0.0,17.0,31.0,0.17,0.83,-14.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Colorado,Georgia Tech,0.0,0.0,24.0,31.0,0.29,0.71,-7.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,E Illinois,Minnesota,0.0,0.0,3.0,45.0,0.0,1.0,-41.5,48.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Idaho,Utah,0.0,0.0,7.0,45.0,0.01,0.99,-37.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,UAB,Illinois,0.0,0.0,14.0,42.0,0.04,0.96,-28.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-04,LIU Post,Kansas,0.0,0.0,3.0,47.0,0.0,1.0,-43.5,49.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-04,UTEP,Oklahoma,0.0,0.0,7.0,44.0,0.0,1.0,-37.5,50.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-04,Miami FL,Stanford,0.0,0.0,35.0,14.0,0.91,0.09,-20.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
