source,status,path,rows,provider_seasons,canonical_variants,rows_after_site_filter,matched_site_teams,missing_site_teams,extra_teams_after_filter
SP+,ok_accepted,data/ratings/spplus_2026_from_espn_latest.csv,138.0,,,,,,
FPI,ok_accepted,data/ratings/fpi_2026_latest.csv,138.0,,,,,,
TeamRankings,ok_accepted,data/ratings/teamrankings_2026_latest.csv,138.0,,,,,,
KFord,ok,data/ratings/kford_2025_test_latest.csv,136.0,,,,,,
Brad Powers,ok,data/ratings/bradpowers_2026_latest.csv,138.0,,,,,,
Sagarin,ok_preseason_stale_provider,data/ratings/external_sources/sagarin_latest.csv,538.0,2025,Sagarin Rating|Sagarin Predictor,,,,
Donchess Overall,ok,data/ratings/external_sources/donchess_latest.csv,138.0,,,,,,
Massey Power,ok,data/ratings/external_sources/massey_latest.csv,138.0,,,,,,
Brad Powers,coverage,,,,,138.0,138.0,,
Donchess Overall,coverage,,,,,137.0,137.0,Sacramento State,
FPI,coverage,,,,,138.0,138.0,,
KFord,coverage,,,,,136.0,136.0,North Dakota State; Sacramento State,
Massey Power,coverage,,,,,138.0,138.0,,
SP+,coverage,,,,,138.0,138.0,,
Sagarin Predictor,coverage,,,,,138.0,138.0,,
Sagarin Rating,coverage,,,,,138.0,138.0,,
TeamRankings,coverage,,,,,138.0,138.0,,
