unnamed_0_level_0_w_l,power_index_fpi,power_index_rk,power_index_trend,projections_proj_w_l,projections_win_out,projections_6wins,projections_win_div,projections_win_conf,projections_playoff,projections_make_nc,projections_win_nc
0-0,28.7,1,--,10.2-2.4,9.2,99.4,0.0,38.8,75.7,28.0,17.0
0-0,26.9,2,--,9.8-2.7,6.8,98.0,0.0,29.7,70.2,22.5,12.8
0-0,25.9,3,--,10.7-1.3,32.7,100.0,0.0,0.0,74.1,19.6,10.6
0-0,25.3,4,--,10.2-2.3,8.5,99.4,0.0,24.2,64.7,17.7,9.2
0-0,24.8,5,--,9.9-2.5,10.9,98.5,0.0,23.3,63.9,17.1,9.6
0-0,23.1,6,--,10.1-2.3,9.5,99.4,0.0,18.7,57.1,13.1,6.4
0-0,21.8,7,--,10.4-2.3,8.8,99.4,0.0,50.3,63.3,11.2,5.3
0-0,20.1,8,--,8.6-3.6,1.6,93.1,0.0,10.3,41.4,8.1,3.8
0-0,20.0,9,--,8.4-3.8,1.1,91.9,0.0,8.8,39.5,7.6,3.5
0-0,20.0,10,--,10.8-1.8,25.2,99.5,0.0,45.9,57.8,8.1,3.5
0-0,20.0,11,--,8.4-3.8,0.8,92.6,0.0,8.4,38.8,7.3,3.4
0-0,17.8,12,--,7.5-4.6,0.1,83.2,0.0,5.4,28.2,4.6,1.9
0-0,17.0,13,--,8.2-3.9,0.3,93.2,0.0,5.1,27.5,3.9,1.7
0-0,16.0,14,--,7.3-4.8,0.1,81.0,0.0,3.7,22.5,3.4,1.5
0-0,15.9,15,--,7.8-4.3,0.1,89.7,0.0,3.8,23.2,2.8,1.1
0-0,15.1,16,--,7.3-4.7,0.1,80.8,0.0,3.1,20.4,2.5,1.0
0-0,13.7,17,--,9.0-3.2,2.5,95.8,0.0,4.5,22.0,2.1,0.8
0-0,13.6,18,--,6.7-5.3,0.0,71.6,0.0,2.0,15.1,1.7,0.7
0-0,13.4,19,--,8.1-4.1,0.5,89.3,0.0,11.9,22.3,2.1,0.8
0-0,13.1,20,--,8.7-3.6,1.4,93.1,0.0,16.5,25.6,2.0,0.7
0-0,12.2,21,--,6.7-5.3,0.0,71.9,0.0,1.5,12.4,1.2,0.4
0-0,12.0,22,--,6.6-5.4,0.0,69.7,0.0,1.4,12.0,1.2,0.5
0-0,11.7,23,--,6.4-5.6,0.0,66.6,0.0,1.3,10.8,1.1,0.4
0-0,11.1,24,--,8.3-4.0,0.4,91.6,0.0,10.3,18.2,1.3,0.4
0-0,10.6,25,--,7.6-4.4,0.1,86.2,0.0,1.7,11.8,0.8,0.2
0-0,9.9,26,--,7.0-5.0,0.0,78.1,0.0,1.0,9.2,0.6,0.2
0-0,9.5,27,--,7.6-4.6,0.3,82.0,0.0,7.0,13.4,0.8,0.2
0-0,9.3,28,--,6.7-5.4,0.0,71.0,0.0,4.2,9.5,0.6,0.2
0-0,9.0,29,--,6.2-5.8,0.0,62.5,0.0,0.7,6.8,0.5,0.1
0-0,8.8,30,--,6.7-5.3,0.0,74.5,0.0,0.7,7.2,0.5,0.2
0-0,8.5,31,--,7.7-4.4,0.4,83.7,0.0,5.9,10.9,0.5,0.1
0-0,7.9,32,--,7.7-4.4,0.3,84.7,0.0,3.8,9.3,0.5,0.1
0-0,7.4,33,--,7.0-5.1,0.0,76.4,0.0,2.8,6.9,0.4,0.1
0-0,7.2,34,--,7.3-4.8,0.1,80.1,0.0,4.2,7.6,0.3,0.1
0-0,7.1,35,--,7.4-4.7,0.1,81.3,0.0,4.1,7.8,0.4,0.1
0-0,6.6,36,--,7.1-5.0,0.1,77.6,0.0,2.3,6.2,0.3,0.1
0-0,6.5,37,--,6.6-5.5,0.0,68.8,0.0,3.2,6.0,0.2,0.1
0-0,6.4,38,--,6.8-5.3,0.0,72.1,0.0,4.0,6.8,0.3,0.1
0-0,6.3,39,--,6.7-5.3,0.0,72.3,0.0,0.5,4.7,0.2,0.1
0-0,5.4,40,--,4.6-7.4,0.0,30.4,0.0,0.2,2.2,0.1,0.0
0-0,5.1,41,--,7.0-5.1,0.1,74.1,0.0,3.1,5.7,0.2,0.1
0-0,4.9,42,--,5.8-6.2,0.0,55.5,0.0,1.5,3.6,0.1,0.0
0-0,4.8,43,--,6.5-5.5,0.0,69.2,0.0,0.6,3.5,0.1,0.0
0-0,4.8,44,--,6.0-6.1,0.0,57.6,0.0,2.3,4.0,0.1,0.0
0-0,4.5,45,--,6.0-6.1,0.0,57.2,0.0,2.5,4.2,0.1,0.0
0-0,4.4,46,--,6.4-5.7,0.0,64.9,0.0,2.1,4.1,0.2,0.0
0-0,4.4,47,--,4.3-7.7,0.0,24.2,0.0,0.1,1.7,0.1,0.0
0-0,4.2,48,--,5.8-6.3,0.0,54.4,0.0,1.4,3.3,0.1,0.0
0-0,4.1,49,--,4.6-7.4,0.0,29.5,0.0,0.1,1.7,0.1,0.0
0-0,4.0,50,--,7.8-3.8,0.3,84.9,0.0,36.4,11.2,0.2,0.1
0-0,3.7,51,--,6.7-5.4,0.0,70.1,0.0,1.5,3.5,0.1,0.0
0-0,3.5,52,--,6.0-6.0,0.0,57.9,0.0,1.2,2.9,0.1,0.0
0-0,3.4,53,--,6.3-5.8,0.0,63.3,0.0,1.0,2.8,0.1,0.0
0-0,3.3,54,--,6.0-6.1,0.0,58.5,0.0,1.9,3.2,0.1,0.0
0-0,2.8,55,--,6.0-6.0,0.0,58.1,0.0,1.5,2.8,0.1,0.0
0-0,2.3,56,--,8.2-4.2,0.7,87.0,0.0,21.8,7.6,0.1,0.0
0-0,2.1,57,--,6.1-5.9,0.0,59.6,0.0,1.7,3.0,0.1,0.0
0-0,1.8,58,--,9.0-3.6,2.4,92.6,0.0,35.4,8.7,0.1,0.0
0-0,1.4,59,--,7.5-4.0,1.0,81.3,0.0,25.1,7.5,0.1,0.0
0-0,1.4,60,--,4.9-7.1,0.0,37.6,0.0,0.1,0.9,0.0,0.0
0-0,1.0,61,--,5.4-6.6,0.0,46.0,0.0,0.1,1.2,0.0,0.0
0-0,0.9,62,--,5.6-6.5,0.0,49.2,0.0,0.5,1.4,0.0,0.0
0-0,0.6,63,--,5.3-6.7,0.0,43.7,0.0,0.1,0.8,0.0,0.0
0-0,0.5,64,--,5.1-6.9,0.0,41.6,0.0,0.1,1.0,0.0,0.0
0-0,0.3,65,--,4.6-7.4,0.0,32.7,0.0,0.1,0.8,0.0,0.0
0-0,0.2,66,--,5.4-6.6,0.0,46.5,0.0,0.7,1.4,0.0,0.0
0-0,-0.2,67,--,5.1-6.9,0.0,40.6,0.0,0.1,0.8,0.0,0.0
0-0,-0.6,68,--,8.0-4.3,0.1,88.2,0.0,15.9,4.7,0.0,0.0
0-0,-0.7,69,--,7.9-4.4,0.1,86.1,0.0,18.9,4.7,0.0,0.0
0-0,-0.8,70,--,4.8-7.2,0.0,35.0,0.0,0.4,0.9,0.0,0.0
0-0,-0.9,71,--,4.3-7.7,0.0,25.1,0.0,0.1,0.6,0.0,0.0
0-0,-0.9,72,--,5.1-6.9,0.0,41.0,0.0,0.5,0.9,0.0,0.0
0-0,-0.9,73,--,8.4-3.8,1.0,90.9,0.0,12.0,5.1,0.0,0.0
0-0,-1.9,74,--,7.0-5.2,0.1,74.3,0.0,9.3,3.1,0.0,0.0
0-0,-2.0,75,--,8.2-4.2,0.6,87.1,31.9,19.9,4.3,0.0,0.0
0-0,-2.4,76,--,7.9-4.5,0.3,84.5,0.0,22.0,3.5,0.0,0.0
0-0,-2.5,77,--,6.2-5.0,0.0,62.3,0.0,11.4,2.9,0.0,0.0
0-0,-2.7,78,--,4.0-8.1,0.0,19.9,0.0,0.1,0.4,0.0,0.0
0-0,-3.0,79,--,8.5-4.0,1.0,89.7,0.0,26.3,4.0,0.0,0.0
0-0,-3.3,80,--,3.9-8.1,0.0,18.9,0.0,0.1,0.2,0.0,0.0
0-0,-3.5,81,--,7.7-4.7,0.1,83.8,0.0,16.5,2.9,0.0,0.0
0-0,-4.0,82,--,7.7-4.6,0.1,84.4,0.0,21.6,2.6,0.0,0.0
0-0,-4.1,83,--,5.1-6.1,0.0,39.3,0.0,8.3,1.4,0.0,0.0
0-0,-4.3,84,--,5.6-5.6,0.0,52.2,0.0,8.6,1.9,0.0,0.0
0-0,-4.4,85,--,7.3-5.0,0.1,76.7,24.0,14.0,2.2,0.0,0.0
0-0,-4.9,86,--,7.1-5.3,0.0,77.1,0.0,24.8,1.9,0.0,0.0
0-0,-5.1,87,--,6.9-5.3,0.0,73.5,24.5,12.6,1.6,0.0,0.0
0-0,-5.3,88,--,6.4-5.7,0.0,66.5,0.0,5.9,1.5,0.0,0.0
0-0,-5.6,89,--,6.4-5.7,0.0,64.3,0.0,5.0,1.4,0.0,0.0
0-0,-6.4,90,--,6.2-5.9,0.0,62.6,0.0,4.5,1.0,0.0,0.0
0-0,-6.6,91,--,6.9-5.5,0.0,71.8,0.0,16.8,1.3,0.0,0.0
0-0,-6.7,92,--,4.7-6.4,0.0,33.2,0.0,4.7,0.7,0.0,0.0
0-0,-6.8,93,--,7.2-5.1,0.1,75.7,0.0,10.0,1.5,0.0,0.0
0-0,-7.0,94,--,7.2-5.1,0.0,77.0,0.0,13.8,1.1,0.0,0.0
0-0,-7.4,95,--,6.6-5.6,0.0,68.2,17.1,8.2,1.0,0.0,0.0
0-0,-7.7,96,--,7.4-4.9,0.2,77.9,0.0,14.8,1.3,0.0,0.0
0-0,-8.0,97,--,7.1-5.1,0.0,76.0,0.0,11.4,1.2,0.0,0.0
0-0,-8.1,98,--,4.4-6.7,0.0,27.6,0.0,4.2,0.5,0.0,0.0
0-0,-8.3,99,--,6.9-5.3,0.0,72.7,19.2,8.3,1.0,0.0,0.0
