"Name","School","Conference","Overall","Pass Rush","Run D","Tackle","Coverage","Discipline"
"Leonard Moore","ND","Inde","17.84","13.05","15.25","11.67","17.75","17.06"
"Bray Hubbard","Bama","SEC","16.96","12.75","17.11","15.50","16.69","17.14"
"KJ Bolden","UGA","SEC","16.83","13.70","17.04","17.10","16.49","11.73"
"Chris Peal","Cuse","ACC","16.68","11.33","14.98","16.72","17.02","16.68"
"Terry Moore","OSU","Big10","16.59","15.48","15.35","11.85","16.10","9.80"
"Jaquez White","VT","ACC","16.42","12.76","16.57","11.56","16.31","5.07"
"Brauntae Johnson","ND","Inde","16.17","12.00","15.49","17.73","16.37","8.96"
"Corey Myrick","Clem","ACC","16.09","10.87","15.53","14.76","15.88","16.26"
"Jay'Vion Cole","Zona","Big12","16.02","13.12","12.72","11.12","15.92","13.53"
"Xavier Scott","Illini","Big10","15.94","14.95","16.63","16.02","13.21","13.92"
"Zach Lutmer","Iowa","Big10","15.92","12.45","15.27","12.32","16.09","17.61"
"Evan Johnson","BYU","Big12","15.90","11.45","14.09","11.91","15.91","16.85"
"Bryce Fitzgerald","MiaFL","ACC","15.84","12.77","14.50","14.78","16.04","17.20"
"Dijon Lee Jr.","Bama","SEC","15.76","5.47","13.34","13.51","15.92","17.09"
"Jamari Sharpe","Ind","Big10","15.75","13.02","12.98","14.74","15.76","15.52"
"Dashawn Spears","LSU","SEC","15.72","12.01","16.50","15.68","15.05","9.23"
"Amare Ferrell","Ind","Big10","15.66","11.44","13.90","10.44","16.00","17.58"
"John Nestor","Minn","Big10","15.64","9.85","14.98","12.85","15.56","16.85"
"Ty Redmond","Tenn","SEC","15.63","16.15","11.83","10.18","16.05","16.80"
"Antwan Peek Jr.","Cincy","Big12","15.62","11.76","17.26","15.79","13.50","16.49"
"DJ Pickett","LSU","SEC","15.60","13.61","16.90","14.62","15.15","8.12"
"Brandon Finney Jr.","Ore","Big10","15.59","13.19","14.48","14.92","15.63","16.89"
"Jontez Williams","USC","Big10","15.58","10.70","13.04","14.79","16.12","16.61"
"Brent Gordon Jr.","ULLaf","SBC","15.54","9.43","16.69","14.76","15.19","10.10"
"Shawn Lee Jr.","Pitt","ACC","15.48","5.29","12.77","12.33","15.74","16.26"
"Kade Phillips","Tex","SEC","15.47","5.98","12.81","13.84","15.77","16.02"
"Jaylen McClain","OSU","Big10","15.46","11.40","15.27","16.98","15.30","17.34"
"Keon Sabb","Bama","SEC","15.43","13.38","14.31","14.86","15.63","17.53"
"Tyren Polley Jr.","SMU","ACC","15.40","10.79","13.31","12.67","16.29","15.81"
"Jyaire Hill","Mich","Big10","15.38","14.00","14.35","11.15","15.15","17.07"
"Jordan Matthews","Vand","SEC","15.38","5.52","14.68","12.95","15.43","6.89"
"Faletau Satuala","BYU","Big12","15.36","11.24","14.45","16.40","15.84","16.50"
"Eric Winters","Aub","SEC","15.33","13.19","17.72","14.43","13.12","16.25"
"Brice Pollock","TT","Big12","15.33","11.13","15.92","14.59","14.86","13.24"
"Ian Foster","Mem","Amer","15.32","13.84","15.23","12.54","15.24","12.72"
"Daryus Dixson","PSU","Big10","15.31","17.66","11.90","12.37","14.94","16.16"
"Cam Calhoun","OSU","Big10","15.24","10.74","13.74","13.41","15.57","14.44"
"Marcus Neal Jr.","PSU","Big10","15.23","14.58","16.09","14.10","13.91","16.75"
"Robert Fitzgerald","NW","Big10","15.19","12.05","17.21","14.68","13.19","17.17"
"Eli Bowen","OU","SEC","15.19","11.80","15.57","12.10","14.89","16.61"
"Devin Turner","Bay","Big12","15.16","13.57","14.95","14.89","13.07","11.98"
"Koa Akui","Rice","Amer","15.15","11.97","10.13","11.83","16.12","15.34"
"King Mack","NCSt","ACC","15.11","13.52","13.02","15.38","15.64","16.88"
"Bo Mascoe","Tex","SEC","15.04","7.36","11.34","13.62","15.92","9.23"
"Mason Curtis","Mich","Big10","15.03","10.34","15.16","14.87","15.05","16.45"
"Demetres Samuel Jr.","Cuse","ACC","15.03","11.37","14.88","17.32","14.86","16.86"
"Jahmir Joseph","PSU","Big10","15.03","6.62","10.17","11.91","15.60","14.40"
"Ethan O'Connor","MiaFL","ACC","15.02","12.98","14.39","10.27","15.06","11.73"
"Rod Moore","Mich","Big10","14.95","11.98","14.47","14.47","14.03","16.58"
"Antonio Kite","Miss","SEC","14.93","11.16","14.02","13.91","15.11","16.54"
"Luke Talich","ND","Inde","14.91","6.79","13.96","12.63","15.43","12.87"
"Cruce Brookins","Pitt","ACC","14.89","12.41","16.23","16.66","13.90","16.81"
"Preston Zachman","Ind","Big10","14.89","11.41","14.30","15.60","15.32","16.72"
"Braden Turner","NW","Big10","14.88","12.69","13.81","13.07","15.21","17.01"
"Greg Smith","UNC","ACC","14.85","11.23","12.94","14.16","15.47","15.84"
"Jayden Bellamy","UCF","Big12","14.83","12.83","13.04","15.76","15.14","16.89"
"Kelley Jones","MissSt","SEC","14.81","9.72","14.72","14.27","14.71","16.74"
"Sione Laulea","Mizz","SEC","14.74","7.03","13.29","11.35","14.73","14.77"
"LaDainian Fields","OKSt","Big12","14.74","12.40","14.40","10.56","14.81","5.51"
"Deuce Blades II","Wake","ACC","14.71","11.05","13.93","13.08","14.71","16.02"
"Miles Greer","Buff","MAC","14.71","12.69","15.20","15.79","14.08","17.18"
"Ashton Hampton","TT","Big12","14.70","6.12","11.24","9.42","15.21","14.16"
"Bryce Thornton","Fla","SEC","14.69","16.35","14.15","13.63","14.10","17.20"
"Adon Shuler","ND","Inde","14.67","17.06","13.63","11.55","14.75","10.74"
"Brenden Jordan","TT","Big12","14.67","11.59","14.59","14.15","14.68","17.59"
"Dontay Joyner","Mary","Big10","14.67","11.65","14.96","13.22","14.63","9.52"
"Jelani McDonald","Tex","SEC","14.66","13.90","16.56","16.90","13.96","5.86"
"JeRico Washington Jr.","Boise","Pac12","14.66","9.37","12.69","12.24","14.99","13.91"
"Jayden Sanders","ND","Inde","14.65","11.91","13.46","13.84","14.62","15.97"
"Jordan Allen","Hou","Big12","14.65","11.91","15.42","15.97","14.02","17.15"
"Brandon Crutchfield","ODU","SBC","14.65","5.13","11.92","11.32","14.91","15.64"
"Xavier Lucas","MiaFL","ACC","14.62","11.01","12.70","11.42","14.98","9.58"
