School,Conf,Def AIR,Rank,Style,Play Caller,Blitz%,Pass Rush,Run Stop,Coverage,Tackling
"Texas","SEC","13.97","1","Pro Style","Will Muschamp","","13.50","14.49","13.51","13.16"
"Oregon","Big10","13.86","2","Pro Style","Chris Hampton","","13.38","13.51","12.91","12.56"
"Georgia","SEC","13.64","3","Pro Style","Glenn Schumann","","11.78","13.95","13.23","12.47"
"Ohio State","Big10","13.63","4","Pro Style","Matt Patricia","","12.52","13.97","13.43","12.58"
"Miami","ACC","13.50","5","Inside Zone Spread","Corey Hetherman","","13.19","13.23","12.94","11.88"
"Ole Miss","SEC","13.27","6","Up Tempo Spread","Bryan Brown","","12.31","13.47","13.49","12.77"
"LSU","SEC","13.18","7","Pro Spread","Blake Baker","","13.25","13.44","12.58","13.17"
"USC","Big10","13.16","8","Air Raid","Gary Patterson","","12.35","12.02","12.82","13.31"
"Texas Tech","Big12","13.14","9","Balanced Spread","Shiel Wood","","12.53","13.97","13.45","11.52"
"Missouri","SEC","13.10","10","Pro Spread","Corey Battoon","","12.50","14.25","12.51","12.63"
"SMU","ACC","12.97","11","RPO Spread","Maurice Crum Jr.","","12.67","12.94","13.00","11.92"
"Notre Dame","Inde","12.96","12","Pro Spread","Chris Ash","","13.12","14.23","13.96","13.28"
"Utah","Big12","12.83","13","Balanced Spread","Colton Swan","","12.70","12.69","12.18","12.07"
"Indiana","Big10","12.82","14","Pro Style","Bryant Haines","","12.70","13.78","12.95","12.80"
"Washington","Big10","12.76","15","Air Raid","Ryan Walters","","12.99","12.72","12.93","12.38"
"Oklahoma State","Big12","12.67","16","Balanced Spread","Skyler Cassity","","11.75","12.88","12.30","12.56"
"Nebraska","Big10","12.62","17","Spread Option","Rob Aurich","","12.01","12.92","12.50","13.12"
"Alabama","SEC","12.60","18","Spread","Kane Wommack","","12.05","13.27","13.45","12.81"
"Florida","SEC","12.59","19","Pro-Style Hybrid","Brad White","","12.15","13.41","12.67","13.26"
"Michigan","Big10","12.58","20","Power Spread","Jay Hill","","12.73","12.76","12.68","12.13"
"Rutgers","Big10","12.56","21","Pro Spread","Travis Johansen","","12.04","12.52","11.18","12.53"
"Tennessee","SEC","12.56","22","Up Tempo Spread","Jim Knowles","","12.83","12.84","12.84","13.07"
"Florida State","ACC","12.39","23","RPO Spread","Tony White","","11.84","12.83","11.86","12.75"
"Virginia","ACC","12.37","24","Power Spread","John Rudzinski","","12.67","12.92","12.43","11.81"
