"Name","School","Conference","Overall","Pass Rush","Run D","Tackle","Coverage","Discipline"
"Clev Lubin","Lou","ACC","17.50","17.77","13.81","13.50","16.38","10.53"
"John Henry Daley","Mich","Big10","17.42","17.74","14.87","11.95","10.53","14.22"
"J'Mond Tapp","Mem","Amer","16.76","16.83","14.84","13.75","14.23","6.61"
"Colin Simmons","Tex","SEC","16.64","18.07","15.14","12.24","12.38","5.31"
"Dylan LaBarbera","Nev","MWC","16.60","16.19","15.93","15.23","15.30","6.66"
"Isaac Terrell","IASt","Big12","16.14","16.05","14.96","12.52","11.12","16.50"
"Will Echoles","Miss","SEC","15.64","12.98","16.37","11.09","13.33","14.73"
"Santana Hopper","Col","Big12","15.57","15.59","14.48","10.59","12.28","11.56"
"Cody Sigler","Aub","SEC","15.55","14.36","15.03","10.96","11.16","15.34"
"Tavion Gadson","UK","SEC","15.43","15.58","14.45","15.59","11.54","11.64"
"DeSean Watts","Wash","Big10","15.39","12.52","15.81","11.37","11.22","10.30"
"Will Heldt","Clem","ACC","15.38","15.07","14.93","13.83","13.20","13.64"
"Michael Kilbane","NW","Big10","15.36","14.66","14.80","15.42","11.90","16.81"
"Boubacar Traore","ND","Inde","15.32","14.62","14.56","14.99","16.15","7.01"
"Dylan Stewart","SoCar","SEC","15.31","15.86","14.27","10.94","10.31","5.43"
"Francis Brewu","ND","Inde","15.27","14.27","15.17","11.19","6.97","13.95"
"Jordan Ross","LSU","SEC","15.18","15.73","14.43","14.19","10.68","16.86"
"Ezra Christensen","Col","Big12","15.18","15.27","13.77","9.31","10.64","14.78"
"Chaz Coleman","Tenn","SEC","15.18","16.69","11.56","9.26","13.35","15.72"
"AJ Green","Lou","ACC","15.17","15.84","13.13","14.12","14.25","7.56"
"A.J. Holmes Jr.","TT","Big12","15.13","13.71","15.61","11.95","10.98","15.33"
"David Stone","OU","SEC","15.13","13.54","15.89","13.56","12.60","7.19"
"Taylor Wein","OU","SEC","15.11","14.70","13.90","12.75","14.19","16.48"
"A'Mauri Washington","Ore","Big10","15.08","13.81","15.13","9.75","12.15","14.70"
"Takari Hickle","OreSt","Pac12","15.08","13.60","15.71","11.70","13.24","9.41"
"Keenan Wilson","NDSt","MWC","15.07","13.11","14.92","9.36","11.87","14.93"
"Jahkai Lang","SMU","ACC","15.04","13.46","14.80","15.67","14.91","16.96"
"Landon Rink","A&M","SEC","15.03","11.75","15.96","14.13","6.83","14.10"
"Steven Soles Jr.","Ark","SEC","14.89","16.41","13.93","10.63","10.29","7.03"
"Stephen Daley","Ind","Big10","14.85","13.13","15.39","10.49","12.81","11.60"
"JaMair Diaz","Temp","Amer","14.84","14.29","13.59","10.15","13.00","14.70"
"Marquis Gracial","Mizz","SEC","14.79","11.61","15.75","13.36","10.36","15.98"
"Jireh Moe","Utah","Big12","14.79","14.03","13.98","11.03","11.72","14.66"
"Lamont Lester Jr.","Col","Big12","14.78","14.97","12.65","10.88","10.04","5.27"
"Ahmad Moten Sr.","MiaFL","ACC","14.78","14.74","14.31","9.20","13.28","13.55"
"Justin Scott","MiaFL","ACC","14.76","14.52","14.27","11.97","13.47","7.08"
"Jason Onye","ND","Inde","14.76","14.97","14.04","13.17","11.08","8.13"
"Emmanuel Oyebadejo","Fla","SEC","14.75","13.61","14.39","11.34","12.46","10.56"
"Tyrique Tucker","Ind","Big10","14.72","13.42","15.22","13.67","12.38","13.93"
"Jonathan Jefferson","SMU","ACC","14.69","13.26","14.69","8.86","11.21","14.92"
"Sahir West","UCLA","Big10","14.68","14.31","14.02","14.65","11.95","7.30"
"Marco Jones","A&M","SEC","14.67","13.75","14.99","15.79","10.56","15.83"
