"School","Conference","Injury Number","Injury New","OFS","O","D","Q","P","S","GTD","OPT","RET","Injury Impact","Impact PP"
"Syracuse","ACC","2","0","0","1","0","0","1","0","0","0","0","3.9","2.0"
"Miami","ACC","1","0","1","0","0","0","0","0","0","0","0","3.9","3.9"
"Tennessee","SEC","3","0","1","0","0","0","1","1","0","0","0","3.3","1.1"
"Boston College","ACC","2","0","1","0","0","0","1","0","0","0","0","3.1","1.6"
"Notre Dame","Inde","11","0","0","0","1","5","5","0","0","0","0","3.1","0.3"
"Houston","Big12","2","0","0","1","0","1","0","0","0","0","0","2.9","1.5"
"Baylor","Big12","4","0","0","0","0","3","0","0","0","0","1","2.9","0.7"
"USC","Big10","4","0","0","0","0","2","2","0","0","0","0","2.8","0.7"
"Missouri","SEC","5","0","0","0","1","3","1","0","0","0","0","2.7","0.5"
"Arizona","Big12","7","0","0","0","0","3","4","0","0","0","0","2.6","0.4"
"Florida State","ACC","5","0","1","1","0","2","1","0","0","0","0","2.3","0.5"
"Georgia","SEC","7","0","1","0","1","2","3","0","0","0","0","2.2","0.3"
"South Alabama","SBC","3","0","0","0","0","3","0","0","0","0","0","1.8","0.6"
"Arizona State","Big12","2","0","1","0","0","0","1","0","0","0","0","1.6","0.8"
"New Mexico","MWC","5","0","0","0","0","4","1","0","0","0","0","1.3","0.3"
"Kentucky","SEC","2","0","0","1","0","0","1","0","0","0","0","1.3","0.6"
"Texas A&M","SEC","3","0","0","1","0","2","0","0","0","0","0","1.3","0.4"
"Texas Tech","Big12","8","0","0","2","0","4","2","0","0","0","0","1.3","0.2"
"Colorado","Big12","6","0","0","0","0","6","0","0","0","0","0","1.2","0.2"
"Auburn","SEC","3","0","0","0","0","1","2","0","0","0","0","1.0","0.3"
"Temple","Amer","3","0","1","0","0","2","0","0","0","0","0","0.9","0.3"
"Hawai'i","MWC","1","0","0","0","0","1","0","0","0","0","0","0.9","0.9"
"Virginia","ACC","5","0","0","0","1","2","2","0","0","0","0","0.3","0.1"
"Air Force","MWC","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"Akron","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"App State","SBC","2","0","0","0","0","2","0","0","0","0","0","0.0","0.0"
"Arkansas","SEC","4","0","0","0","0","2","2","0","0","0","0","0.0","0.0"
"Arkansas State","SBC","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Army","Amer","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Ball State","MAC","2","0","0","0","0","2","0","0","0","0","0","0.0","0.0"
"Alabama","SEC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Bowling Green","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Boise State","Pac12","2","0","0","0","0","2","0","0","0","0","0","0.0","0.0"
"Buffalo","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"BYU","Big12","4","0","0","0","0","3","1","0","0","0","0","0.0","0.0"
"California","ACC","3","0","0","0","0","3","0","0","0","0","0","0.0","0.0"
"Charlotte","Amer","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Cincinnati","Big12","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"Clemson","ACC","3","0","1","0","0","2","0","0","0","0","0","0.0","0.0"
"Central Michigan","MAC","1","0","1","0","0","0","0","0","0","0","0","0.0","0.0"
"Coastal Carolina","SBC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Colorado State","Pac12","3","0","0","0","0","1","2","0","0","0","0","0.0","0.0"
"UConn","Inde","2","0","0","0","0","2","0","0","0","0","0","0.0","0.0"
"Delaware","CUSA","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Duke","ACC","5","0","0","0","0","4","1","0","0","0","0","0.0","0.0"
"East Carolina","Amer","3","0","0","0","0","0","3","0","0","0","0","0.0","0.0"
"Eastern Michigan","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Florida Atlantic","Amer","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Florida International","CUSA","2","0","0","0","1","1","0","0","0","0","0","0.0","0.0"
"Florida","SEC","2","0","0","0","0","2","0","0","0","0","0","0.0","0.0"
"Fresno State","Pac12","2","0","2","0","0","0","0","0","0","0","0","0.0","0.0"
"Georgia Southern","SBC","3","0","0","0","0","3","0","0","0","0","0","0.0","0.0"
"Georgia State","SBC","2","0","0","0","0","2","0","0","0","0","0","0.0","0.0"
"Georgia Tech","ACC","6","0","0","0","0","6","0","0","0","0","0","0.0","0.0"
"Iowa State","Big12","3","0","2","0","0","1","0","0","0","0","0","0.0","0.0"
"Illinois","Big10","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Indiana","Big10","2","0","0","0","0","2","0","0","0","0","0","0.0","0.0"
"Iowa","Big10","3","0","0","0","0","0","3","0","0","0","0","0.0","0.0"
"Jacksonville State","CUSA","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"James Madison","SBC","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Kennesaw State","CUSA","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Kent State","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Kansas State","Big12","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Kansas","Big12","3","0","1","0","0","2","0","0","0","0","0","0.0","0.0"
"Louisiana Tech","SBC","3","0","0","0","0","1","2","0","0","0","0","0.0","0.0"
