"Name","School","Conference","Overall","Passing","Running","Deep Ball","Pressure","Clean"
"Julian Sayin","OSU","Big10","18.12","18.11","14.68","18.90","13.71","18.31"
"Arch Manning","Tex","SEC","17.24","17.10","14.93","17.82","11.37","17.71"
"Trinidad Chambliss","Miss","SEC","17.18","17.18","14.48","18.60","13.29","16.75"
"Dante Moore","Ore","Big10","16.81","16.82","15.59","19.05","10.23","17.46"
"CJ Carr","ND","Inde","16.65","16.65","10.96","17.74","10.13","17.67"
"Drew Mestemaker","OKSt","Big12","16.54","16.51","15.43","16.62","11.87","16.93"
"Darian Mensah","MiaFL","ACC","16.48","16.44","15.31","17.08","10.28","17.56"
"Devon Dampier","Utah","Big12","16.40","15.44","14.21","13.99","8.50","17.11"
"Jayden Maiava","USC","Big10","16.16","15.98","13.60","16.95","8.97","17.08"
"Sam Leavitt","LSU","SEC","16.11","15.74","10.34","17.14","12.17","14.66"
"Broc Lowry","WMich","MAC","16.10","16.03","11.08","13.66","10.52","14.88"
"Noah Fifita","Zona","Big12","16.07","15.90","12.79","17.44","13.45","15.87"
"Gunner Stockton","UGA","SEC","15.85","15.85","12.59","15.14","13.38","16.12"
"Kevin Jennings","SMU","ACC","15.74","15.81","14.23","17.98","11.88","16.65"
"Kamario Taylor","MissSt","SEC","15.72","15.72","14.10","12.42","10.46","13.38"
"Josh Hoover","Ind","Big10","15.54","15.60","12.76","17.96","11.18","16.99"
"Demond Williams Jr.","Wash","Big10","15.48","15.17","13.72","16.48","12.10","15.38"
"Byrum Brown","Aub","SEC","15.47","14.86","13.55","14.47","9.52","15.82"
"Jaron-Keawe Sagapolutele","Cal","ACC","15.45","15.45","13.43","17.97","12.39","16.82"
"Avery Johnson","KSt","Big12","15.45","14.83","14.64","16.52","8.26","16.56"
"Bear Bachmeier","BYU","Big12","15.40","15.40","15.74","13.84","10.16","15.53"
"Anthony Colandrea","Neb","Big10","15.21","14.82","14.22","16.96","9.01","16.12"
"Rocco Becht","PSU","Big10","15.10","14.70","13.31","18.08","10.93","16.20"
"Will Hammond","TT","Big12","15.08","15.28","11.66","14.31","12.66","13.46"
"Steve Angeli","Cuse","ACC","15.06","14.92","11.85","17.46","11.51","15.20"
"Aaron Philo","Fla","SEC","14.99","14.95","10.84","15.83","11.18","15.78"
"Brad Jackson","TexSt","Pac12","14.92","14.79","12.52","17.49","7.61","15.64"
"Owen McCown","UTSA","Amer","14.88","14.51","15.26","15.94","8.30","16.91"
"Nico Iamaleava","UCLA","Big10","14.85","15.10","13.27","15.05","8.96","15.79"
"LaNorris Sellers","SoCar","SEC","14.70","14.23","13.13","17.70","9.98","15.64"
"Liam Szarka","AirF","MWC","14.66","14.66","11.95","16.27","6.70","16.38"
"Katin Houser","Illini","Big10","14.65","14.59","15.79","17.00","10.82","15.08"
"Braden Atkinson","OreSt","Pac12","14.65","14.65","12.66","14.80","8.06","15.02"
"Gio Lopez","Wake","ACC","14.63","13.79","11.73","14.77","9.79","15.20"
"Conner Weigman","Hou","Big12","14.51","14.36","13.01","14.91","9.87","14.29"
"Beau Pribula","UVA","ACC","14.49","14.43","11.39","15.87","10.05","15.06"
"Kenny Minchey","UK","SEC","14.37","14.31","11.71","11.06","13.36","13.46"
"Byrd Ficklin","Utah","Big12","14.37","14.37","13.64","13.22","12.06","12.49"
"Billy Edwards Jr.","UNC","ACC","14.34","13.46","11.40","14.71","10.14","13.99"
"Keelon Russell","Bama","SEC","14.30","14.30","12.46","14.21","14.84","13.36"
"Micah Alejado","Haw","MWC","14.27","14.39","15.44","15.66","12.94","14.78"
"Roman Gagliano","MTSU","CUSA","14.23","14.18","9.33","16.07","10.49","15.02"
"John Mateer","OU","SEC","14.22","13.28","13.95","14.47","9.34","14.12"
"Malik Washington","Mary","Big10","14.12","14.12","16.02","15.06","8.42","15.45"
"Julian Lewis","Col","Big12","14.10","14.10","10.59","17.38","13.11","14.10"
"Caden Veltkamp","FAU","Amer","14.05","14.10","13.38","15.39","9.43","15.90"
"Taron Dickens","NIU","MWC","14.04","14.32","11.94","14.79","11.04","14.82"
"Jaylen Raynor","IASt","Big12","14.04","13.74","16.50","12.91","8.54","14.60"
"Austin Simmons","Mizz","SEC","14.04","13.99","10.73","16.08","7.69","15.77"
"Cale Hellums","Army","Amer","14.03","14.03","8.83","14.74","10.94","13.27"
"KJ Jackson","Ark","SEC","13.99","14.03","10.39","12.65","12.26","13.26"
"Colton Joseph","Wisc","Big10","13.98","13.16","14.64","13.54","8.46","14.23"
"Jared Curtis","Vand","SEC","13.92","13.92","13.92","13.92","13.92","13.92"
"Goose Crowder","Troy","SBC","13.92","13.99","11.20","16.92","7.25","16.56"
"Faizon Brandon","Tenn","SEC","13.88","13.88","13.88","13.88","13.88","13.88"
"Drake Lindsey","Minn","Big10","13.87","13.88","12.03","12.24","8.11","15.62"
"Jaden Craig","TCU","Big12","13.87","13.83","10.80","14.72","8.33","14.55"
"Bryce Underwood","Mich","Big10","13.87","13.87","14.50","14.00","7.52","15.74"
"Jake Merklinger","Conn","Inde","13.87","13.86","11.40","13.12","11.58","14.15"
"CJ Bailey","NCSt","ACC","13.75","13.64","13.61","17.18","7.88","15.79"
"Ethan Vasko","Lib","CUSA","13.74","13.22","11.98","13.35","11.07","13.47"
"Ashton Daniels","FSU","ACC","13.72","12.96","12.58","12.86","9.71","13.83"
