"Name","School","Conference","Overall","Running","Receiving","Pass Pro","Elusive/Explosive"
"Ahmad Hardy","Mizz","SEC","17.13","17.17","9.95","12.67","19.95"
"Nate Frazier","UGA","SEC","16.82","17.18","11.16","12.28","11.58"
"Nate Sheppard","Duke","ACC","16.74","16.98","14.30","10.65","15.47"
"Kewan Lacy","Miss","SEC","16.65","17.47","10.33","10.91","13.67"
"Jordan Marshall","Mich","Big10","16.53","16.72","10.97","12.70","13.93"
"Jadan Baugh","Fla","SEC","16.48","16.72","12.98","12.48","13.99"
"Bo Jackson","OSU","Big10","16.47","16.35","14.84","8.94","13.55"
"Jordon Davison","Ore","Big10","16.40","16.76","10.89","15.54","10.79"
"Mark Fletcher Jr.","MiaFL","ACC","16.34","17.38","9.66","12.32","14.08"
"Antwan Raymond","Rut","Big10","16.30","16.26","12.17","13.94","14.72"
"Caleb Hawkins","OKSt","Big12","16.26","16.51","12.49","9.25","19.36"
"J'Koby Williams","TT","Big12","16.18","16.13","15.83","6.44","15.87"
"DeSean Bishop","Tenn","SEC","16.16","16.65","10.98","10.15","11.85"
"Dierre Hill Jr.","Ore","Big10","16.11","16.20","13.40","14.35","22.48"
"Makhi Hughes","Hou","Big12","16.05","16.26","10.46","14.70","12.49"
"LJ Martin","BYU","Big12","16.03","16.47","13.15","11.48","13.22"
"Isaac Brown","Lou","ACC","15.92","16.58","12.58","8.91","18.61"
"Marcellous Hawkins","VT","ACC","15.73","16.50","11.42","13.59","18.95"
"Darius Taylor","Minn","Big10","15.68","15.49","14.86","12.18","12.29"
"Sire Gaines","Boise","Pac12","15.60","15.97","11.32","10.31","13.64"
"CharMar Brown","MiaFL","ACC","15.55","15.43","11.34","12.50","10.16"
"Justice Haynes","GATech","ACC","15.51","16.06","12.03","11.51","12.97"
"Lucky Sutton","SDSU","Pac12","15.48","16.04","6.52","14.46","11.54"
"Keyjuan Brown","Lou","ACC","15.44","15.97","11.99","7.47","18.12"
"Cam Cook","WVU","Big12","15.41","16.08","11.22","13.81","16.07"
"Will Henderson III","UTSA","Amer","15.34","15.88","12.92","6.89","13.62"
"Raleek Brown","Tex","SEC","15.33","16.50","11.70","9.95","14.28"
"Waymond Jordan","USC","Big10","15.30","16.07","9.58","15.69","19.61"
"Quintrevion Wisner","FSU","ACC","15.24","15.97","11.98","12.46","11.89"
"Hollywood Smothers","Tex","SEC","15.19","15.29","14.89","10.04","16.43"
"Evan Dickens","BC","ACC","15.19","15.52","10.80","9.40","10.69"
"Adam Mohammed","Cal","ACC","15.10","15.75","13.19","10.30","15.77"
"Khobie Martin","Ind","Big10","15.04","14.62","10.46","12.80","12.01"
"Bryson Washington","Aub","SEC","15.03","15.59","12.22","9.94","11.87"
"Jai'Den Thomas","UNLV","MWC","15.02","15.61","11.80","7.69","14.52"
"Kamari Moulton","Iowa","Big10","14.97","15.17","11.29","8.97","9.97"
"Wayshawn Parker","Utah","Big12","14.86","15.58","10.77","12.83","14.52"
"Ousmane Kromah","FSU","ACC","14.80","14.91","13.66","11.09","18.32"
"Rayshon Luke","Fres","Pac12","14.79","15.04","13.95","5.48","13.54"
"Cam Edwards","MichSt","Big10","14.78","15.10","11.42","12.18","11.76"
"Fluff Bothwell","MissSt","SEC","14.72","15.18","11.17","9.39","12.34"
"Dante Dowdell","UGA","SEC","14.66","14.96","10.88","12.32","8.78"
"Bam McReynolds","UAB","Amer","14.65","14.28","13.19","13.03","16.79"
"Chauncey Bowens","UGA","SEC","14.58","14.68","12.79","15.78","10.81"
"Micah Ford","Stan","ACC","14.55","14.88","11.23","12.80","11.73"
"Cameron Dickey","TT","Big12","14.49","15.37","11.33","6.94","12.72"
"Keenan Phillips","SoAla","SBC","14.49","14.67","10.36","13.00","11.57"
"Caden Durham","LSU","SEC","14.47","15.07","12.81","10.67","11.02"
"Marquise Davis","Lou","ACC","14.46","14.16","11.22","5.71","15.30"
"Abu Sama III","Wisc","Big10","14.46","15.11","9.51","9.61","15.90"
"Sedrick Alexander","Vand","SEC","14.44","14.98","13.72","12.38","10.51"
"Malachi Hosley","GATech","ACC","14.44","15.21","10.01","8.50","14.77"
"Jeremy Payne","TCU","Big12","14.43","15.04","12.86","8.84","14.09"
"King Miller","USC","Big10","14.42","15.03","10.77","12.29","11.88"
"James Peoples","PSU","Big10","14.41","14.83","12.17","8.47","12.96"
"Carson Hansen","PSU","Big10","14.38","15.28","10.56","9.81","9.31"
"Jalen Buckley","WMich","MAC","14.38","14.92","10.75","8.94","11.00"
"Wayne Knight","UCLA","Big10","14.38","14.59","12.93","10.81","13.50"
"Rueben Owens II","A&M","SEC","14.36","15.00","12.89","10.84","9.74"
"Lendon Phillips, Jr.","Iowa","Big10","14.34","14.38","10.21","8.20","14.69"
"Evan Pryor","Fla","SEC","14.33","15.27","12.11","11.12","13.58"
"Joshua Dye","Miss","SEC","14.30","14.29","8.60","11.99","11.17"
"Kedrick Reescano","Zona","Big12","14.29","15.04","10.97","12.79","13.51"
"Nykahi Davenport","Aub","SEC","14.28","14.54","9.70","12.22","14.90"
"Jeremiah Cobb","Aub","SEC","14.22","15.84","9.81","7.18","10.91"
"Samuel Singleton Jr.","FSU","ACC","14.22","14.07","11.61","11.51","12.80"
"Jayden ""Duke"" Scott","NCSt","ACC","14.19","14.54","13.01","11.28","14.21"
"Dylan Riley","Boise","Pac12","14.18","14.45","10.47","12.14","13.47"
"Ja'Kyrian Turner","Pitt","ACC","14.18","15.23","11.29","5.46","10.64"
"Duke Watson","UCF","Big12","14.15","14.38","12.08","9.24","15.64"
"Peyton Lewis","UVA","ACC","14.13","14.71","9.58","10.63","8.81"
"Jahiem White","NoTex","Amer","14.00","14.90","10.93","9.47","16.40"
"Jamal Roberts","Mizz","SEC","14.00","15.26","11.14","6.89","12.72"
"Joseph Himon II","NW","Big10","13.98","14.68","12.28","7.05","12.04"
"A.J. Turner","Minn","Big10","13.97","13.92","11.34","8.16","12.08"
"Dawson Pendergrass","Bay","Big12","13.96","14.28","11.90","11.45","11.16"
"Kendrick Raphael","SMU","ACC","13.90","14.90","10.71","10.53","11.56"
"Quinten Joyner","TT","Big12","13.88","14.84","11.44","11.73","16.64"
"Austyn Dendy","BG","MAC","13.88","13.25","14.06","13.51","11.65"
"Trequan Jones","Tuls","Amer","13.87","14.00","9.68","10.93","11.91"
"Makhi Frazier","Miss","SEC","13.87","14.28","11.85","8.16","10.37"
"Kanye Udoh","Lib","CUSA","13.87","14.41","9.90","11.46","10.54"
"Girard Pringle Jr.","MiaFL","ACC","13.85","13.81","12.94","10.60","11.47"
"George Pettaway","JMU","SBC","13.84","14.53","11.80","11.18","11.37"
"Caleb Komolafe","NW","Big10","13.84","14.07","10.75","12.59","9.82"
"Kevin Riley","Bama","SEC","13.81","13.60","14.27","10.29","10.05"
"Rodney Fields Jr.","KSt","Big12","13.81","14.08","12.40","11.14","10.63"
"Turbo Richard","Ind","Big10","13.80","14.89","10.89","8.22","11.88"
"Xavier Brown","UVA","ACC","13.80","14.20","11.73","8.74","11.26"
"Savion Hiter","Mich","Big10","13.79","13.79","13.79","13.79","13.79"
"Rodney Nelson","MiaOH","MAC","13.77","14.00","10.36","9.37","9.75"
"Braylen Russell","Ark","SEC","13.76","14.57","10.04","8.88","10.89"
"Sutton Smith","Ark","SEC","13.75","13.90","12.44","10.14","11.62"
"David Avit","AZSt","Big12","13.73","13.67","9.98","12.43","11.66"
"Bill Davis","VT","ACC","13.72","14.30","10.34","9.37","11.05"
"Fame Ijeboi","Purd","Big10","13.67","14.34","10.55","5.32","12.61"
"Jaivian Thomas","UCLA","Big10","13.63","14.28","11.30","8.19","9.63"
"Jordan Lyle","MiaFL","ACC","13.63","13.93","11.22","10.11","12.13"
"AK Dear","Bama","SEC","13.63","13.97","11.72","13.21","14.04"
"Davion Gause","NCSt","ACC","13.61","13.57","13.35","12.00","11.59"
"Da'Jaun Riggs","Ore","Big10","13.60","13.37","11.88","13.09","13.64"
"Gavin Sawchuk","NW","Big10","13.60","14.51","10.53","10.79","9.04"
"Clay Thevenin","Rut","Big10","13.60","14.03","13.34","8.65","14.03"
"Justin Marshall","Lib","CUSA","13.59","13.92","9.80","8.87","14.79"
"Johnnie Daniels","Tul","Amer","13.58","14.12","10.65","12.69","15.96"
"Aidan Laughery","Illini","Big10","13.58","14.17","11.06","8.23","10.45"
"Jekail Middlebrook","UVA","ACC","13.57","14.58","11.43","10.50","12.47"
"Ajay Allen","WKU","CUSA","13.57","14.08","11.18","8.06","12.09"
"Gideon Davidson","Clem","ACC","13.53","13.75","12.92","11.14","10.87"
"Bo Walker","UGA","SEC","13.52","13.78","10.46","13.07","11.91"
"Harlem Berry","LSU","SEC","13.52","14.02","11.12","9.78","11.22"
"Dilin Jones","LSU","SEC","13.51","13.91","10.95","8.03","11.61"
"CJ Campbell Jr.","Duke","ACC","13.46","13.51","12.71","11.54","14.98"
"Steve Chavez-Soto","Utah","Big12","13.42","13.35","8.70","13.82","10.89"
