season,team,conference,conference_tier,conference_group,conference_changed,previous_conference,conference_tenure_years
2021,Air Force,Mountain West,G6,G6,False,,1
2022,Air Force,Mountain West,G6,G6,False,Mountain West,2
2023,Air Force,Mountain West,G6,G6,False,Mountain West,3
2024,Air Force,Mountain West,G6,G6,False,Mountain West,4
2025,Air Force,Mountain West,G6,G6,False,Mountain West,5
2021,Akron,MAC,G6,G6,False,,1
2022,Akron,MAC,G6,G6,False,MAC,2
2023,Akron,MAC,G6,G6,False,MAC,3
2024,Akron,MAC,G6,G6,False,MAC,4
2025,Akron,MAC,G6,G6,False,MAC,5
2021,Alabama,SEC,P4,P4,False,,1
2022,Alabama,SEC,P4,P4,False,SEC,2
2023,Alabama,SEC,P4,P4,False,SEC,3
2024,Alabama,SEC,P4,P4,False,SEC,4
2025,Alabama,SEC,P4,P4,False,SEC,5
2021,App State,Sun Belt,G6,G6,False,,1
2022,App State,Sun Belt,G6,G6,False,Sun Belt,2
2023,App State,Sun Belt,G6,G6,False,Sun Belt,3
2024,App State,Sun Belt,G6,G6,False,Sun Belt,4
2025,App State,Sun Belt,G6,G6,False,Sun Belt,5
2021,Arizona,Pac-12,Legacy_P5,Special,False,,1
2022,Arizona,Pac-12,Legacy_P5,Special,False,Pac-12,2
2023,Arizona,Pac-12,Legacy_P5,Special,False,Pac-12,3
2024,Arizona,Big 12,P4,P4,True,Pac-12,1
2025,Arizona,Big 12,P4,P4,False,Big 12,2
2021,Arizona State,Pac-12,Legacy_P5,Special,False,,1
2022,Arizona State,Pac-12,Legacy_P5,Special,False,Pac-12,2
2023,Arizona State,Pac-12,Legacy_P5,Special,False,Pac-12,3
2024,Arizona State,Big 12,P4,P4,True,Pac-12,1
2025,Arizona State,Big 12,P4,P4,False,Big 12,2
2021,Arkansas,SEC,P4,P4,False,,1
2022,Arkansas,SEC,P4,P4,False,SEC,2
2023,Arkansas,SEC,P4,P4,False,SEC,3
2024,Arkansas,SEC,P4,P4,False,SEC,4
2025,Arkansas,SEC,P4,P4,False,SEC,5
2021,Arkansas State,Sun Belt,G6,G6,False,,1
2022,Arkansas State,Sun Belt,G6,G6,False,Sun Belt,2
2023,Arkansas State,Sun Belt,G6,G6,False,Sun Belt,3
2024,Arkansas State,Sun Belt,G6,G6,False,Sun Belt,4
2025,Arkansas State,Sun Belt,G6,G6,False,Sun Belt,5
2021,Army,Independent,Independent,Independent,False,,1
2022,Army,Independent,Independent,Independent,False,Independent,2
2023,Army,Independent,Independent,Independent,False,Independent,3
2024,Army,American,G6,G6,True,Independent,1
2025,Army,American,G6,G6,False,American,2
2021,Auburn,SEC,P4,P4,False,,1
2022,Auburn,SEC,P4,P4,False,SEC,2
2023,Auburn,SEC,P4,P4,False,SEC,3
2024,Auburn,SEC,P4,P4,False,SEC,4
2025,Auburn,SEC,P4,P4,False,SEC,5
2021,BYU,Independent,Independent,Independent,False,,1
2022,BYU,Independent,Independent,Independent,False,Independent,2
2023,BYU,Big 12,P4,P4,True,Independent,1
2024,BYU,Big 12,P4,P4,False,Big 12,2
2025,BYU,Big 12,P4,P4,False,Big 12,3
2021,Ball State,MAC,G6,G6,False,,1
2022,Ball State,MAC,G6,G6,False,MAC,2
2023,Ball State,MAC,G6,G6,False,MAC,3
2024,Ball State,MAC,G6,G6,False,MAC,4
2025,Ball State,MAC,G6,G6,False,MAC,5
2021,Baylor,Big 12,P4,P4,False,,1
2022,Baylor,Big 12,P4,P4,False,Big 12,2
2023,Baylor,Big 12,P4,P4,False,Big 12,3
2024,Baylor,Big 12,P4,P4,False,Big 12,4
2025,Baylor,Big 12,P4,P4,False,Big 12,5
2021,Boise State,Mountain West,G6,G6,False,,1
2022,Boise State,Mountain West,G6,G6,False,Mountain West,2
2023,Boise State,Mountain West,G6,G6,False,Mountain West,3
2024,Boise State,Mountain West,G6,G6,False,Mountain West,4
2025,Boise State,Mountain West,G6,G6,False,Mountain West,5
2021,Boston College,ACC,P4,P4,False,,1
2022,Boston College,ACC,P4,P4,False,ACC,2
2023,Boston College,ACC,P4,P4,False,ACC,3
2024,Boston College,ACC,P4,P4,False,ACC,4
2025,Boston College,ACC,P4,P4,False,ACC,5
2021,Bowling Green,MAC,G6,G6,False,,1
2022,Bowling Green,MAC,G6,G6,False,MAC,2
2023,Bowling Green,MAC,G6,G6,False,MAC,3
2024,Bowling Green,MAC,G6,G6,False,MAC,4
2025,Bowling Green,MAC,G6,G6,False,MAC,5
2021,Buffalo,MAC,G6,G6,False,,1
2022,Buffalo,MAC,G6,G6,False,MAC,2
2023,Buffalo,MAC,G6,G6,False,MAC,3
2024,Buffalo,MAC,G6,G6,False,MAC,4
2025,Buffalo,MAC,G6,G6,False,MAC,5
2021,California,Pac-12,Legacy_P5,Special,False,,1
2022,California,Pac-12,Legacy_P5,Special,False,Pac-12,2
2023,California,Pac-12,Legacy_P5,Special,False,Pac-12,3
2024,California,ACC,P4,P4,True,Pac-12,1
2025,California,ACC,P4,P4,False,ACC,2
2021,Central Michigan,MAC,G6,G6,False,,1
2022,Central Michigan,MAC,G6,G6,False,MAC,2
2023,Central Michigan,MAC,G6,G6,False,MAC,3
2024,Central Michigan,MAC,G6,G6,False,MAC,4
2025,Central Michigan,MAC,G6,G6,False,MAC,5
2021,Charlotte,Conference USA,G6,G6,False,,1
2022,Charlotte,Conference USA,G6,G6,False,Conference USA,2
2023,Charlotte,American,G6,G6,True,Conference USA,1
2024,Charlotte,American,G6,G6,False,American,2
2025,Charlotte,American,G6,G6,False,American,3
2021,Cincinnati,American,G6,G6,False,,1
2022,Cincinnati,American,G6,G6,False,American,2
2023,Cincinnati,Big 12,P4,P4,True,American,1
2024,Cincinnati,Big 12,P4,P4,False,Big 12,2
2025,Cincinnati,Big 12,P4,P4,False,Big 12,3
2021,Clemson,ACC,P4,P4,False,,1
2022,Clemson,ACC,P4,P4,False,ACC,2
2023,Clemson,ACC,P4,P4,False,ACC,3
2024,Clemson,ACC,P4,P4,False,ACC,4
2025,Clemson,ACC,P4,P4,False,ACC,5
2021,Coastal Carolina,Sun Belt,G6,G6,False,,1
2022,Coastal Carolina,Sun Belt,G6,G6,False,Sun Belt,2
2023,Coastal Carolina,Sun Belt,G6,G6,False,Sun Belt,3
2024,Coastal Carolina,Sun Belt,G6,G6,False,Sun Belt,4
2025,Coastal Carolina,Sun Belt,G6,G6,False,Sun Belt,5
2021,Colorado,Pac-12,Legacy_P5,Special,False,,1
2022,Colorado,Pac-12,Legacy_P5,Special,False,Pac-12,2
2023,Colorado,Pac-12,Legacy_P5,Special,False,Pac-12,3
2024,Colorado,Big 12,P4,P4,True,Pac-12,1
2025,Colorado,Big 12,P4,P4,False,Big 12,2
2021,Colorado State,Mountain West,G6,G6,False,,1
2022,Colorado State,Mountain West,G6,G6,False,Mountain West,2
2023,Colorado State,Mountain West,G6,G6,False,Mountain West,3
2024,Colorado State,Mountain West,G6,G6,False,Mountain West,4
2025,Colorado State,Mountain West,G6,G6,False,Mountain West,5
2025,Delaware,Conference USA,G6,G6,False,,1
2021,Duke,ACC,P4,P4,False,,1
2022,Duke,ACC,P4,P4,False,ACC,2
2023,Duke,ACC,P4,P4,False,ACC,3
2024,Duke,ACC,P4,P4,False,ACC,4
2025,Duke,ACC,P4,P4,False,ACC,5
2021,East Carolina,American,G6,G6,False,,1
2022,East Carolina,American,G6,G6,False,American,2
