season,team,opponent,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move
2021,Illinois,Nebraska,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Nebraska,Illinois,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Fresno State,UConn,Mountain West,Independent,G6,Independent,Other,False,False,,,,
2021,UConn,Fresno State,Independent,Mountain West,Independent,G6,Other,False,False,,,,
2021,New Mexico State,UTEP,Independent,Conference USA,Independent,G6,Other,False,False,,,,
2021,UTEP,New Mexico State,Conference USA,Independent,G6,Independent,Other,False,False,,,,
2021,UCF,Boise State,American,Mountain West,G6,G6,G6_vs_G6,False,False,,,,
2021,Boise State,UCF,Mountain West,American,G6,G6,G6_vs_G6,False,False,,,,
2021,NC State,South Florida,ACC,American,P4,G6,P4_vs_G6,False,False,,,,
2021,South Florida,NC State,American,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,App State,East Carolina,Sun Belt,American,G6,G6,G6_vs_G6,False,False,,,,
2021,East Carolina,App State,American,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,Minnesota,Ohio State,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Ohio State,Minnesota,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Tennessee,Bowling Green,SEC,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Bowling Green,Tennessee,MAC,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Virginia Tech,North Carolina,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,North Carolina,Virginia Tech,ACC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Charlotte,Duke,Conference USA,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Duke,Charlotte,ACC,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,Wake Forest,Old Dominion,ACC,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,Old Dominion,Wake Forest,Conference USA,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Northwestern,Michigan State,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Michigan State,Northwestern,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Michigan,Western Michigan,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,,,,
