conference_matchup_type,role,overall_rp_edge_bucket,games,wins,losses,avg_clv,ats_win_pct
P4_vs_P4,Favorite,neutral,46,33,13,-1.25,0.717391304347826
G6_vs_G6,Favorite,neutral,35,25,10,0.5882352941176471,0.7142857142857143
G6_vs_P4,Underdog,15_to_25,97,68,29,0.13392857142857142,0.7010309278350515
P4_vs_G6,Favorite,neutral,36,25,11,0.3157894736842105,0.6944444444444444
Other,Underdog,5_to_15,21,14,7,-0.09090909090909091,0.6666666666666666
P4_vs_P4,Underdog,5_to_15,90,59,31,0.860655737704918,0.6555555555555556
P4_vs_G6,Favorite,25_plus,523,301,222,0.01832460732984293,0.5755258126195029
P4_vs_P4,Favorite,15_to_25,217,113,104,0.8760683760683761,0.5207373271889401
P4_vs_P4,Favorite,5_to_15,123,64,59,-0.13291139240506328,0.5203252032520326
G6_vs_P4,Underdog,25_plus,37,19,18,0.5,0.5135135135135135
P4_vs_P4,Underdog,15_to_25,86,43,43,1.4326923076923077,0.5
G6_vs_G6,Underdog,5_to_15,93,46,47,0.53125,0.4946236559139785
G6_vs_P4,Underdog,5_to_15,99,47,52,-0.06779661016949153,0.47474747474747475
P4_vs_G6,Favorite,5_to_15,166,78,88,1.0046296296296295,0.46987951807228917
P4_vs_G6,Favorite,15_to_25,293,136,157,0.8850267379679144,0.4641638225255973
G6_vs_G6,Underdog,25_plus,70,28,42,0.0,0.4
G6_vs_G6,Favorite,25_plus,140,54,86,0.44954128440366975,0.38571428571428573
G6_vs_G6,Favorite,5_to_15,140,54,86,0.391304347826087,0.38571428571428573
P4_vs_P4,Underdog,neutral,36,13,23,0.3333333333333333,0.3611111111111111
G6_vs_G6,Underdog,15_to_25,117,40,77,0.45535714285714285,0.3418803418803419
G6_vs_G6,Favorite,15_to_25,155,51,104,-0.49159663865546216,0.32903225806451614
P4_vs_P4,Favorite,25_plus,93,28,65,-0.08974358974358974,0.3010752688172043
G6_vs_G6,Underdog,neutral,46,13,33,-0.7,0.2826086956521739
G6_vs_P4,Underdog,neutral,38,10,28,-0.64,0.2631578947368421
P4_vs_P4,Underdog,25_plus,116,23,93,-3.697674418604651,0.19827586206896552
