season,week,date,game_id,continuity_team,continuity_opponent,conference_matchup_type,continuity_team_role,continuity_team_spread,offense_vs_defense_edge,defense_vs_offense_edge,combined_component_edge,component_profile,continuity_team_ats_result,continuity_team_ats_margin,continuity_team_clv,source_flipped,combined_rule
2023,1,2023-08-26T23:30:00.000Z,401520147,Vanderbilt,Hawai'i,P4_vs_G6,Favorite,-17.625,24.0,11.0,35.0,balanced_both_5_plus,L,-10.625,,False,both_positive
2023,1,2023-08-26T23:30:00.000Z,401520147,Vanderbilt,Hawai'i,P4_vs_G6,Favorite,-17.625,24.0,11.0,35.0,balanced_both_5_plus,L,-10.625,,False,both_5_plus
2023,1,2023-08-26T23:30:00.000Z,401520147,Vanderbilt,Hawai'i,P4_vs_G6,Favorite,-17.625,24.0,11.0,35.0,balanced_both_5_plus,L,-10.625,,False,offense_15_plus
2023,1,2023-08-26T23:30:00.000Z,401520147,Vanderbilt,Hawai'i,P4_vs_G6,Favorite,-17.625,24.0,11.0,35.0,balanced_both_5_plus,L,-10.625,,False,offense_15_plus_def_nonnegative
2023,1,2023-09-01T00:00:00.000Z,401520148,Nebraska,Minnesota,P4_vs_P4,Underdog,7.3,15.0,7.0,22.0,balanced_both_5_plus,W,4.3,,False,both_positive
2023,1,2023-09-01T00:00:00.000Z,401520148,Nebraska,Minnesota,P4_vs_P4,Underdog,7.3,15.0,7.0,22.0,balanced_both_5_plus,W,4.3,,False,both_5_plus
2023,1,2023-09-01T00:00:00.000Z,401520148,Nebraska,Minnesota,P4_vs_P4,Underdog,7.3,15.0,7.0,22.0,balanced_both_5_plus,W,4.3,,False,offense_15_plus
2023,1,2023-09-01T00:00:00.000Z,401520148,Nebraska,Minnesota,P4_vs_P4,Underdog,7.3,15.0,7.0,22.0,balanced_both_5_plus,W,4.3,,False,offense_15_plus_def_nonnegative
2023,1,2023-09-02T23:30:00.000Z,401520149,Middle Tennessee,Alabama,G6_vs_P4,Underdog,39.375,14.0,43.0,57.0,balanced_both_5_plus,L,-9.625,,False,both_positive
2023,1,2023-09-02T23:30:00.000Z,401520149,Middle Tennessee,Alabama,G6_vs_P4,Underdog,39.375,14.0,43.0,57.0,balanced_both_5_plus,L,-9.625,,False,both_5_plus
2023,1,2023-09-02T23:30:00.000Z,401520149,Middle Tennessee,Alabama,G6_vs_P4,Underdog,39.375,14.0,43.0,57.0,balanced_both_5_plus,L,-9.625,,False,defense_15_plus
2023,1,2023-09-02T23:30:00.000Z,401520149,Middle Tennessee,Alabama,G6_vs_P4,Underdog,39.375,14.0,43.0,57.0,balanced_both_5_plus,L,-9.625,,False,defense_15_plus_off_nonnegative
2023,1,2023-09-02T23:30:00.000Z,401520149,Middle Tennessee,Alabama,G6_vs_P4,Underdog,39.375,14.0,43.0,57.0,balanced_both_5_plus,L,-9.625,,False,defense_25_plus
2023,1,2023-09-02T23:30:00.000Z,401520149,Middle Tennessee,Alabama,G6_vs_P4,Underdog,39.375,14.0,43.0,57.0,balanced_both_5_plus,L,-9.625,,False,either_component_25_plus
2023,1,2023-09-03T02:15:00.000Z,401520152,Sam Houston,BYU,G6_vs_P4,Underdog,20.375,3.0,13.0,16.0,balanced_both_positive,W,6.375,,False,both_positive
2023,1,2023-09-02T23:30:00.000Z,401520155,Toledo,Illinois,G6_vs_P4,Underdog,8.6,20.0,8.0,28.0,balanced_both_5_plus,W,6.6,,False,both_positive
2023,1,2023-09-02T23:30:00.000Z,401520155,Toledo,Illinois,G6_vs_P4,Underdog,8.6,20.0,8.0,28.0,balanced_both_5_plus,W,6.6,,False,both_5_plus
2023,1,2023-09-02T23:30:00.000Z,401520155,Toledo,Illinois,G6_vs_P4,Underdog,8.6,20.0,8.0,28.0,balanced_both_5_plus,W,6.6,,False,offense_15_plus
2023,1,2023-09-02T23:30:00.000Z,401520155,Toledo,Illinois,G6_vs_P4,Underdog,8.6,20.0,8.0,28.0,balanced_both_5_plus,W,6.6,,False,offense_15_plus_def_nonnegative
2023,1,2023-09-02T19:30:00.000Z,401520156,Indiana,Ohio State,P4_vs_P4,Underdog,29.1,-12.0,15.0,3.0,defense_led_mixed,W,9.1,,False,defense_15_plus
2023,1,2023-09-02T19:30:00.000Z,401520156,Indiana,Ohio State,P4_vs_P4,Underdog,29.1,-12.0,15.0,3.0,defense_led_mixed,W,9.1,,False,defense_led_mixed
2023,1,2023-09-02T16:00:00.000Z,401520160,Bowling Green,Liberty,G6_vs_G6,Underdog,9.25,16.0,-9.0,7.0,offense_led_mixed,L,-0.75,,False,offense_15_plus
2023,1,2023-09-02T16:00:00.000Z,401520160,Bowling Green,Liberty,G6_vs_G6,Underdog,9.25,16.0,-9.0,7.0,offense_led_mixed,L,-0.75,,False,offense_led_mixed
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,both_positive
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,both_5_plus
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,offense_15_plus
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,defense_15_plus
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,offense_15_plus_def_nonnegative
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,defense_15_plus_off_nonnegative
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,offense_25_plus
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,defense_25_plus
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,either_component_25_plus
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,P4_vs_G6,Favorite,-35.4,45.0,48.0,93.0,balanced_both_5_plus,L,-8.399999999999999,,False,both_15_plus
2023,1,2023-09-02T23:30:00.000Z,401520169,Penn State,West Virginia,P4_vs_P4,Favorite,-20.6,-13.0,15.0,2.0,defense_led_mixed,W,2.3999999999999986,,False,defense_15_plus
2023,1,2023-09-02T23:30:00.000Z,401520169,Penn State,West Virginia,P4_vs_P4,Favorite,-20.6,-13.0,15.0,2.0,defense_led_mixed,W,2.3999999999999986,,False,defense_led_mixed
2023,1,2023-09-03T16:00:00.000Z,401520171,Rutgers,Northwestern,P4_vs_P4,Favorite,-6.1,7.0,26.0,33.0,balanced_both_5_plus,W,10.9,,False,both_positive
