component,conference_matchup_type,component_edge_band,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,seasons_present,ats_win_pct,ats_edge_pct,confidence,signal
offense_vs_opponent_defense,P4_vs_P4,5_to_14_9,52,27,25,0,0.2839743589743591,0.2500000000000009,0.43103448275862066,29,3,0.5192307692307693,1.923076923076927,Supported,Neutral
offense_vs_opponent_defense,P4_vs_P4,15_to_24_9,36,22,14,0,1.1393518518518517,2.8,0.05,20,3,0.6111111111111112,11.111111111111114,Promising,Back component-edge team
offense_vs_opponent_defense,P4_vs_G6,15_to_24_9,31,13,18,0,-2.03494623655914,-1.833333333333334,0.7941176470588235,17,3,0.41935483870967744,-8.064516129032256,Promising,Fade component-edge team
offense_vs_opponent_defense,P4_vs_G6,25_plus,38,22,16,0,1.1616228070175438,3.6875,0.21153846153846154,26,3,0.5789473684210527,7.894736842105267,Promising,Back component-edge team
defense_vs_opponent_offense,P4_vs_P4,15_to_24_9,42,23,19,0,-1.0932539682539681,0.625,-0.023809523809523808,21,3,0.5476190476190477,4.761904761904766,Promising,Neutral
defense_vs_opponent_offense,P4_vs_P4,5_to_14_9,48,23,25,0,-1.0916666666666668,-1.3333333333333333,0.46153846153846156,26,3,0.4791666666666667,-2.0833333333333286,Promising,Neutral
defense_vs_opponent_offense,P4_vs_G6,5_to_14_9,28,9,19,0,-3.5401785714285716,-3.583333333333334,1.0588235294117647,17,3,0.32142857142857145,-17.857142857142854,Exploratory,Fade component-edge team
defense_vs_opponent_offense,G6_vs_P4,5_to_14_9,16,6,10,0,-5.227083333333333,-4.583333333333333,-0.4166666666666667,6,3,0.375,-12.5,Exploratory,Fade component-edge team
defense_vs_opponent_offense,P4_vs_G6,25_plus,29,18,11,0,1.2419540229885058,2.5,0.4411764705882353,17,3,0.6206896551724138,12.06896551724138,Exploratory,Back component-edge team
offense_vs_opponent_defense,P4_vs_P4,25_plus,23,10,13,0,-1.181159420289855,-4.0,-0.625,12,3,0.43478260869565216,-6.521739130434781,Exploratory,Fade component-edge team
offense_vs_opponent_defense,G6_vs_P4,5_to_14_9,18,10,8,0,2.4444444444444446,0.7916666666666661,-1.1111111111111112,9,3,0.5555555555555556,5.555555555555557,Exploratory,Back component-edge team
offense_vs_opponent_defense,G6_vs_P4,15_to_24_9,15,8,7,0,3.967777777777778,0.6666666666666679,0.35714285714285715,7,3,0.5333333333333333,3.3333333333333357,Exploratory,Neutral
defense_vs_opponent_offense,P4_vs_P4,25_plus,19,9,10,0,-1.1473684210526311,-1.6666666666666667,-0.15384615384615385,13,3,0.47368421052631576,-2.631578947368425,Exploratory,Neutral
defense_vs_opponent_offense,G6_vs_P4,15_to_24_9,19,10,9,0,1.4649122807017547,0.3333333333333321,-0.5909090909090909,11,3,0.5263157894736842,2.6315789473684177,Exploratory,Neutral
offense_vs_opponent_defense,P4_vs_G6,5_to_14_9,19,10,9,0,1.2631578947368416,0.6666666666666679,0.8333333333333334,12,3,0.5263157894736842,2.6315789473684177,Exploratory,Neutral
defense_vs_opponent_offense,P4_vs_G6,15_to_24_9,20,10,10,0,-0.2145833333333332,-0.16666666666666785,-0.4642857142857143,14,3,0.5,0.0,Exploratory,Neutral
