season,week,date,game_id,component,edge_team,edge_opponent,conference_matchup_type,component_edge,component_edge_band,edge_team_role,edge_team_spread,edge_team_ats_result,edge_team_ats_margin,edge_team_clv,source_flipped
2023,1,2023-08-26T23:30:00.000Z,401520147,defense_vs_opponent_offense,Vanderbilt,Hawai'i,P4_vs_G6,11.0,5_to_14_9,Favorite,-17.625,L,-10.625,,False
2023,1,2023-08-26T23:30:00.000Z,401520147,offense_vs_opponent_defense,Vanderbilt,Hawai'i,P4_vs_G6,24.0,15_to_24_9,Favorite,-17.625,L,-10.625,,False
2023,1,2023-09-01T00:00:00.000Z,401520148,defense_vs_opponent_offense,Nebraska,Minnesota,P4_vs_P4,7.0,5_to_14_9,Underdog,7.3,W,4.3,,False
2023,1,2023-09-01T00:00:00.000Z,401520148,offense_vs_opponent_defense,Nebraska,Minnesota,P4_vs_P4,15.0,15_to_24_9,Underdog,7.3,W,4.3,,False
2023,1,2023-09-02T23:30:00.000Z,401520149,defense_vs_opponent_offense,Middle Tennessee,Alabama,G6_vs_P4,43.0,25_plus,Underdog,39.375,L,-9.625,,False
2023,1,2023-09-02T23:30:00.000Z,401520149,offense_vs_opponent_defense,Middle Tennessee,Alabama,G6_vs_P4,14.0,5_to_14_9,Underdog,39.375,L,-9.625,,False
2023,1,2023-09-03T02:15:00.000Z,401520152,defense_vs_opponent_offense,Sam Houston,BYU,G6_vs_P4,13.0,5_to_14_9,Underdog,20.375,W,6.375,,False
2023,1,2023-09-02T23:30:00.000Z,401520155,defense_vs_opponent_offense,Toledo,Illinois,G6_vs_P4,8.0,5_to_14_9,Underdog,8.6,W,6.6,,False
2023,1,2023-09-02T23:30:00.000Z,401520155,offense_vs_opponent_defense,Toledo,Illinois,G6_vs_P4,20.0,15_to_24_9,Underdog,8.6,W,6.6,,False
2023,1,2023-09-02T19:30:00.000Z,401520156,defense_vs_opponent_offense,Indiana,Ohio State,P4_vs_P4,15.0,15_to_24_9,Underdog,29.1,W,9.1,,False
2023,1,2023-09-02T19:30:00.000Z,401520156,defense_vs_opponent_offense,Ohio State,Indiana,P4_vs_P4,12.0,5_to_14_9,Favorite,-29.1,L,-9.1,,False
2023,1,2023-09-02T19:30:00.000Z,401520156,offense_vs_opponent_defense,Indiana,Ohio State,P4_vs_P4,15.0,15_to_24_9,Underdog,29.1,W,9.1,,True
2023,1,2023-09-02T19:30:00.000Z,401520156,offense_vs_opponent_defense,Ohio State,Indiana,P4_vs_P4,12.0,5_to_14_9,Favorite,-29.1,L,-9.1,,True
2023,1,2023-09-02T16:00:00.000Z,401520160,defense_vs_opponent_offense,Liberty,Bowling Green,G6_vs_G6,9.0,5_to_14_9,Favorite,-9.25,W,0.75,,True
2023,1,2023-09-02T16:00:00.000Z,401520160,offense_vs_opponent_defense,Bowling Green,Liberty,G6_vs_G6,16.0,15_to_24_9,Underdog,9.25,L,-0.75,,False
2023,1,2023-09-02T16:00:00.000Z,401520162,defense_vs_opponent_offense,Michigan,East Carolina,P4_vs_G6,48.0,25_plus,Favorite,-35.4,L,-8.399999999999999,,False
2023,1,2023-09-02T16:00:00.000Z,401520162,offense_vs_opponent_defense,Michigan,East Carolina,P4_vs_G6,45.0,25_plus,Favorite,-35.4,L,-8.399999999999999,,False
2023,1,2023-09-02T23:30:00.000Z,401520169,defense_vs_opponent_offense,Penn State,West Virginia,P4_vs_P4,15.0,15_to_24_9,Favorite,-20.6,W,2.3999999999999986,,False
2023,1,2023-09-02T23:30:00.000Z,401520169,defense_vs_opponent_offense,West Virginia,Penn State,P4_vs_P4,13.0,5_to_14_9,Underdog,20.6,L,-2.3999999999999986,,False
2023,1,2023-09-02T23:30:00.000Z,401520169,offense_vs_opponent_defense,Penn State,West Virginia,P4_vs_P4,15.0,15_to_24_9,Favorite,-20.6,W,2.3999999999999986,,True
