conference_matchup_type,rp_edge_bucket,spread_bucket,games,wins,losses,pushes,avg_clv,ats_win_pct,ats_edge_pct,confidence
G6_vs_G6,neutral,pick_to_3,4,4,0,0,1.25,1.0,50.0,Insufficient
G6_vs_G6,25_plus,pick_to_3,2,2,0,0,,1.0,50.0,Insufficient
G6_vs_P4,15_to_25,dog_7_14,2,2,0,0,,1.0,50.0,Insufficient
G6_vs_P4,neutral,dog_3_7,2,2,0,0,1.0,1.0,50.0,Insufficient
Other,5_to_15,dog_3_7,2,2,0,0,0.0,1.0,50.0,Insufficient
P4_vs_P4,neutral,fav_3_7,2,2,0,0,-0.5,1.0,50.0,Insufficient
G6_vs_G6,25_plus,dog_7_14,1,1,0,0,0.0,1.0,50.0,Insufficient
G6_vs_G6,5_to_15,dog_14_plus,1,1,0,0,1.5,1.0,50.0,Insufficient
Other,25_plus,fav_14_plus,1,1,0,0,-2.0,1.0,50.0,Insufficient
Other,5_to_15,dog_7_14,1,1,0,0,1.0,1.0,50.0,Insufficient
P4_vs_G6,25_plus,fav_3_7,1,1,0,0,0.5,1.0,50.0,Insufficient
P4_vs_G6,25_plus,fav_7_14,1,1,0,0,1.0,1.0,50.0,Insufficient
P4_vs_G6,neutral,fav_7_14,1,1,0,0,0.0,1.0,50.0,Insufficient
P4_vs_P4,15_to_25,dog_14_plus,1,1,0,0,3.0,1.0,50.0,Insufficient
P4_vs_P4,25_plus,fav_3_7,1,1,0,0,-1.0,1.0,50.0,Insufficient
P4_vs_P4,neutral,dog_14_plus,1,1,0,0,,1.0,50.0,Insufficient
G6_vs_P4,5_to_15,dog_3_7,4,3,1,0,-0.16666666666666666,0.75,25.0,Insufficient
P4_vs_P4,15_to_25,fav_3_7,7,5,2,0,2.125,0.7142857142857143,21.42857142857143,Insufficient
P4_vs_P4,5_to_15,dog_7_14,7,5,2,0,0.25,0.7142857142857143,21.42857142857143,Insufficient
P4_vs_P4,5_to_15,fav_3_7,9,6,3,0,-0.08333333333333333,0.6666666666666666,16.666666666666657,Insufficient
G6_vs_G6,15_to_25,fav_3_7,3,2,1,0,-2.25,0.6666666666666666,16.666666666666657,Insufficient
G6_vs_G6,5_to_15,dog_3_7,3,2,1,0,1.0,0.6666666666666666,16.666666666666657,Insufficient
G6_vs_G6,neutral,dog_3_7,3,2,1,0,-1.0,0.6666666666666666,16.666666666666657,Insufficient
P4_vs_G6,15_to_25,fav_3_7,3,2,1,0,-0.75,0.6666666666666666,16.666666666666657,Insufficient
P4_vs_G6,5_to_15,fav_7_14,3,2,1,0,2.0,0.6666666666666666,16.666666666666657,Insufficient
P4_vs_P4,15_to_25,fav_7_14,3,2,1,0,-1.0,0.6666666666666666,16.666666666666657,Insufficient
P4_vs_P4,neutral,fav_7_14,3,2,1,0,,0.6666666666666666,16.666666666666657,Insufficient
G6_vs_G6,5_to_15,fav_7_14,8,5,3,0,0.16666666666666666,0.625,12.5,Insufficient
G6_vs_G6,15_to_25,fav_7_14,5,3,2,0,-0.2,0.6,10.0,Insufficient
P4_vs_P4,5_to_15,fav_7_14,5,3,2,0,0.3333333333333333,0.6,10.0,Insufficient
G6_vs_P4,15_to_25,dog_14_plus,7,4,3,0,-0.1,0.5714285714285714,7.142857142857139,Insufficient
P4_vs_P4,5_to_15,dog_3_7,7,4,3,0,1.1,0.5714285714285714,7.142857142857139,Insufficient
P4_vs_G6,25_plus,fav_14_plus,20,11,9,0,-0.21428571428571427,0.55,5.000000000000007,Exploratory
P4_vs_P4,5_to_15,pick_to_3,12,6,6,0,0.375,0.5,0.0,Insufficient
G6_vs_P4,5_to_15,dog_14_plus,10,5,5,0,-0.875,0.5,0.0,Insufficient
P4_vs_P4,15_to_25,pick_to_3,10,5,5,0,0.0,0.5,0.0,Insufficient
G6_vs_G6,5_to_15,pick_to_3,6,3,3,0,-0.5,0.5,0.0,Insufficient
P4_vs_P4,15_to_25,fav_14_plus,4,2,2,0,-1.5,0.5,0.0,Insufficient
P4_vs_P4,neutral,fav_14_plus,4,2,2,0,-0.75,0.5,0.0,Insufficient
G6_vs_G6,15_to_25,dog_3_7,2,1,1,0,1.5,0.5,0.0,Insufficient
G6_vs_G6,15_to_25,dog_7_14,2,1,1,0,2.0,0.5,0.0,Insufficient
G6_vs_G6,25_plus,fav_14_plus,2,1,1,0,1.5,0.5,0.0,Insufficient
G6_vs_G6,25_plus,fav_7_14,2,1,1,0,0.25,0.5,0.0,Insufficient
G6_vs_P4,25_plus,dog_14_plus,2,1,1,0,0.5,0.5,0.0,Insufficient
Other,5_to_15,fav_7_14,2,1,1,0,-3.5,0.5,0.0,Insufficient
Other,neutral,pick_to_3,2,1,1,0,0.5,0.5,0.0,Insufficient
P4_vs_P4,15_to_25,dog_7_14,2,1,1,0,2.0,0.5,0.0,Insufficient
P4_vs_P4,25_plus,dog_3_7,2,1,1,0,,0.5,0.0,Insufficient
P4_vs_P4,5_to_15,dog_14_plus,2,1,1,0,0.0,0.5,0.0,Insufficient
P4_vs_P4,neutral,dog_7_14,2,1,1,0,-3.0,0.5,0.0,Insufficient
P4_vs_G6,15_to_25,fav_14_plus,22,10,12,0,1.1785714285714286,0.45454545454545453,-4.545454545454547,Exploratory
P4_vs_G6,5_to_15,fav_14_plus,25,11,14,0,1.1071428571428572,0.44,-6.0,Exploratory
G6_vs_G6,5_to_15,fav_3_7,5,2,3,0,0.0,0.4,-10.0,Insufficient
G6_vs_P4,5_to_15,dog_7_14,5,2,3,0,1.0,0.4,-10.0,Insufficient
P4_vs_P4,5_to_15,fav_14_plus,8,3,5,0,-1.875,0.375,-12.5,Insufficient
G6_vs_G6,5_to_15,dog_7_14,9,3,6,0,0.8,0.3333333333333333,-16.66666666666667,Insufficient
G6_vs_G6,15_to_25,pick_to_3,6,2,4,0,-0.625,0.3333333333333333,-16.66666666666667,Insufficient
P4_vs_P4,neutral,pick_to_3,6,2,4,0,-0.75,0.3333333333333333,-16.66666666666667,Insufficient
G6_vs_G6,15_to_25,fav_14_plus,3,1,2,0,0.5,0.3333333333333333,-16.66666666666667,Insufficient
Other,5_to_15,dog_14_plus,3,1,2,0,-1.0,0.3333333333333333,-16.66666666666667,Insufficient
P4_vs_G6,5_to_15,pick_to_3,3,1,2,0,-2.25,0.3333333333333333,-16.66666666666667,Insufficient
