conference_matchup_type,rp_band,rp_team_role,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,seasons_present,ats_win_pct,ats_edge_pct,confidence,signal
G6_vs_G6,15_to_24_9,Favorite,13,6,7,0,-2.3205128205128203,-4.0,-0.36363636363636365,11,3,0.46153846153846156,-3.8461538461538467,Insufficient,Neutral
G6_vs_G6,15_to_24_9,Underdog,9,4,5,0,-3.5879629629629637,-3.875,0.2,5,3,0.4444444444444444,-5.555555555555557,Insufficient,Fade RP-edge team
G6_vs_G6,25_plus,Favorite,7,3,4,0,-5.678571428571429,-3.5,0.4,5,3,0.42857142857142855,-7.142857142857146,Insufficient,Fade RP-edge team
G6_vs_G6,25_plus,Underdog,4,2,2,0,0.041666666666666075,-2.666666666666667,0.0,1,3,0.5,0.0,Insufficient,Neutral
G6_vs_G6,5_to_14_9,Favorite,19,8,11,0,-2.7960526315789473,-2.833333333333333,-0.05,10,3,0.42105263157894735,-7.894736842105267,Exploratory,Fade RP-edge team
G6_vs_G6,5_to_14_9,Underdog,16,8,8,0,-0.5781250000000001,-0.16666666666666696,0.75,10,3,0.5,0.0,Exploratory,Neutral
G6_vs_P4,15_to_24_9,Underdog,9,6,3,0,6.474074074074074,13.666666666666668,-0.1,5,3,0.6666666666666666,16.666666666666657,Insufficient,Back RP-edge team
G6_vs_P4,15_to_24_9,Favorite,1,0,1,0,-5.0,-5.0,,0,1,0.0,-50.0,Insufficient,Fade RP-edge team
G6_vs_P4,25_plus,Underdog,2,1,1,0,-1.979166666666666,-1.979166666666666,0.5,1,2,0.5,0.0,Insufficient,Neutral
G6_vs_P4,5_to_14_9,Underdog,21,10,11,0,-4.632142857142857,-4.666666666666666,-0.2,10,3,0.47619047619047616,-2.3809523809523867,Exploratory,Neutral
Other,25_plus,Favorite,1,1,0,0,1.5,1.5,-2.0,1,1,1.0,50.0,Insufficient,Back RP-edge team
Other,5_to_14_9,Underdog,6,4,2,0,0.22222222222222202,5.083333333333332,0.0,3,3,0.6666666666666666,16.666666666666657,Insufficient,Back RP-edge team
Other,5_to_14_9,Favorite,3,1,2,0,8.430555555555557,-12.375,-3.5,1,2,0.3333333333333333,-16.66666666666667,Insufficient,Fade RP-edge team
P4_vs_G6,15_to_24_9,Favorite,25,12,13,0,-2.4566666666666674,-3.166666666666668,0.9375,16,3,0.48,-2.0,Exploratory,Neutral
P4_vs_G6,25_plus,Favorite,22,13,9,0,1.8909090909090913,3.333333333333334,-0.09375,16,3,0.5909090909090909,9.090909090909093,Exploratory,Back RP-edge team
P4_vs_G6,5_to_14_9,Favorite,29,13,16,0,0.29310344827586204,-1.666666666666668,1.1944444444444444,18,3,0.4482758620689655,-5.172413793103445,Exploratory,Fade RP-edge team
P4_vs_G6,5_to_14_9,Underdog,3,1,2,0,0.49999999999999994,-1.3333333333333333,-4.5,1,2,0.3333333333333333,-16.66666666666667,Insufficient,Fade RP-edge team
P4_vs_P4,15_to_24_9,Favorite,20,11,9,0,0.6199999999999999,1.0,0.45454545454545453,11,3,0.55,5.000000000000007,Exploratory,Back RP-edge team
P4_vs_P4,15_to_24_9,Underdog,10,6,4,0,1.4366666666666668,3.125,1.0,7,3,0.6,10.0,Insufficient,Back RP-edge team
P4_vs_P4,25_plus,Underdog,5,1,4,0,-3.1,-7.0,-3.75,2,2,0.2,-30.0,Insufficient,Fade RP-edge team
P4_vs_P4,25_plus,Favorite,4,1,3,0,-13.416666666666668,-17.75,0.0,3,2,0.25,-25.0,Insufficient,Fade RP-edge team
P4_vs_P4,5_to_14_9,Favorite,32,17,15,0,-1.3473958333333333,0.3333333333333339,-0.18421052631578946,19,3,0.53125,3.125,Promising,Neutral
P4_vs_P4,5_to_14_9,Underdog,18,11,7,0,2.9203703703703705,2.8,0.5,11,3,0.6111111111111112,11.111111111111114,Exploratory,Back RP-edge team
