conference_matchup_type,rp_band,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,seasons_present,ats_win_pct,ats_edge_pct,confidence,signal
G6_vs_G6,5_to_14_9,35,16,19,0,-1.7821428571428573,-2.833333333333333,0.35,20,3,0.45714285714285713,-4.285714285714285,Promising,Neutral
G6_vs_G6,15_to_24_9,22,10,12,0,-2.8390151515151514,-3.9375,-0.1875,16,3,0.45454545454545453,-4.545454545454547,Exploratory,Neutral
G6_vs_G6,25_plus,11,5,6,0,-3.5984848484848486,-3.5,0.3333333333333333,6,3,0.45454545454545453,-4.545454545454547,Insufficient,Neutral
G6_vs_P4,5_to_14_9,21,10,11,0,-4.632142857142857,-4.666666666666666,-0.2,10,3,0.47619047619047616,-2.3809523809523867,Exploratory,Neutral
G6_vs_P4,15_to_24_9,10,6,4,0,5.326666666666666,8.583333333333334,-0.1,5,3,0.6,10.0,Insufficient,Back RP-edge team
G6_vs_P4,25_plus,2,1,1,0,-1.979166666666666,-1.979166666666666,0.5,1,2,0.5,0.0,Insufficient,Neutral
Other,5_to_14_9,9,5,4,0,2.958333333333334,2.333333333333332,-0.875,4,3,0.5555555555555556,5.555555555555557,Insufficient,Back RP-edge team
Other,25_plus,1,1,0,0,1.5,1.5,-2.0,1,1,1.0,50.0,Insufficient,Back RP-edge team
P4_vs_G6,5_to_14_9,32,14,18,0,0.3124999999999999,-1.5,0.8947368421052632,19,3,0.4375,-6.25,Promising,Fade RP-edge team
P4_vs_G6,15_to_24_9,25,12,13,0,-2.4566666666666674,-3.166666666666668,0.9375,16,3,0.48,-2.0,Exploratory,Neutral
P4_vs_G6,25_plus,22,13,9,0,1.8909090909090913,3.333333333333334,-0.09375,16,3,0.5909090909090909,9.090909090909093,Exploratory,Back RP-edge team
P4_vs_P4,5_to_14_9,50,28,22,0,0.18900000000000006,1.5499999999999998,0.06666666666666667,30,3,0.56,6.000000000000007,Supported,Back RP-edge team
P4_vs_P4,15_to_24_9,30,17,13,0,0.8922222222222221,1.208333333333333,0.6666666666666666,18,3,0.5666666666666667,6.666666666666664,Promising,Back RP-edge team
P4_vs_P4,25_plus,9,2,7,0,-7.685185185185186,-7.166666666666666,-1.5,5,3,0.2222222222222222,-27.77777777777778,Insufficient,Fade RP-edge team
