conference_matchup_type,role,overall_rp_edge_bucket,games,ats_win_pct,ats_edge_pct,avg_clv,clv_signal,signal_score,confidence,interpretation
G6_vs_G6,Favorite,neutral,35,0.7142857142857143,21.42857142857143,0.5882352941176471,Positive,44.14537815126051,Low,Positive signal: Favorite with neutral returning production edge in G6_vs_G6 situations historically outperformed ATS.
P4_vs_P4,Favorite,neutral,46,0.717391304347826,21.739130434782606,-1.25,Negative,43.14826086956521,Low,Positive signal: Favorite with neutral returning production edge in P4_vs_P4 situations historically outperformed ATS.
G6_vs_P4,Underdog,15_to_25,97,0.7010309278350515,20.10309278350515,0.1339285714285714,Positive,42.28011413843887,High,Positive signal: Underdog with 15_to_25 returning production edge in G6_vs_P4 situations historically outperformed ATS.
P4_vs_G6,Favorite,neutral,36,0.6944444444444444,19.444444444444443,0.3157894736842105,Positive,39.9246783625731,Low,Positive signal: Favorite with neutral returning production edge in P4_vs_G6 situations historically outperformed ATS.
P4_vs_P4,Underdog,5_to_15,90,0.6555555555555556,15.555555555555555,0.860655737704918,Positive,33.77176684881603,High,Positive signal: Underdog with 5_to_15 returning production edge in P4_vs_P4 situations historically outperformed ATS.
Other,Underdog,5_to_15,21,0.6666666666666666,16.666666666666664,-0.0909090909090909,Negative,33.66242424242424,Low,Positive signal: Underdog with 5_to_15 returning production edge in Other situations historically outperformed ATS.
P4_vs_G6,Favorite,25_plus,523,0.5755258126195029,7.552581261950286,0.0183246073298429,Positive,25.123487131230416,Medium,Positive signal: Favorite with 25_plus returning production edge in P4_vs_G6 situations historically outperformed ATS.
P4_vs_P4,Favorite,15_to_25,217,0.5207373271889401,2.073732718894006,0.8760683760683761,Positive,9.363533813856387,Neutral,Neutral signal: Favorite with 15_to_25 returning production edge in P4_vs_P4 situations has limited ATS edge.
P4_vs_P4,Favorite,5_to_15,123,0.5203252032520326,2.0325203252032575,-0.1329113924050632,Negative,6.392129258001452,Neutral,Neutral signal: Favorite with 5_to_15 returning production edge in P4_vs_P4 situations has limited ATS edge.
G6_vs_P4,Underdog,25_plus,37,0.5135135135135135,1.3513513513513487,0.5,Positive,3.9427027027026975,Low,Neutral signal: Underdog with 25_plus returning production edge in G6_vs_P4 situations has limited ATS edge.
P4_vs_P4,Underdog,15_to_25,86,0.5,0.0,1.4326923076923077,Positive,3.1526923076923077,Neutral,Neutral signal: Underdog with 15_to_25 returning production edge in P4_vs_P4 situations has limited ATS edge.
G6_vs_G6,Underdog,5_to_15,93,0.4946236559139785,-0.5376344086021501,0.53125,Positive,1.3159811827957,Neutral,Neutral signal: Underdog with 5_to_15 returning production edge in G6_vs_G6 situations has limited ATS edge.
P4_vs_G6,Favorite,15_to_25,293,0.4641638225255973,-3.583617747440271,0.8850267379679144,Positive,-0.42220875691262716,Neutral,Neutral signal: Favorite with 15_to_25 returning production edge in P4_vs_G6 situations has limited ATS edge.
P4_vs_G6,Favorite,5_to_15,166,0.4698795180722891,-3.0120481927710885,1.0046296296296295,Positive,-1.6994667559125474,Neutral,Neutral signal: Favorite with 5_to_15 returning production edge in P4_vs_G6 situations has limited ATS edge.
G6_vs_P4,Underdog,5_to_15,99,0.4747474747474747,-2.5252525252525304,-0.0677966101694915,Negative,-3.138301660674552,Neutral,Neutral signal: Underdog with 5_to_15 returning production edge in G6_vs_P4 situations has limited ATS edge.
G6_vs_G6,Underdog,25_plus,70,0.4,-9.999999999999998,0.0,Negative,-18.599999999999998,Fade,Fade signal: Underdog with 25_plus returning production edge in G6_vs_G6 situations historically failed to create ATS value.
G6_vs_G6,Favorite,25_plus,140,0.3857142857142857,-11.428571428571432,0.4495412844036697,Positive,-19.607601572739195,Neutral,Fade signal: Favorite with 25_plus returning production edge in G6_vs_G6 situations historically failed to create ATS value.
G6_vs_G6,Favorite,5_to_15,140,0.3857142857142857,-11.428571428571432,0.391304347826087,Positive,-19.665838509316778,Neutral,Fade signal: Favorite with 5_to_15 returning production edge in G6_vs_G6 situations historically failed to create ATS value.
P4_vs_P4,Underdog,neutral,36,0.3611111111111111,-13.88888888888889,0.3333333333333333,Positive,-26.724444444444448,Low,Fade signal: Underdog with neutral returning production edge in P4_vs_P4 situations historically failed to create ATS value.
G6_vs_G6,Underdog,15_to_25,117,0.3418803418803419,-15.81196581196581,0.4553571428571428,Positive,-28.82857448107448,Neutral,Fade signal: Underdog with 15_to_25 returning production edge in G6_vs_G6 situations historically failed to create ATS value.
G6_vs_G6,Favorite,15_to_25,155,0.3290322580645161,-17.09677419354839,-0.4915966386554621,Negative,-31.58514502575224,Fade,Fade signal: Favorite with 15_to_25 returning production edge in G6_vs_G6 situations historically failed to create ATS value.
P4_vs_P4,Favorite,25_plus,93,0.3010752688172043,-19.892473118279568,-0.0897435897435897,Negative,-38.01468982630273,Fade,Fade signal: Favorite with 25_plus returning production edge in P4_vs_P4 situations historically failed to create ATS value.
G6_vs_G6,Underdog,neutral,46,0.2826086956521739,-21.73913043478261,-0.7,Negative,-43.25826086956522,Low,Fade signal: Underdog with neutral returning production edge in G6_vs_G6 situations historically failed to create ATS value.
G6_vs_P4,Underdog,neutral,38,0.2631578947368421,-23.68421052631579,-0.64,Negative,-47.248421052631585,Low,Fade signal: Underdog with neutral returning production edge in G6_vs_P4 situations historically failed to create ATS value.
P4_vs_P4,Underdog,25_plus,116,0.1982758620689655,-30.17241379310345,-3.697674418604651,Negative,-61.72250200481155,Fade,Fade signal: Underdog with 25_plus returning production edge in P4_vs_P4 situations historically failed to create ATS value.
