conference_matchup_type,role,rp_edge_bucket,spread_bucket,games,wins,losses,avg_clv,ats_win_pct,ats_edge_pct
G6_vs_P4,Underdog,15_to_25,dog_7_14,28,28,0,,1.0,50.0
P4_vs_G6,Favorite,25_plus,fav_3_7,28,28,0,0.5,1.0,50.0
P4_vs_P4,Favorite,25_plus,fav_3_7,28,28,0,-1.0,1.0,50.0
P4_vs_G6,Favorite,5_to_15,fav_7_14,21,18,3,1.0476190476190477,0.8571428571428571,35.71428571428571
G6_vs_P4,Underdog,5_to_15,dog_3_7,24,19,5,-0.21875,0.7916666666666666,29.166666666666657
P4_vs_P4,Favorite,15_to_25,fav_3_7,74,56,18,2.268292682926829,0.7567567567567568,25.675675675675677
P4_vs_P4,Underdog,15_to_25,pick_to_3,26,19,7,0.375,0.7307692307692307,23.076923076923066
G6_vs_G6,Underdog,5_to_15,dog_3_7,33,24,9,1.0,0.7272727272727273,22.727272727272734
P4_vs_P4,Favorite,15_to_25,fav_7_14,22,16,6,-1.0,0.7272727272727273,22.727272727272734
P4_vs_P4,Underdog,5_to_15,dog_7_14,31,22,9,0.4,0.7096774193548387,20.967741935483872
G6_vs_G6,Favorite,5_to_15,fav_7_14,72,48,24,1.25,0.6666666666666666,16.666666666666657
P4_vs_P4,Underdog,5_to_15,dog_3_7,36,23,13,2.017857142857143,0.6388888888888888,13.888888888888886
P4_vs_G6,Favorite,15_to_25,fav_3_7,30,19,11,-0.9,0.6333333333333333,13.333333333333329
P4_vs_P4,Favorite,5_to_15,fav_3_7,41,24,17,-0.3225806451612903,0.5853658536585366,8.536585365853654
G6_vs_P4,Underdog,15_to_25,dog_14_plus,69,40,29,0.13392857142857142,0.5797101449275363,7.971014492753625
G6_vs_G6,Favorite,25_plus,fav_14_plus,45,26,19,1.5,0.5777777777777777,7.7777777777777715
P4_vs_P4,Favorite,5_to_15,fav_7_14,22,12,10,0.9,0.5454545454545454,4.54545454545454
G6_vs_P4,Underdog,5_to_15,dog_14_plus,50,27,23,-0.5535714285714286,0.54,4.0
P4_vs_G6,Favorite,25_plus,fav_14_plus,477,255,222,-0.0744047619047619,0.5345911949685535,3.459119496855344
G6_vs_G6,Favorite,15_to_25,fav_3_7,42,22,20,-3.0681818181818183,0.5238095238095238,2.3809523809523867
P4_vs_P4,Underdog,5_to_15,pick_to_3,23,12,11,0.13636363636363635,0.5217391304347826,2.173913043478258
G6_vs_P4,Underdog,25_plus,dog_14_plus,37,19,18,0.5,0.5135135135135135,1.3513513513513473
P4_vs_P4,Underdog,25_plus,dog_3_7,45,23,22,,0.5111111111111111,1.1111111111111072
G6_vs_G6,Underdog,15_to_25,dog_3_7,22,11,11,1.7727272727272727,0.5,0.0
P4_vs_P4,Favorite,15_to_25,fav_14_plus,55,27,28,-1.5,0.4909090909090909,-0.9090909090909065
G6_vs_G6,Favorite,15_to_25,fav_7_14,48,23,25,-0.25,0.4791666666666667,-2.0833333333333286
G6_vs_G6,Favorite,25_plus,fav_7_14,34,16,18,0.20588235294117646,0.47058823529411764,-2.941176470588239
P4_vs_P4,Favorite,5_to_15,pick_to_3,34,16,18,0.08823529411764706,0.47058823529411764,-2.941176470588239
P4_vs_P4,Favorite,5_to_15,fav_14_plus,29,13,16,-1.5,0.4482758620689655,-5.172413793103445
P4_vs_G6,Favorite,15_to_25,fav_14_plus,263,117,146,1.1604938271604939,0.4448669201520912,-5.5133079847908775
P4_vs_G6,Favorite,5_to_15,fav_14_plus,145,63,82,0.936046511627907,0.43448275862068964,-6.551724137931039
G6_vs_G6,Underdog,5_to_15,dog_7_14,49,20,29,0.6944444444444444,0.40816326530612246,-9.183673469387756
G6_vs_G6,Underdog,15_to_25,pick_to_3,53,20,33,-0.7166666666666667,0.37735849056603776,-12.264150943396224
G6_vs_G6,Underdog,15_to_25,dog_7_14,25,9,16,2.0,0.36,-14.0
G6_vs_G6,Favorite,5_to_15,fav_3_7,38,13,25,-0.15384615384615385,0.34210526315789475,-15.789473684210527
P4_vs_P4,Underdog,15_to_25,dog_3_7,22,7,15,1.6666666666666667,0.3181818181818182,-18.181818181818183
P4_vs_P4,Underdog,15_to_25,dog_7_14,30,9,21,2.0,0.3,-20.0
P4_vs_P4,Favorite,15_to_25,pick_to_3,66,14,52,0.5423728813559322,0.21212121212121213,-28.78787878787879
G6_vs_G6,Favorite,15_to_25,fav_14_plus,30,6,24,0.7,0.2,-30.0
G6_vs_P4,Underdog,5_to_15,dog_7_14,27,5,22,1.0,0.18518518518518517,-31.48148148148148
G6_vs_G6,Underdog,neutral,pick_to_3,21,2,19,-1.0,0.09523809523809523,-40.476190476190474
G6_vs_G6,Favorite,25_plus,fav_3_7,49,0,49,0.061224489795918366,0.0,-50.0
G6_vs_G6,Underdog,25_plus,dog_3_7,42,0,42,,0.0,-50.0
G6_vs_G6,Favorite,15_to_25,pick_to_3,35,0,35,0.0,0.0,-50.0
P4_vs_P4,Favorite,25_plus,pick_to_3,29,0,29,0.0,0.0,-50.0
P4_vs_P4,Underdog,25_plus,pick_to_3,28,0,28,,0.0,-50.0
G6_vs_G6,Favorite,5_to_15,fav_14_plus,24,0,24,0.5769230769230769,0.0,-50.0
P4_vs_P4,Underdog,25_plus,dog_7_14,22,0,22,-1.5,0.0,-50.0
P4_vs_P4,Favorite,25_plus,fav_14_plus,21,0,21,1.0,0.0,-50.0
P4_vs_P4,Underdog,25_plus,dog_14_plus,21,0,21,-6.0,0.0,-50.0
