season,week,date,game_id,team,opponent,role,spread,ats_result,ats_margin,team_clv,overall_rp_edge,off_vs_def_rp_edge,def_vs_off_rp_edge,overall_rp_edge_bucket,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move,off_vs_def_rp_edge_bucket,def_vs_off_rp_edge_bucket,early_season,rp_edge_bucket,spread_bucket,rp_edge_side
2023,1,2023-09-01T00:00:00.000Z,401520176,Utah,Florida,Favorite,-6.3,W,6.7,,22.0,30.0,14.0,15_to_25,,,,,,,,,,,,25_plus,5_to_15,True,15_to_25,fav_3_7,team_has_rp_edge
2023,1,2023-09-02T16:00:00.000Z,401520172,Louisiana Tech,SMU,Underdog,20.125,L,-3.875,,20.0,14.0,25.0,15_to_25,Conference USA,American,G6,G6,G6_vs_G6,False,False,Conference USA,American,,,5_to_15,25_plus,True,15_to_25,dog_14_plus,team_has_rp_edge
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,Favorite,-35.4,L,-8.399999999999999,,47.0,45.0,48.0,25_plus,Big Ten,American,P4,G6,P4_vs_G6,False,False,Big Ten,American,,,25_plus,25_plus,True,25_plus,fav_14_plus,team_has_rp_edge
2023,1,2023-09-02T19:30:00.000Z,401520180,Wisconsin,Buffalo,Favorite,-27.0,L,-6.0,,19.0,26.0,11.0,15_to_25,Big Ten,MAC,P4,G6,P4_vs_G6,False,False,Big Ten,MAC,,,25_plus,5_to_15,True,15_to_25,fav_14_plus,team_has_rp_edge
2023,1,2023-09-02T22:30:00.000Z,401523996,USC,Nevada,Favorite,-37.875,W,14.125,,23.0,21.0,25.0,15_to_25,,,,,,,,,,,,15_to_25,25_plus,True,15_to_25,fav_14_plus,team_has_rp_edge
2023,1,2023-09-03T16:00:00.000Z,401520171,Rutgers,Northwestern,Favorite,-6.1,W,10.9,,17.0,7.0,26.0,15_to_25,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,Big Ten,Big Ten,,,5_to_15,25_plus,True,15_to_25,fav_3_7,team_has_rp_edge
2023,2,2023-09-09T16:00:00.000Z,401523999,Utah,Baylor,Favorite,-7.0,P,0.0,,21.0,32.0,9.0,15_to_25,,,,,,,,,,,,25_plus,5_to_15,True,15_to_25,fav_3_7,team_has_rp_edge
2023,2,2023-09-09T19:30:00.000Z,401525497,Syracuse,Western Michigan,Favorite,-24.666666666666668,W,16.333333333333332,,24.0,42.0,5.0,15_to_25,ACC,MAC,P4,G6,P4_vs_G6,False,False,ACC,MAC,,,25_plus,5_to_15,True,15_to_25,fav_14_plus,team_has_rp_edge
2023,2,2023-09-09T21:00:00.000Z,401524004,Washington,Tulsa,Favorite,-33.666666666666664,L,-0.6666666666666643,,33.0,36.0,32.0,25_plus,,,,,,,,,,,,25_plus,25_plus,True,25_plus,fav_14_plus,team_has_rp_edge
2023,2,2023-09-09T23:00:00.000Z,401520183,Texas,Alabama,Underdog,7.166666666666667,W,17.166666666666668,,34.0,47.0,20.0,25_plus,Big 12,SEC,P4,P4,P4_vs_P4,False,False,Big 12,SEC,,,25_plus,15_to_25,True,25_plus,dog_3_7,team_has_rp_edge
2023,2,2023-09-10T02:30:00.000Z,401524003,USC,Stanford,Favorite,-28.666666666666668,W,17.333333333333332,,41.0,39.0,44.0,25_plus,,,,,,,,,,,,25_plus,25_plus,True,25_plus,fav_14_plus,team_has_rp_edge
2023,3,2023-09-16T19:30:00.000Z,401520223,Duke,Northwestern,Favorite,-17.0,W,7.0,,15.0,16.0,14.0,15_to_25,ACC,Big Ten,P4,P4,P4_vs_P4,False,False,ACC,Big Ten,,,15_to_25,5_to_15,True,15_to_25,fav_14_plus,team_has_rp_edge
2023,3,2023-09-16T20:00:00.000Z,401520245,Texas A&M,UL Monroe,Favorite,-36.5,W,7.5,,28.0,16.0,38.0,25_plus,SEC,Sun Belt,P4,G6,P4_vs_G6,False,False,SEC,Sun Belt,,,15_to_25,25_plus,True,25_plus,fav_14_plus,team_has_rp_edge
2023,3,2023-09-17T02:30:00.000Z,401525837,Kansas,Nevada,Favorite,-28.5,L,-21.5,,32.0,37.0,27.0,25_plus,Big 12,Mountain West,P4,G6,P4_vs_G6,False,False,Big 12,Mountain West,,,25_plus,25_plus,True,25_plus,fav_14_plus,team_has_rp_edge
2023,4,2023-09-23T17:30:00.000Z,401532406,Toledo,Western Michigan,Favorite,-21.5,L,-3.5,,28.0,51.0,5.0,25_plus,MAC,MAC,G6,G6,G6_vs_G6,False,False,MAC,MAC,,,25_plus,5_to_15,True,25_plus,fav_14_plus,team_has_rp_edge
2023,4,2023-09-23T19:30:00.000Z,401525506,Boston College,Louisville,Underdog,13.833333333333334,L,-14.166666666666666,,22.0,28.0,18.0,15_to_25,ACC,ACC,P4,P4,P4_vs_P4,False,False,ACC,ACC,,,25_plus,15_to_25,True,15_to_25,dog_7_14,team_has_rp_edge
2023,4,2023-09-23T19:30:00.000Z,401520250,Ole Miss,Alabama,Underdog,7.0,L,-7.0,,31.0,42.0,19.0,25_plus,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,,25_plus,15_to_25,True,25_plus,dog_3_7,team_has_rp_edge
2023,4,2023-09-23T20:00:00.000Z,401531423,Rice,South Florida,Favorite,-2.5,L,-15.5,,17.0,5.0,28.0,15_to_25,American,American,G6,G6,G6_vs_G6,True,False,Conference USA,American,0.0,,5_to_15,25_plus,True,15_to_25,pick_to_3,team_has_rp_edge
2023,4,2023-09-23T23:00:00.000Z,401520258,LSU,Arkansas,Favorite,-17.666666666666668,L,-14.666666666666668,,17.0,30.0,2.0,15_to_25,SEC,SEC,P4,P4,P4_vs_P4,False,False,SEC,SEC,,,25_plus,neutral,True,15_to_25,fav_14_plus,team_has_rp_edge
2023,4,2023-09-23T23:30:00.000Z,401525844,Texas,Baylor,Favorite,-16.5,W,15.5,,19.0,34.0,3.0,15_to_25,Big 12,Big 12,P4,P4,P4_vs_P4,False,False,Big 12,Big 12,,,25_plus,neutral,True,15_to_25,fav_14_plus,team_has_rp_edge
2024,1,2024-08-30T00:00:00.000Z,401640998,Jacksonville State,Coastal Carolina,Favorite,-3.5,L,-31.5,,24.0,15.0,33.0,15_to_25,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,Conference USA,Sun Belt,,,15_to_25,25_plus,True,15_to_25,fav_3_7,team_has_rp_edge
