season,week,game_id,team,opponent,prior_games,prior_off_drives,prior_off_start_ytg_sum,prior_off_short_fields,prior_off_opportunities,prior_off_opportunity_points,prior_off_opportunity_tds,prior_off_points,prior_def_drives,prior_def_opponent_start_ytg_sum,prior_def_short_fields_allowed,prior_def_opportunities_allowed,prior_def_opportunity_points_allowed,prior_def_opportunity_tds_allowed,prior_def_points_allowed,pregame_off_avg_start_ytg,pregame_off_short_field_rate,pregame_off_opportunity_rate,pregame_off_points_per_opportunity,pregame_off_td_rate_per_opportunity,pregame_off_points_per_drive,pregame_def_opponent_avg_start_ytg,pregame_def_short_field_rate_allowed,pregame_def_opportunity_rate_allowed,pregame_def_points_per_opportunity_allowed,pregame_def_td_rate_per_opportunity_allowed,pregame_def_points_per_drive_allowed
2021,1,401310861,Air Force,Lafayette,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2021,2,401301004,Air Force,Navy,1,9.0,594.0,3.0,8.0,35.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.3333333333333333,0.8888888888888888,4.375,0.625,3.888888888888889,,,,,,
2021,3,401310704,Air Force,Utah State,2,22.0,1387.0,10.0,13.0,56.0,8.0,56.0,11.0,823.0,1.0,2.0,3.0,0.0,3.0,63.04545454545455,0.45454545454545453,0.5909090909090909,4.3076923076923075,0.6153846153846154,2.5454545454545454,74.81818181818181,0.09090909090909091,0.18181818181818182,1.5,0.0,0.2727272727272727
2021,4,401282207,Air Force,Florida Atlantic,3,35.0,2263.0,14.0,22.0,102.0,14.0,102.0,24.0,1824.0,2.0,9.0,50.0,6.0,50.0,64.65714285714286,0.4,0.6285714285714286,4.636363636363637,0.6363636363636364,2.914285714285714,76.0,0.08333333333333333,0.375,5.555555555555555,0.6666666666666666,2.0833333333333335
2021,5,401310710,Air Force,New Mexico,4,43.0,2871.0,15.0,29.0,126.0,17.0,126.0,32.0,2424.0,2.0,11.0,57.0,7.0,57.0,66.76744186046511,0.3488372093023256,0.6744186046511628,4.344827586206897,0.5862068965517241,2.9302325581395348,75.75,0.0625,0.34375,5.181818181818182,0.6363636363636364,1.78125
2021,6,401310714,Air Force,Wyoming,5,51.0,3369.0,18.0,35.0,164.0,22.0,164.0,38.0,2857.0,3.0,13.0,57.0,7.0,57.0,66.05882352941177,0.35294117647058826,0.6862745098039216,4.685714285714286,0.6285714285714286,3.215686274509804,75.1842105263158,0.07894736842105263,0.34210526315789475,4.384615384615385,0.5384615384615384,1.5
2021,7,401310718,Air Force,Boise State,6,62.0,4118.0,22.0,40.0,188.0,25.0,188.0,49.0,3662.0,4.0,18.0,71.0,9.0,71.0,66.41935483870968,0.3548387096774194,0.6451612903225806,4.7,0.625,3.032258064516129,74.73469387755102,0.08163265306122448,0.3673469387755102,3.9444444444444446,0.5,1.4489795918367347
2021,8,401310724,Air Force,San Diego State,7,72.0,4809.0,23.0,45.0,212.0,28.0,212.0,59.0,4369.0,5.0,22.0,88.0,11.0,88.0,66.79166666666667,0.3194444444444444,0.625,4.711111111111111,0.6222222222222222,2.9444444444444446,74.05084745762711,0.0847457627118644,0.3728813559322034,4.0,0.5,1.4915254237288136
2021,10,401310253,Air Force,Army,8,82.0,5595.0,24.0,47.0,226.0,30.0,226.0,69.0,4974.0,10.0,28.0,108.0,13.0,108.0,68.23170731707317,0.2926829268292683,0.573170731707317,4.808510638297872,0.6382978723404256,2.7560975609756095,72.08695652173913,0.14492753623188406,0.4057971014492754,3.857142857142857,0.4642857142857143,1.565217391304348
2021,11,401310741,Air Force,Colorado State,9,92.0,6356.0,24.0,52.0,242.0,31.0,242.0,79.0,5669.0,12.0,32.0,123.0,15.0,123.0,69.08695652173913,0.2608695652173913,0.5652173913043478,4.653846153846154,0.5961538461538461,2.630434782608696,71.75949367088607,0.1518987341772152,0.4050632911392405,3.84375,0.46875,1.5569620253164558
2021,12,401310747,Air Force,Nevada,10,103.0,7179.0,25.0,59.0,277.0,36.0,277.0,89.0,6327.0,14.0,38.0,144.0,18.0,144.0,69.69902912621359,0.24271844660194175,0.5728155339805825,4.694915254237288,0.6101694915254238,2.6893203883495147,71.08988764044943,0.15730337078651685,0.42696629213483145,3.789473684210526,0.47368421052631576,1.6179775280898876
2021,13,401310752,Air Force,UNLV,11,115.0,7991.0,28.0,66.0,301.0,39.0,301.0,100.0,7189.0,14.0,43.0,161.0,20.0,161.0,69.48695652173913,0.24347826086956523,0.5739130434782609,4.5606060606060606,0.5909090909090909,2.617391304347826,71.89,0.14,0.43,3.744186046511628,0.46511627906976744,1.61
2021,1,401281944,Akron,Auburn,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2021,2,401300999,Akron,Temple,1,6.0,455.0,0.0,0.0,0.0,0.0,0.0,6.0,394.0,2.0,6.0,30.0,4.0,30.0,75.83333333333333,0.0,0.0,,,0.0,65.66666666666667,0.3333333333333333,1.0,5.0,0.6666666666666666,5.0
2021,3,401309550,Akron,Bryant,2,16.0,1236.0,0.0,5.0,17.0,2.0,17.0,15.0,958.0,5.0,13.0,126.0,9.0,126.0,77.25,0.0,0.3125,3.4,0.4,1.0625,63.86666666666667,0.3333333333333333,0.8666666666666667,9.692307692307692,0.6923076923076923,8.4
2021,4,401282811,Akron,Ohio State,3,26.0,1866.0,4.0,12.0,52.0,7.0,52.0,15.0,958.0,5.0,13.0,126.0,9.0,126.0,71.76923076923077,0.15384615384615385,0.46153846153846156,4.333333333333333,0.5833333333333334,2.0,63.86666666666667,0.3333333333333333,0.8666666666666667,9.692307692307692,0.6923076923076923,8.4
2021,5,401309560,Akron,Ohio,4,35.0,2584.0,5.0,13.0,59.0,8.0,59.0,22.0,1424.0,7.0,18.0,157.0,13.0,157.0,73.82857142857142,0.14285714285714285,0.37142857142857144,4.538461538461538,0.6153846153846154,1.6857142857142857,64.72727272727273,0.3181818181818182,0.8181818181818182,8.722222222222221,0.7222222222222222,7.136363636363637
2021,6,401309566,Akron,Bowling Green,5,46.0,3378.0,7.0,17.0,76.0,10.0,79.0,33.0,2245.0,8.0,24.0,189.0,17.0,191.0,73.43478260869566,0.15217391304347827,0.3695652173913043,4.470588235294118,0.5882352941176471,1.7173913043478262,68.03030303030303,0.24242424242424243,0.7272727272727273,7.875,0.7083333333333334,5.787878787878788
2021,7,401308837,Akron,Miami (OH),6,56.0,4072.0,10.0,26.0,111.0,15.0,114.0,44.0,2894.0,13.0,35.0,209.0,19.0,211.0,72.71428571428571,0.17857142857142858,0.4642857142857143,4.269230769230769,0.5769230769230769,2.0357142857142856,65.77272727272727,0.29545454545454547,0.7954545454545454,5.9714285714285715,0.5428571428571428,4.795454545454546
