combined_rule,conference_matchup_type,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,seasons_present,avg_offense_edge,avg_defense_edge,ats_win_pct,ats_edge_pct,confidence,signal
both_positive,P4_vs_P4,123,61,59,3,-0.3008130081300813,0.0,,0,5,15.1869918699187,15.886178861788618,0.5083333333333333,0.8333333333333286,High,Neutral
both_positive,P4_vs_G6,94,47,47,0,0.0425531914893617,0.0,,0,5,22.28723404255319,19.69148936170213,0.5,0.0,High,Neutral
either_component_25_plus,G6_vs_G6,92,39,50,3,-2.608695652173913,-3.25,,0,5,21.956521739130434,15.141304347826088,0.43820224719101125,-6.179775280898873,High,Fade edge team
offense_15_plus,G6_vs_G6,91,41,48,2,-2.7472527472527473,-1.5,,0,5,28.043956043956044,7.252747252747253,0.4606741573033708,-3.932584269662918,High,Neutral
both_5_plus,P4_vs_P4,89,46,40,3,0.11797752808988764,1.0,,0,5,17.584269662921347,18.06741573033708,0.5348837209302325,3.4883720930232514,High,Neutral
both_positive,G6_vs_G6,89,39,48,2,-2.561797752808989,-2.5,,0,5,19.51685393258427,19.44943820224719,0.4482758620689655,-5.172413793103445,High,Fade edge team
offense_15_plus,P4_vs_G6,86,44,42,0,0.7383720930232558,0.5,,0,5,28.348837209302324,12.837209302325581,0.5116279069767442,1.1627906976744242,High,Neutral
defense_15_plus,G6_vs_G6,84,37,44,3,-2.6666666666666665,-1.0,,0,5,10.702380952380953,26.238095238095237,0.4567901234567901,-4.320987654320987,High,Neutral
either_component_25_plus,P4_vs_G6,81,50,31,0,1.9320987654320987,3.0,,0,5,21.97530864197531,22.530864197530864,0.6172839506172839,11.728395061728392,High,Back edge team
offense_15_plus,P4_vs_P4,81,39,41,1,-0.6604938271604939,-0.5,,0,5,25.666666666666668,5.703703703703703,0.4875,-1.25,High,Neutral
defense_15_plus,P4_vs_P4,80,41,37,2,-0.03125,0.5,,0,5,7.3375,25.575,0.5256410256410257,2.564102564102569,High,Neutral
defense_15_plus,P4_vs_G6,78,46,32,0,1.5897435897435896,2.0,,0,5,13.512820512820513,28.243589743589745,0.5897435897435898,8.974358974358978,High,Back edge team
both_5_plus,P4_vs_G6,76,37,39,0,0.3026315789473684,-1.0,,0,5,24.92105263157895,21.776315789473685,0.4868421052631579,-1.3157894736842124,High,Neutral
both_5_plus,G6_vs_G6,70,31,37,2,-2.192857142857143,-2.25,,0,5,23.014285714285716,22.114285714285714,0.45588235294117646,-4.411764705882355,Supported,Neutral
