conference_matchup_type,overall_rp_band,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,seasons_present,avg_overall_rp_edge,ats_win_pct,ats_edge_pct,confidence,signal,analysis_type,component,component_edge_band,avg_component_edge,avg_other_component_edge,combined_rule,avg_offense_edge,avg_defense_edge
P4_vs_G6,,81,50,31,0,1.9320987654320987,3.0,,0,5,,0.6172839506172839,11.728395061728392,High,Back edge team,combined_rp,,,,,either_component_25_plus,21.97530864197531,22.530864197530864
P4_vs_G6,,78,46,32,0,1.5897435897435896,2.0,,0,5,,0.5897435897435898,8.974358974358978,High,Back edge team,combined_rp,,,,,defense_15_plus,13.512820512820513,28.243589743589745
P4_vs_P4,,89,46,40,3,0.11797752808988764,1.0,,0,5,,0.5348837209302325,3.4883720930232514,High,Neutral,combined_rp,,,,,both_5_plus,17.584269662921347,18.06741573033708
P4_vs_P4,,80,41,37,2,-0.03125,0.5,,0,5,,0.5256410256410257,2.564102564102569,High,Neutral,combined_rp,,,,,defense_15_plus,7.3375,25.575
P4_vs_P4,,88,45,41,2,0.7045454545454546,1.25,,0,5,,0.5232558139534884,2.3255813953488413,High,Neutral,component_rp,defense_vs_opponent_offense,5_to_14_9,9.636363636363637,4.875,,,
P4_vs_G6,,76,37,39,0,0.3026315789473684,-1.0,,0,5,,0.4868421052631579,-1.3157894736842124,High,Neutral,combined_rp,,,,,both_5_plus,24.92105263157895,21.776315789473685
P4_vs_P4,,81,39,41,1,-0.6604938271604939,-0.5,,0,5,,0.4875,-1.25,High,Neutral,combined_rp,,,,,offense_15_plus,25.666666666666668,5.703703703703703
P4_vs_G6,,86,44,42,0,0.7383720930232558,0.5,,0,5,,0.5116279069767442,1.1627906976744242,High,Neutral,combined_rp,,,,,offense_15_plus,28.348837209302324,12.837209302325581
P4_vs_P4,,93,47,45,1,0.7956989247311828,0.5,,0,5,,0.5108695652173914,1.0869565217391326,High,Neutral,component_rp,offense_vs_opponent_defense,5_to_14_9,9.118279569892474,1.5698924731182795,,,
P4_vs_P4,,123,61,59,3,-0.3008130081300813,0.0,,0,5,,0.5083333333333333,0.8333333333333286,High,Neutral,combined_rp,,,,,both_positive,15.1869918699187,15.886178861788618
P4_vs_P4,5_to_14_9,90,44,45,1,-0.03888888888888889,-0.25,,0,5,9.177777777777777,0.4943820224719101,-0.5617977528089924,High,Neutral,overall_rp,,,,,,,
P4_vs_G6,,94,47,47,0,0.0425531914893617,0.0,,0,5,,0.5,0.0,High,Neutral,combined_rp,,,,,both_positive,22.28723404255319,19.69148936170213
P4_vs_G6,,53,33,20,0,1.8584905660377358,3.0,,0,5,,0.6226415094339622,12.264150943396224,Supported,Back edge team,component_rp,defense_vs_opponent_offense,25_plus,35.18867924528302,15.584905660377359,,,
P4_vs_G6,,54,31,23,0,1.9907407407407407,2.75,,0,5,,0.5740740740740741,7.407407407407405,Supported,Back edge team,combined_rp,,,,,defense_15_plus_off_nonnegative,23.333333333333332,29.27777777777778
P4_vs_P4,15_to_24_9,52,29,22,1,1.1634615384615385,2.25,,0,5,17.557692307692307,0.5686274509803921,6.862745098039213,Supported,Back edge team,overall_rp,,,,,,,
