season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rule_p4_g6_either_component_25_plus,rule_p4_g6_defense_15_plus,rule_p4_p4_overall_15_to_24_9,market_role,spread_bucket,rule_key
2021,1,401281943,Arkansas,Rice,P4_vs_G6,9.0,5_to_14_9,-9.0,26.0,-19.5,W,1.5,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,1,401281949,Mississippi State,Louisiana Tech,P4_vs_G6,23.0,15_to_24_9,7.0,37.0,-20.5,L,-19.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,2,401282060,Georgia,UAB,P4_vs_G6,7.0,5_to_14_9,27.0,-13.0,-22.5,W,26.5,,False,True,False,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2021,3,401282069,Arkansas,Georgia Southern,P4_vs_G6,27.0,25_plus,14.0,39.0,-23.0,W,12.0,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2021,3,401282075,Ole Miss,Tulane,P4_vs_G6,17.0,15_to_24_9,25.0,9.0,-14.0,W,26.0,,False,True,False,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,3,401282197,Texas Tech,FIU,P4_vs_G6,13.0,5_to_14_9,-1.0,26.0,-20.5,W,12.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,1,401282607,NC State,South Florida,P4_vs_G6,17.0,15_to_24_9,-5.0,39.0,-19.0,W,26.0,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,1,401282610,Georgia Tech,Northern Illinois,P4_vs_G6,13.0,5_to_14_9,-3.0,29.0,-19.0,L,-20.0,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,3,401282632,Pittsburgh,Western Michigan,P4_vs_G6,15.0,15_to_24_9,32.0,-1.0,-14.5,L,-17.5,,False,True,False,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,3,401282634,Boston College,Temple,P4_vs_G6,33.0,25_plus,41.0,25.0,-15.0,W,10.0,,False,True,True,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,3,401282755,Iowa,Kent State,P4_vs_G6,22.0,15_to_24_9,19.0,26.0,-22.5,W,0.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2021,4,401282765,Maryland,Kent State,P4_vs_G6,35.0,25_plus,36.0,35.0,-13.0,W,8.0,,True,True,True,False,Favorite,Fav 7-13.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,1,401282772,Michigan,Western Michigan,P4_vs_G6,15.0,15_to_24_9,27.0,5.0,-16.5,W,16.5,,False,True,False,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,2,401282790,Minnesota,Miami (OH),P4_vs_G6,20.0,15_to_24_9,30.0,9.0,-19.0,L,-14.0,,True,True,False,False,Favorite,Fav 14-20.5,P4_G6_EITHER_COMPONENT_25_PLUS
2021,4,401282792,Minnesota,Bowling Green,P4_vs_G6,11.0,5_to_14_9,-3.0,25.0,-30.5,L,-34.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_EITHER_COMPONENT_25_PLUS
2021,2,401282797,Nebraska,Buffalo,P4_vs_G6,18.0,15_to_24_9,-0.0,36.0,-13.5,W,11.5,,True,True,True,False,Favorite,Fav 7-13.5,P4_G6_EITHER_COMPONENT_25_PLUS
