rule_key,market_role,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_spread,seasons_present,ats_win_pct,ats_edge_pct,confidence,summary_type,spread_bucket
P4_G6_DEFENSE_15_PLUS,Favorite,74,43,31,0,0.972972972972973,1.5,-24.635135135135137,5,0.581081081081081,8.108108108108105,Supported,role,
P4_G6_DEFENSE_15_PLUS,Underdog,4,3,1,0,13.0,13.5,3.75,3,0.75,25.0,Small sample,role,
P4_G6_EITHER_COMPONENT_25_PLUS,Favorite,80,49,31,0,1.91875,3.0,-24.60625,5,0.6125,11.250000000000007,Supported,role,
P4_G6_EITHER_COMPONENT_25_PLUS,Pick'em,1,1,0,0,3.0,3.0,0.0,1,1.0,50.0,Small sample,role,
P4_P4_OVERALL_15_TO_24_9,Favorite,35,17,17,1,-0.9857142857142858,-0.0,-9.157142857142857,5,0.5,0.0,Promising,role,
P4_P4_OVERALL_15_TO_24_9,Underdog,17,12,5,0,5.588235294117647,5.5,5.764705882352941,5,0.7058823529411765,20.588235294117652,Exploratory,role,
P4_G6_DEFENSE_15_PLUS,,3,2,1,0,8.5,5.0,2.1666666666666665,3,0.6666666666666666,16.666666666666657,Small sample,spread_bucket,Dog 0.5-6.5
P4_G6_DEFENSE_15_PLUS,,1,1,0,0,26.5,26.5,8.5,1,1.0,50.0,Small sample,spread_bucket,Dog 7-13.5
P4_G6_DEFENSE_15_PLUS,,2,1,1,0,5.0,5.0,-3.5,2,0.5,0.0,Small sample,spread_bucket,Fav 0.5-6.5
P4_G6_DEFENSE_15_PLUS,,17,11,6,0,4.382352941176471,2.5,-17.794117647058822,5,0.6470588235294118,14.705882352941174,Exploratory,spread_bucket,Fav 14-20.5
P4_G6_DEFENSE_15_PLUS,,44,25,19,0,-0.2727272727272727,1.0,-31.5,5,0.5681818181818182,6.81818181818182,Promising,spread_bucket,Fav 21+
P4_G6_DEFENSE_15_PLUS,,11,6,5,0,-0.045454545454545456,1.5,-11.590909090909092,4,0.5454545454545454,4.54545454545454,Small sample,spread_bucket,Fav 7-13.5
P4_G6_EITHER_COMPONENT_25_PLUS,,2,2,0,0,15.5,15.5,-4.5,2,1.0,50.0,Small sample,spread_bucket,Fav 0.5-6.5
P4_G6_EITHER_COMPONENT_25_PLUS,,22,13,9,0,0.5454545454545454,2.0,-17.545454545454547,5,0.5909090909090909,9.090909090909093,Exploratory,spread_bucket,Fav 14-20.5
P4_G6_EITHER_COMPONENT_25_PLUS,,47,27,20,0,0.43617021276595747,2.5,-31.28723404255319,5,0.574468085106383,7.446808510638306,Promising,spread_bucket,Fav 21+
P4_G6_EITHER_COMPONENT_25_PLUS,,9,7,2,0,10.0,11.0,-11.444444444444445,4,0.7777777777777778,27.777777777777786,Small sample,spread_bucket,Fav 7-13.5
P4_G6_EITHER_COMPONENT_25_PLUS,,1,1,0,0,3.0,3.0,0.0,1,1.0,50.0,Small sample,spread_bucket,Pick'em
P4_P4_OVERALL_15_TO_24_9,,13,10,3,0,11.5,9.5,3.423076923076923,5,0.7692307692307693,26.923076923076934,Small sample,spread_bucket,Dog 0.5-6.5
P4_P4_OVERALL_15_TO_24_9,,1,0,1,0,-14.0,-14.0,14.0,1,0.0,-50.0,Small sample,spread_bucket,Dog 14-20.5
P4_P4_OVERALL_15_TO_24_9,,1,1,0,0,4.5,4.5,24.5,1,1.0,50.0,Small sample,spread_bucket,Dog 21+
