rule_key,rule_label,season,games,wins,losses,pushes,ats_record,ats_win_pct,avg_ats_margin,median_ats_margin,positive_season,profitable_55_pct
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,2021,19,12,7,0,12-7,0.631578947368421,0.7894736842105263,8.0,True,True
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,2022,11,8,3,0,8-3,0.7272727272727273,7.5,6.5,True,True
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,2023,13,7,6,0,7-6,0.5384615384615384,-1.5384615384615385,2.5,True,False
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,2024,20,14,6,0,14-6,0.7,1.65,4.0,True,True
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,2025,18,9,9,0,9-9,0.5,2.5555555555555554,-0.5,False,False
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2021,22,14,8,0,14-8,0.6363636363636364,2.6363636363636362,2.75,True,True
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2022,15,11,4,0,11-4,0.7333333333333333,5.266666666666667,6.5,True,True
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2023,9,4,5,0,4-5,0.4444444444444444,-0.6666666666666666,-7.5,False,False
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2024,18,12,6,0,12-6,0.6666666666666666,2.0555555555555554,3.0,True,True
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2025,14,5,9,0,5-9,0.35714285714285715,-3.142857142857143,-1.5,False,False
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,2021,12,6,6,0,6-6,0.5,1.5833333333333333,-0.25,False,False
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,2022,10,7,3,0,7-3,0.7,1.35,4.0,True,True
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,2023,12,9,2,1,9-2-1,0.8181818181818182,5.916666666666667,7.25,True,True
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,2024,6,0,6,0,0-6,0.0,-10.666666666666666,-10.5,False,False
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,2025,12,7,5,0,7-5,0.5833333333333334,1.75,2.5,True,True
