season,week,teams,games,connected_components,largest_identifiable_graph,reconstruction_allowed,reason
2021,0,8,4,4,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,1,92,47,46,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,2,90,45,45,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,3,104,52,52,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,4,116,58,58,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,5,122,61,61,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,6,102,51,51,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,7,102,51,51,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,8,104,52,52,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,9,106,53,53,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,10,118,59,59,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,11,120,60,60,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,12,124,62,62,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,13,130,65,65,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,14,22,11,11,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,15,2,1,1,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,18,74,37,37,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2021,19,2,1,1,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2022,0,14,7,7,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2022,1,92,46,46,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2022,2,94,47,47,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2022,3,100,50,50,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
2022,4,120,60,60,False,False,one game per team produces mostly disconnected matchup pairs; source HFA and cross-game team levels are not identifiable
