season,week,game_id,away_team,home_team,home_key,away_key,mapping_status,archive_row
2024,2,401628340,South Carolina,Kentucky,kentucky,south carolina,matched,52.0
2024,2,401628345,Houston,Oklahoma,oklahoma,houston,matched,70.0
2024,2,401628347,Texas,Michigan,michigan,texas,matched,57.0
2024,3,401628350,Alabama,Wisconsin,wisconsin,alabama,matched,138.0
2024,3,401628351,UAB,Arkansas,arkansas,uab,matched,88.0
2024,3,401628352,New Mexico,Auburn,auburn,new mexico,matched,89.0
2024,3,401628353,Texas A&M,Florida,florida,texas a m,matched,97.0
2024,3,401628354,Georgia,Kentucky,kentucky,georgia,matched,107.0
2024,3,401628355,Ole Miss,Wake Forest,wake forest,ole miss,matched,136.0
2024,3,401628358,Tulane,Oklahoma,oklahoma,tulane,matched,117.0
2024,3,401628359,LSU,South Carolina,south carolina,lsu,matched,124.0
2024,3,401628360,Kent State,Tennessee,tennessee,kent state,unmatched,
2024,3,401628361,UTSA,Texas,texas,utsa,matched,129.0
2024,3,401628362,Vanderbilt,Georgia State,georgia state,vanderbilt,matched,101.0
2024,8,401628393,Kentucky,Florida,florida,kentucky,matched,362.0
2024,8,401628396,South Carolina,Oklahoma,oklahoma,south carolina,matched,383.0
2024,8,401628397,Alabama,Tennessee,tennessee,alabama,matched,395.0
2024,8,401628398,Georgia,Texas,texas,georgia,matched,396.0
2024,8,401628399,Ball State,Vanderbilt,vanderbilt,ball state,matched,403.0
2024,9,401628400,Missouri,Alabama,alabama,missouri,matched,408.0
2024,9,401628401,Auburn,Kentucky,kentucky,auburn,matched,432.0
2024,9,401628402,Oklahoma,Ole Miss,ole miss,oklahoma,matched,439.0
2024,9,401628404,LSU,Texas A&M,texas a m,lsu,matched,452.0
2024,9,401628405,Texas,Vanderbilt,vanderbilt,texas,matched,457.0
2024,10,401628406,Ole Miss,Arkansas,arkansas,ole miss,matched,465.0
2024,10,401628407,Vanderbilt,Auburn,auburn,vanderbilt,matched,467.0
2024,10,401628408,Florida,Georgia,georgia,florida,matched,479.0
2024,10,401628411,Texas A&M,South Carolina,south carolina,texas a m,matched,501.0
2024,10,401628412,Kentucky,Tennessee,tennessee,kentucky,matched,503.0
2024,11,401628413,Alabama,LSU,lsu,alabama,matched,526.0
2024,11,401628414,Georgia,Ole Miss,ole miss,georgia,matched,532.0
2024,11,401628415,Oklahoma,Missouri,missouri,oklahoma,matched,533.0
2024,11,401628417,Florida,Texas,texas,florida,matched,549.0
2024,11,401628418,South Carolina,Vanderbilt,vanderbilt,south carolina,matched,556.0
2024,12,401628419,Texas,Arkansas,arkansas,texas,matched,563.0
2024,12,401628420,LSU,Florida,florida,lsu,matched,572.0
2024,12,401628421,Tennessee,Georgia,georgia,tennessee,matched,573.0
2024,12,401628423,Missouri,South Carolina,south carolina,missouri,matched,599.0
2024,13,401628428,Texas A&M,Auburn,auburn,texas a m,matched,618.0
2024,13,401628429,Ole Miss,Florida,florida,ole miss,matched,626.0
2024,13,401628431,Vanderbilt,LSU,lsu,vanderbilt,matched,637.0
2024,13,401628433,Alabama,Oklahoma,oklahoma,alabama,matched,654.0
2024,13,401628435,UTEP,Tennessee,tennessee,utep,matched,664.0
2024,13,401628436,Kentucky,Texas,texas,kentucky,matched,665.0
2024,14,401628437,Auburn,Alabama,alabama,auburn,matched,677.0
2024,14,401628438,Florida,Florida State,florida state,florida,matched,695.0
2024,14,401628440,Louisville,Kentucky,kentucky,louisville,matched,704.0
2024,14,401628441,Oklahoma,LSU,lsu,oklahoma,matched,705.0
2024,14,401628443,Arkansas,Missouri,missouri,arkansas,matched,711.0
2024,14,401628444,South Carolina,Clemson,clemson,south carolina,matched,690.0
2024,14,401628445,Texas,Texas A&M,texas a m,texas,matched,728.0
2024,14,401628446,Tennessee,Vanderbilt,vanderbilt,tennessee,matched,736.0
2024,2,401628465,Michigan State,Maryland,maryland,michigan state,matched,55.0
2024,3,401628476,Indiana,UCLA,ucla,indiana,matched,133.0
2024,3,401628477,Troy,Iowa,iowa,troy,unmatched,
2024,3,401628478,Maryland,Virginia,virginia,maryland,matched,135.0
2024,3,401628479,Arkansas State,Michigan,michigan,arkansas state,matched,111.0
2024,3,401628481,Nevada,Minnesota,minnesota,nevada,matched,113.0
2024,3,401628483,Oregon,Oregon State,oregon state,oregon,matched,119.0
