lambda,n,mae,rmse,direction_accuracy,correlation,mean_error
0.5,679,4.706689858509621,6.668937854569886,0.8468335787923417,0.8652973624112131,1.025599345736025
0.55,679,4.708131603724265,6.671685744198274,0.8483063328424153,0.8641882257882939,1.059662206771963
0.45,679,4.717556811565124,6.676547935615125,0.845360824742268,0.8662249600196262,0.9915364847000873
0.6,679,4.71774443877589,6.68477883106363,0.8483063328424153,0.8629207152439862,1.0937250678079005
0.65,679,4.7393871919843775,6.708156539676833,0.845360824742268,0.8615156713160264,1.1277879288438384
0.4,679,4.740611961064175,6.694480663553571,0.845360824742268,0.8669453210327573,0.9574736236641493
0.35,679,4.772526628156248,6.722653431681079,0.845360824742268,0.8674300016288712,0.9234107626282115
0.7,679,4.774042202476609,6.741711881344111,0.8409425625920471,0.8599918092821727,1.1618507898797763
0.3,679,4.814343163801366,6.76093823074644,0.845360824742268,0.8676475961677019,0.889347901592274
0.75,679,4.821148546222818,6.785293863273598,0.8379970544918999,0.8583659079449691,1.1959136509157142
0.25,679,4.866533479730115,6.809164496993658,0.845360824742268,0.8675635252390992,0.8552850405563361
0.8,679,4.8745809656106065,6.838710793751626,0.8321060382916053,0.8566529867702259,1.2299765119516521
0.2,679,4.929435344785068,6.867122783520305,0.8438880706921944,0.8671398345445049,0.8212221795203982
0.85,679,4.9307251001677095,6.901734319708801,0.8291605301914581,0.854866470810955,1.2640393729875896
0.9,679,4.996442284342114,6.974104007597845,0.8306332842415317,0.8530183432754698,1.2981022340235275
0.15,679,5.004416785459745,6.934569077487302,0.8483063328424153,0.8663350138958489,0.7871593184844605
0.95,679,5.070309339963843,7.055532268185936,0.8291605301914581,0.8511192859116228,1.3321650950594652
0.1,679,5.091860878859684,7.011229567388105,0.8394698085419735,0.8651038480177894,0.7530964574485227
1.0,679,5.155264663129168,7.145709429840282,0.8276877761413843,0.8491788076018165,1.3662279560954032
0.05,679,5.1840854477055345,7.096805661173621,0.8424153166421208,0.8633973135371809,0.7190335964125849
1.05,679,5.252294467973733,7.244308780945103,0.8262150220913107,0.8472053617147268,1.400290817131341
0.0,679,5.2823282626422685,7.1909790660235835,0.8365243004418262,0.8611625394695387,0.6849707353766471
1.1,679,5.353879107819223,7.3509914271017225,0.8276877761413843,0.8452064528558517,1.4343536781672788
-0.05,679,5.386471298140335,7.293416761243495,0.8379970544918999,0.85834285153983,0.6509078743407092
1.15,679,5.462651378438897,7.46541083924002,0.8217967599410898,0.8431887337130572,1.4684165392032165
-0.1,679,5.493709859755531,7.4037757237817745,0.8262150220913107,0.8548779236021145,0.6168450133047715
1.2,679,5.578667701527429,7.587217001354082,0.8203240058910162,0.841158092715865,1.5024794002391544
-0.15,679,5.603954600254417,7.5217072977222275,0.8188512518409425,0.8507040619540036,0.5827821522688337
1.25,679,5.70094964591419,7.716060098411957,0.8203240058910162,0.8391197332266953,1.5365422612750923
-0.2,679,5.719671172991114,7.646861131655914,0.812960235640648,0.8457546500744095,0.5487192912328959
1.3,679,5.8271661777603985,7.851593713931492,0.8188512518409425,0.8370782449653237,1.5706051223110298
-0.25,679,5.840644741790855,7.778888638534863,0.8041237113402062,0.8399607817298156,0.5146564301969581
1.35,679,5.957190323230394,7.993477531379355,0.8159057437407953,0.8350376683395033,1.6046679833469677
-0.3,679,5.963974521265796,7.91744595967022,0.8055964653902798,0.8332521088746156,0.4805935691610204
-0.35,679,6.09026510517331,8.062196436923653,0.7967599410898379,0.8255579266242662,0.44653070812508244
1.4,679,6.092345025357981,8.141379553267328,0.8144329896907216,0.8330015523190595,1.6387308443829056
-0.4,679,6.218846968344506,8.212812614474123,0.7952871870397643,0.8168085101124435,0.41246784708914463
1.45,679,6.2292049498833775,8.29497786650011,0.8159057437407953,0.8309730064507552,1.6727937054188433
-0.45,679,6.350024391588807,8.368977803953168,0.792341678939617,0.8069367066655634,0.37840498605320677
1.5,679,6.371319966817297,8.453961992507939,0.8100147275405007,0.8289547475690541,1.706856566454781
-0.5,679,6.486028141729689,8.530387254710714,0.7879234167893961,0.7958797711033713,0.3443421250172691
1.55,679,6.517580773928888,8.618033866578012,0.8100147275405007,0.8269491417152596,1.7409194274907192
1.6,679,6.667825562654924,8.786908493314186,0.8100147275405007,0.8249582417355039,1.7749822885266566
1.65,679,6.822744213133431,8.960314325063774,0.8070692194403535,0.8229838209875229,1.8090451495625945
1.7,679,6.9826029164845504,9.137993408165922,0.8055964653902798,0.8210274035476205,1.8431080105985325
1.75,679,7.143489215532394,9.31970133862128,0.8070692194403535,0.8190902912730104,1.8771708716344704
1.8,679,7.304505859697425,9.505207064771888,0.8055964653902798,0.8171735880409984,1.9112337326704083
1.85,679,7.4674943523145405,9.694292570216467,0.8041237113402062,0.8152782214553164,1.945296593706346
1.9,679,7.633550694905123,9.886752465769215,0.801178203240059,0.8134049622812718,1.9793594547422837
1.95,679,7.801614123889538,10.082393515009608,0.7997054491899853,0.8115544418452206,2.013422315778221
2.0,679,7.970365468161995,10.281034114003154,0.7938144329896907,0.8097271676100274,2.047485176814159
