lambda,n,mae,rmse,direction_accuracy,correlation,mean_error
0.8,762,6.835989413187369,14.627774204996213,1.0,0.18275777749497124,3.113569592079702
0.75,762,6.837279199128906,14.62429956125696,1.0,0.17823792597373797,3.1432852400208606
0.85,762,6.840165914649892,14.633078440849,1.0,0.18722833169046021,3.0838539441385433
0.7,762,6.844169142504229,14.622655813877442,1.0,0.1736698113685057,3.1730008879620204
0.9,762,6.848829904686796,14.640210280198923,1.0,0.19164862780861236,3.0541382961973844
0.65,762,6.852510246839507,14.622843580288414,1.0,0.16905454135255332,3.2027165359031797
0.95,762,6.862406820121084,14.649167053780221,1.0,0.19601777841735815,3.024422648256225
0.6,762,6.8645469827150185,14.624862789946295,1.0,0.1643932967340772,3.2324321838443386
0.55,762,6.8798975836150005,14.628712684465588,1.0,0.15968733091397333,3.262147831785496
1.0,762,6.880479902970499,14.659945416658026,1.0,0.20033496901404296,2.994707000315066
0.5,762,6.89938800876525,14.63439181904217,1.0,0.15493796909168364,3.2918634797266555
1.05,762,6.902064322882249,14.67254135444643,1.0,0.20459945742649943,2.9649913523739073
0.45,762,6.924742264118028,14.641898065161072,1.0,0.15014660721415368,3.3215791276678153
1.1,762,6.9290539361912495,14.686950190737488,1.0,0.20881057301671904,2.9352757044327484
0.4,762,6.95385500457962,14.651228614577072,1.0,0.14531471066443608,3.3512947756089746
1.15,762,6.959450954854705,14.703166595709316,1.0,0.2129677156991671,2.905560056491589
0.35,762,6.986626466674266,14.662379984550649,1.0,0.140443812688057,3.3810104235501326
1.2,762,6.994450024384013,14.721184595876649,1.0,0.21707035478628428,2.87584440855043
0.3,762,7.02276601879999,14.675348024316706,1.0,0.13553551255692423,3.4107260714912915
1.25,762,7.033854190050613,14.740997584942642,1.0,0.2211180276740883,2.8461287606092713
0.25,762,7.061889888517445,14.690127922758068,1.0,0.13059147347228575,3.4404417194324504
1.3,762,7.076375624045112,14.762598335706649,1.0,0.2251103383810413,2.8164131126681125
0.2,762,7.104396700358309,14.706714217250955,1.0,0.12561342021002578,3.4701573673736092
1.35,762,7.123803530643948,14.785979012978748,1.0,0.229046955953479,2.7866974647269536
0.15,762,7.150427406904794,14.725100803644834,1.0,0.12060313651339893,3.4998730153147695
1.4,762,7.173926554731014,14.811131187448256,1.0,0.23292761275092738,2.7569818167857947
0.1,762,7.203280199670095,14.745280947334551,1.0,0.1155624622401256,3.5295886632559275
1.45,762,7.226340067141603,14.838045850450523,1.0,0.23675210262455154,2.7272661688446345
0.05,762,7.2603219751465415,14.767247295378652,1.0,0.11049329027259257,3.5593043111970863
1.5,762,7.280964651990508,14.866713429573357,1.0,0.24052027900181364,2.6975505209034765
0.0,762,7.320298261618029,14.790991889613894,1.0,0.10539756320169287,3.5890199591382452
1.55,762,7.338949175630624,14.897123805042261,1.0,0.2442320528901589,2.6678348729623176
-0.05,762,7.382084603256722,14.816506180712617,1.0,0.10027726979658412,3.6187356070794046
1.6,762,7.400222405444314,14.92926632682169,1.0,0.24788739081221972,2.6381192250211583
-0.1,762,7.448713463315847,14.843781043126494,1.0,0.09513444127431799,3.648451255020564
1.65,762,7.4645295548137245,14.96312983236804,1.0,0.2514863126846243,2.6084035770800007
-0.15,762,7.518038200839662,14.872806790857704,1.0,0.08997114738488117,3.6781669029617228
1.7,762,7.532497899453744,14.998702664968995,1.0,0.2550288896520407,2.57868792913884
-0.2,762,7.589266032623704,14.903573193996122,1.0,0.08478949232866424,3.707882550902881
1.75,762,7.604130821377215,15.03597269260319,1.0,0.2585152418875792,2.548972281197682
-0.25,762,7.662994835610036,14.936069495959497,1.0,0.07959161052472487,3.73759819884404
1.8,762,7.676845304259979,15.074927327253846,1.0,0.26194553637012474,2.5192566332565227
-0.3,762,7.739145236252198,14.970284431372,1.0,0.07437966224941574,3.7673138467852
1.85,762,7.750911668946857,15.115553544610135,1.0,0.26531998464859086,2.489540985315364
-0.35,762,7.8177544283688185,15.006206244515676,1.0,0.06915582916599511,3.797029494726358
1.9,762,7.826594469368582,15.15783790409049,1.0,0.2686388406024775,2.459825337374206
-0.4,762,7.8978879977515435,15.043822708288568,1.0,0.06392230976670427,3.8267451426675176
1.95,762,7.9038516246711525,15.201766569122945,1.0,0.2719023982074945,2.4301096894330456
-0.45,762,7.979475243788274,15.083121143603254,1.0,0.05868131474948583,3.8564607906086765
2.0,762,7.983990972323136,15.247325327618638,1.0,0.27511098931436817,2.4003940414918876
-0.5,762,8.063093574463963,15.124088439159546,1.0,0.05343506235200731,3.8861764385498354
