conference,development_games,development_raw_hfa,development_shrunk_hfa,global_development_hfa,difference_from_2_5,holdout_2025_games,holdout_generic_mae,holdout_conference_mae,holdout_conference_team_mae
SEC,139,2.849956834532374,2.736456348395011,2.5392492537313434,0.23645634839501106,57,3.324561403508772,3.263615218787103,3.3100758578612957
Mountain West,151,2.790278145695364,2.7033417328939717,2.5392492537313434,0.20334173289397173,49,3.66734693877551,3.6509522095327767,3.512783769166217
ACC,120,2.762683333333334,2.6733097014925375,2.5392492537313434,0.17330970149253755,51,3.8372549019607844,3.8202637547556333,3.8723792859273245
Pac-12,199,2.694743718592964,2.6501574921093454,2.5392492537313434,0.15015749210934537,9,11.2,11.216684165789928,9.326534339949
FBS Independents,69,2.568753623188406,2.5529123509966944,2.5392492537313434,0.052912350996694446,12,5.608333333333333,5.599514608167219,6.282463608504828
Big Ten,235,2.4439234042553193,2.4681331438047853,2.5392492537313434,-0.03186685619521468,86,3.406976744186046,3.40994110290188,3.5073670485501562
Big 12,158,2.4056962025316455,2.4505879844475102,2.5392492537313434,-0.04941201555248975,72,3.2111111111111112,3.2152287790738185,3.2465075872278613
Sun Belt,58,2.307275862068966,2.4417531905688947,2.5392492537313434,-0.05824680943110527,17,3.7823529411764705,3.7926317898996067,3.9284399325511883
American Athletic,137,2.282715328467154,2.37729004745856,2.5392492537313434,-0.1227099525414399,44,3.5136363636363637,3.4944222748844807,3.4055594693625824
Mid-American,29,1.8068965517241382,2.344403122004656,2.5392492537313434,-0.15559687799534405,10,3.29,3.2588806244009305,2.959839554237869
Conference USA,45,1.9271555555555555,2.31889552238806,2.5392492537313434,-0.18110447761194015,21,4.619047619047619,4.627671641791044,4.694510482960179
