team,historical_conference,development_home_games,current_site_hfa,conference_hfa,shrunk_team_hfa,difference_recommended_vs_current,confidence
Illinois,Big Ten,19,1.5,2.4681331438047853,3.4006469752079944,1.9006469752079944,High
Ohio State,Big Ten,19,3.0,2.4681331438047853,3.6624116810903464,0.6624116810903464,High
USC,Pac-12,19,2.4,2.6501574921093454,2.861010658283535,0.46101065828353516,High
Iowa,Big Ten,18,2.4,2.4681331438047853,0.9976362774870238,-1.4023637225129761,High
Michigan,Big Ten,18,2.9,2.4681331438047853,1.901333247183993,-0.9986667528160069,High
Texas,Big 12,18,3.0,2.4505879844475102,1.6199642353549288,-1.3800357646450712,High
Washington,Pac-12,18,2.1,2.6501574921093454,2.3325564358072786,0.23255643580727847,High
Wisconsin,Big Ten,18,2.0,2.4681331438047853,2.0188483986991446,0.018848398699144564,High
Arizona State,Pac-12,17,2.2,2.6501574921093454,2.721073824426256,0.5210738244262556,High
Boise State,Mountain West,17,2.8,2.7033417328939717,3.6366289372940495,0.8366289372940496,High
Colorado,Pac-12,17,2.6,2.6501574921093454,4.364136324426256,1.7641363244262558,High
Maryland,Big Ten,17,2.3,2.4681331438047853,1.135062411158493,-1.1649375888415068,High
Minnesota,Big Ten,17,2.4,2.4681331438047853,1.728812411158493,-0.6711875888415069,High
Penn State,Big Ten,17,3.4,2.4681331438047853,1.7069374111584932,-1.6930625888415067,High
Purdue,Big Ten,17,1.3,2.4681331438047853,3.681937411158493,2.381937411158493,High
Stanford,Pac-12,17,1.4,2.6501574921093454,4.098511324426256,2.698511324426256,High
Washington State,Pac-12,17,3.3,2.6501574921093454,-1.2639886755737444,-4.563988675573745,High
Baylor,Big 12,16,2.5,2.4505879844475102,2.5309296698939563,0.03092966989395629,High
California,Pac-12,16,2.8,2.6501574921093454,3.686979431665813,0.8869794316658131,High
Kansas State,Big 12,16,3.8,2.4505879844475102,1.9664135408616985,-1.8335864591383013,High
Nebraska,Big Ten,16,1.5,2.4681331438047853,2.7587741018410252,1.2587741018410252,High
Oregon,Pac-12,16,2.5,2.6501574921093454,2.8249794316658123,0.32497943166581233,High
Rutgers,Big Ten,16,2.1,2.4681331438047853,3.0394192631313475,0.9394192631313474,High
Syracuse,ACC,16,2.9,2.6733097014925375,2.0967627587867117,-0.8032372412132882,High
UCLA,Pac-12,16,1.7,2.6501574921093454,1.337172980052909,-0.3628270199470909,High
Utah,Pac-12,16,3.3,2.6501574921093454,2.2217536252141996,-1.0782463747858002,High
Arizona,Pac-12,15,2.7,2.6501574921093454,3.8784120793880064,1.1784120793880062,High
Indiana,Big Ten,15,1.9,2.4681331438047853,3.7507332385690595,1.8507332385690596,High
Iowa State,Big 12,15,2.7,2.4505879844475102,2.6386273255570885,-0.06137267444291172,High
Kansas,Big 12,15,2.4,2.4505879844475102,3.081960658890422,0.6819606588904219,High
Kentucky,SEC,15,2.7,2.736456348395011,2.4148948408641724,-0.2851051591358278,High
Louisville,ACC,15,2.9,2.6733097014925375,2.9733215174129355,0.07332151741293558,High
Notre Dame,FBS Independents,15,3.2,2.5529123509966944,2.466456175498347,-0.7335438245016532,High
Oklahoma,Big 12,15,3.3,2.4505879844475102,3.0186273255570892,-0.2813726744429106,High
Oklahoma State,Big 12,15,2.8,2.4505879844475102,2.831960658890422,0.03196065889042199,High
Oregon State,Pac-12,15,3.5,2.6501574921093454,3.1017454127213395,-0.3982545872786605,High
San Diego State,Mountain West,15,1.9,2.7033417328939717,2.592404199780319,0.6924041997803192,High
TCU,Big 12,15,2.2,2.4505879844475102,1.711960658890422,-0.48803934110957825,High
Temple,American Athletic,15,2.9,2.37729004745856,2.122711690395947,-0.777288309604053,High
Texas Tech,Big 12,15,3.2,2.4505879844475102,3.1586273255570885,-0.041372674442911705,High
Air Force,Mountain West,14,3.2,2.7033417328939717,1.4258664135658472,-1.774133586434153,Medium
Auburn,SEC,14,2.6,2.736456348395011,1.7671325939974196,-0.8328674060025805,Medium
BYU,FBS Independents,14,2.1,2.5529123509966944,2.835023629825877,0.7350236298258768,Medium
Cincinnati,American Athletic,14,2.1,2.37729004745856,2.3503224383406347,0.2503224383406346,Medium
Houston,American Athletic,14,1.7,2.37729004745856,2.005494852133738,0.30549485213373795,Medium
LSU,SEC,14,3.9,2.736456348395011,4.156787766411213,0.25678776641121326,Medium
Memphis,American Athletic,14,2.5,2.37729004745856,1.4675638176509795,-1.0324361823490205,Medium
Michigan State,Big Ten,14,2.0,2.4681331438047853,1.166275764036958,-0.8337242359630419,Medium
New Mexico,Mountain West,14,0.9,2.7033417328939717,2.3714526204623985,1.4714526204623986,Medium
Northwestern,Big Ten,14,2.1,2.4681331438047853,3.449034384726613,1.3490343847266129,Medium
Tennessee,SEC,14,2.3,2.736456348395011,2.280925697445695,-0.019074302554304978,Medium
Tulane,American Athletic,14,3.1,2.37729004745856,2.4848051969613243,-0.6151948030386758,Medium
Wyoming,Mountain West,14,3.0,2.7033417328939717,2.6431077928761924,-0.35689220712380765,Medium
Colorado State,Mountain West,13,2.0,2.7033417328939717,3.4597187854789135,1.4597187854789135,Medium
East Carolina,American Athletic,13,1.9,2.37729004745856,0.009262525424228991,-1.890737474575771,Medium
Florida,SEC,13,2.5,2.736456348395011,3.1195301866401848,0.6195301866401848,Medium
Fresno State,Mountain West,13,2.7,2.7033417328939717,1.7875044997646274,-0.9124955002353727,Medium
Navy,American Athletic,13,2.6,2.37729004745856,4.295762525424229,1.6957625254242292,Medium
Nevada,Mountain West,13,2.1,2.7033417328939717,2.4382902140503426,0.33829021405034254,Medium
UCF,American Athletic,13,2.7,2.37729004745856,1.5521196682813716,-1.1478803317186286,Medium
UNLV,Mountain West,13,2.1,2.7033417328939717,2.051790214050342,-0.04820978594965819,Medium
Utah State,Mountain West,13,2.7,2.7033417328939717,3.876790214050342,1.176790214050342,Medium
Wake Forest,ACC,13,3.0,2.6733097014925375,2.8964159115138597,-0.10358408848614031,Medium
Alabama,SEC,12,3.2,2.736456348395011,3.565512786145377,0.36551278614537663,Medium
