conference_shrinkage,team_shrinkage,selection_games,conference_mae,conference_team_mae,generic_2_5_mae,current_site_mae
80,15,436,4.172581702953993,4.117168719653151,4.165825688073395,4.327293577981651
60,15,436,4.172817466343368,4.117491092959614,4.165825688073395,4.327293577981651
40,15,436,4.172901152209076,4.11786411453225,4.165825688073395,4.327293577981651
30,15,436,4.172806930576784,4.118067807189395,4.165825688073395,4.327293577981651
80,20,436,4.172581702953993,4.118107872033423,4.165825688073395,4.327293577981651
20,15,436,4.172523656657602,4.1183949301094325,4.165825688073395,4.327293577981651
15,15,436,4.172263752114223,4.118558895713619,4.165825688073395,4.327293577981651
60,20,436,4.172817466343368,4.118607956432076,4.165825688073395,4.327293577981651
10,15,436,4.171880264118106,4.118710126922405,4.165825688073395,4.327293577981651
5,15,436,4.171368693675179,4.118830912181058,4.165825688073395,4.327293577981651
0,15,436,4.170806299316507,4.118886261393636,4.165825688073395,4.327293577981651
40,20,436,4.172901152209076,4.119214098627506,4.165825688073395,4.327293577981651
30,20,436,4.172806930576784,4.1195593978927105,4.165825688073395,4.327293577981651
20,20,436,4.172523656657602,4.119923364723354,4.165825688073395,4.327293577981651
15,20,436,4.172263752114223,4.1201033412950165,4.165825688073395,4.327293577981651
10,20,436,4.171880264118106,4.1202702986690305,4.165825688073395,4.327293577981651
5,20,436,4.171368693675179,4.120405365584116,4.165825688073395,4.327293577981651
0,20,436,4.170806299316507,4.120471166235412,4.165825688073395,4.327293577981651
80,30,436,4.172581702953993,4.12213861817072,4.165825688073395,4.327293577981651
60,30,436,4.172817466343368,4.122607442394419,4.165825688073395,4.327293577981651
40,30,436,4.172901152209076,4.1231779201381675,4.165825688073395,4.327293577981651
30,30,436,4.172806930576784,4.1235029136157975,4.165825688073395,4.327293577981651
20,30,436,4.172523656657602,4.123843566501061,4.165825688073395,4.327293577981651
15,30,436,4.172263752114223,4.124009908508011,4.165825688073395,4.327293577981651
10,30,436,4.171880264118106,4.124160931921808,4.165825688073395,4.327293577981651
5,30,436,4.171368693675179,4.124276254114084,4.165825688073395,4.327293577981651
0,30,436,4.170806299316507,4.124315561081787,4.165825688073395,4.327293577981651
80,10,436,4.172581702953993,4.124753934770036,4.165825688073395,4.327293577981651
60,10,436,4.172817466343368,4.1249868014418025,4.165825688073395,4.327293577981651
40,10,436,4.172901152209076,4.125243526377936,4.165825688073395,4.327293577981651
0,10,436,4.170806299316507,4.125336532334791,4.165825688073395,4.327293577981651
30,10,436,4.172806930576784,4.125369695419859,4.165825688073395,4.327293577981651
5,10,436,4.171368693675179,4.125464965870841,4.165825688073395,4.327293577981651
20,10,436,4.172523656657602,4.125473766946229,4.165825688073395,4.327293577981651
15,10,436,4.172263752114223,4.125505033141192,4.165825688073395,4.327293577981651
10,10,436,4.171880264118106,4.125508768468278,4.165825688073395,4.327293577981651
80,40,436,4.172581702953993,4.1270854077317765,4.165825688073395,4.327293577981651
60,40,436,4.172817466343368,4.1275556076046565,4.165825688073395,4.327293577981651
40,40,436,4.172901152209076,4.128189267377047,4.165825688073395,4.327293577981651
30,40,436,4.172806930576784,4.128568700909193,4.165825688073395,4.327293577981651
20,40,436,4.172523656657602,4.129006756719705,4.165825688073395,4.327293577981651
