team,team_normalized,historical_conference,current_2026_conference,development_home_games,raw_team_hfa,conference_hfa,shrunk_team_hfa,current_site_hfa,difference_recommended_vs_current,difference_recommended_vs_2_5,holdout_2025_home_games,holdout_current_site_mae,holdout_conference_team_mae,confidence
Illinois,illinois,Big Ten,B1G,19,4.136842105263159,2.4681331438047853,3.4006469752079944,1.5,1.9006469752079944,0.9006469752079944,5,2.46,2.040129395041599,High
Ohio State,ohio st,Big Ten,B1G,19,4.605263157894737,2.4681331438047853,3.6624116810903464,3.0,0.6624116810903464,1.1624116810903464,5,2.66,2.52751766378193,High
USC,usc,Pac-12,B1G,19,3.0274736842105265,2.6501574921093454,2.861010658283535,2.4,0.46101065828353516,0.36101065828353507,5,2.499999999999999,2.5922021316567068,High
Iowa,iowa,Big Ten,B1G,18,-0.22777777777777755,2.4681331438047853,0.9976362774870238,2.4,-1.4023637225129761,-1.5023637225129762,6,2.683333333333333,2.9841212408376596,High
Michigan,michigan,Big Ten,B1G,18,1.4289999999999994,2.4681331438047853,1.901333247183993,2.9,-0.9986667528160069,-0.598666752816007,4,2.3249999999999984,2.3249999999999984,High
Texas,texas,Big 12,SEC,18,0.9277777777777776,2.4505879844475102,1.6199642353549288,3.0,-1.3800357646450712,-0.8800357646450712,6,3.0833333333333344,3.6033571764300465,High
Washington,washington,Pac-12,B1G,18,2.0678888888888896,2.6501574921093454,2.3325564358072786,2.1,0.23255643580727847,-0.16744356419272144,5,1.7200000000000002,1.819533861484367,High
Wisconsin,wisconsin,Big Ten,B1G,18,1.6444444444444446,2.4681331438047853,2.0188483986991446,2.0,0.018848398699144564,-0.48115160130085544,5,6.1000000000000005,6.0811516013008555,High
Arizona State,arizona state,Pac-12,B12,17,2.7836470588235294,2.6501574921093454,2.721073824426256,2.2,0.5210738244262556,0.22107382442625578,5,5.76,5.238926175573745,High
Boise State,boise st,Mountain West,PAC12,17,4.460117647058825,2.7033417328939717,3.6366289372940495,2.8,0.8366289372940496,1.1366289372940495,6,3.0833333333333335,2.9500000000000006,High
Colorado,colorado,Pac-12,B12,17,5.876470588235295,2.6501574921093454,4.364136324426256,2.6,1.7641363244262558,1.8641363244262559,6,2.4,1.4000000000000004,High
