design,model,seasons_tested,games,weighted_mae,weighted_rmse,weighted_mean_error,seasons_beating_generic
leave_one_season_out,generic_2_5,5,2204,3.7487295825771327,5.102068901733878,-0.03765880217785845,0
leave_one_season_out,conference_capped,5,2204,3.754696019333948,5.102872350998473,0.021430264516181,2
leave_one_season_out,conference_uncapped,5,2204,3.756470305227682,5.105077105333667,0.018753964258332197,2
leave_one_season_out,blend_current_25,5,2204,3.7660088190025185,5.115708244388701,-0.00560379889054117,0
leave_one_season_out,blend_current_50,5,2204,3.782384732241823,5.134172100859884,-0.032637862297263405,0
leave_one_season_out,blend_current_75,5,2204,3.8034531683156736,5.158203484664899,-0.05967192570398564,0
leave_one_season_out,current_site,5,2204,3.8285390199637024,5.187725024091951,-0.08670598911070782,0
temporal_prior_seasons_only,generic_2_5,3,1305,4.017164750957854,5.548772257285245,-0.03908045977011494,0
temporal_prior_seasons_only,conference_uncapped,3,1305,4.019501682472601,5.547027790968085,-0.014414621359189523,1
temporal_prior_seasons_only,conference_capped,3,1305,4.019582135524282,5.547321217347297,-0.011951565190878042,1
temporal_prior_seasons_only,blend_current_25,3,1305,4.034196769340329,5.561972489842217,-0.03147325243721977,0
temporal_prior_seasons_only,blend_current_50,3,1305,4.054335404383221,5.581539328782986,-0.050994939683561606,0
temporal_prior_seasons_only,blend_current_75,3,1305,4.078110207717349,5.6059702631569746,-0.0705166269299034,0
temporal_prior_seasons_only,current_site,3,1305,4.105210727969348,5.635202029715422,-0.09003831417624521,0
