checkpoint,season,games_with_market_and_model
CLOSE,2021,642
CLOSE,2022,721
CLOSE,2023,712
CLOSE,2024,714
CLOSE,2025,727
FRI_2PM_ET,2022,685
FRI_2PM_ET,2023,673
FRI_2PM_ET,2024,697
FRI_2PM_ET,2025,708
MON_3PM_ET,2021,641
MON_3PM_ET,2022,721
MON_3PM_ET,2023,711
MON_3PM_ET,2024,714
MON_3PM_ET,2025,727
MON_9AM_ET,2021,641
MON_9AM_ET,2022,721
MON_9AM_ET,2023,711
MON_9AM_ET,2024,714
MON_9AM_ET,2025,726
SAT_11PM_ET,2021,49
SAT_11PM_ET,2022,59
SAT_11PM_ET,2023,67
SAT_11PM_ET,2024,133
SAT_11PM_ET,2025,158
SUN_12PM_ET,2021,84
SUN_12PM_ET,2022,103
SUN_12PM_ET,2023,140
SUN_12PM_ET,2024,508
SUN_12PM_ET,2025,518
SUN_2PM_ET,2021,52
SUN_2PM_ET,2022,145
SUN_2PM_ET,2023,393
SUN_2PM_ET,2024,709
SUN_2PM_ET,2025,723
SUN_4PM_ET,2021,523
SUN_4PM_ET,2022,658
SUN_4PM_ET,2023,648
SUN_4PM_ET,2024,713
SUN_4PM_ET,2025,726
SUN_9AM_ET,2021,37
SUN_9AM_ET,2022,57
SUN_9AM_ET,2023,103
SUN_9AM_ET,2024,491
SUN_9AM_ET,2025,501
SUN_9PM_ET,2021,641
SUN_9PM_ET,2022,721
SUN_9PM_ET,2023,712
SUN_9PM_ET,2024,713
SUN_9PM_ET,2025,726
THU_2PM_ET,2021,624
THU_2PM_ET,2022,701
THU_2PM_ET,2023,686
THU_2PM_ET,2024,708
THU_2PM_ET,2025,714
TUE_2PM_ET,2021,641
TUE_2PM_ET,2022,721
TUE_2PM_ET,2023,711
TUE_2PM_ET,2024,714
TUE_2PM_ET,2025,727
WED_2PM_ET,2021,629
WED_2PM_ET,2022,712
WED_2PM_ET,2023,696
WED_2PM_ET,2024,702
WED_2PM_ET,2025,715
