model_id,develop_seasons,test_season,checkpoint,edge_threshold,test_n,test_mae,test_rmse,test_bias,test_bet_n,test_bet_record,test_bet_win_pct,test_bet_roi,test_bet_avg_clv,test_bet_median_clv,test_bet_positive_clv_pct,test_bet_beat_close_pct,test_bet_won_line_move_pct
total_sp40_massey60_v1,2021-2023,2024,SUN_9AM_ET,2,749,12.819775280898877,16.29548962205407,0.11691011235955097,281,150-131-0,0.5338078291814946,0.019087673891944344,0.41637010676156583,0.0,0.4483985765124555,0.4483985765124555,0.5361702127659574
total_sp40_massey60_v1,2021-2023,2024,SUN_9AM_ET,3,749,12.819775280898877,16.29548962205407,0.11691011235955097,188,107-81-0,0.5691489361702128,0.08655705996131528,0.43351063829787234,0.0,0.44148936170212766,0.44148936170212766,0.5123456790123457
total_sp40_massey60_v1,2021-2023,2024,SUN_9AM_ET,4,749,12.819775280898877,16.29548962205407,0.11691011235955097,118,68-50-0,0.576271186440678,0.10015408320493065,0.4491525423728814,0.0,0.4322033898305085,0.4322033898305085,0.504950495049505
total_sp40_massey60_v1,2021-2023,2024,SUN_9AM_ET,5,749,12.819775280898877,16.29548962205407,0.11691011235955097,69,42-27-0,0.6086956521739131,0.16205533596837943,0.5217391304347826,0.0,0.4782608695652174,0.4782608695652174,0.532258064516129
total_sp40_massey60_v1,2021-2024,2025,SUN_9AM_ET,2,762,12.67963585434174,15.610369829651294,1.4064145658263307,265,132-133-0,0.4981132075471698,-0.049056603773584895,0.49433962264150944,0.0,0.4490566037735849,0.4490566037735849,0.5862068965517241
total_sp40_massey60_v1,2021-2024,2025,SUN_9AM_ET,3,762,12.67963585434174,15.610369829651294,1.4064145658263307,177,87-90-0,0.4915254237288136,-0.06163328197226501,0.7372881355932204,0.0,0.4745762711864407,0.4745762711864407,0.6268656716417911
total_sp40_massey60_v1,2021-2024,2025,SUN_9AM_ET,4,762,12.67963585434174,15.610369829651294,1.4064145658263307,96,51-45-0,0.53125,0.01420454545454545,0.7447916666666666,0.0,0.4895833333333333,0.4895833333333333,0.6351351351351351
total_sp40_massey60_v1,2021-2024,2025,SUN_9AM_ET,5,762,12.67963585434174,15.610369829651294,1.4064145658263307,57,30-27-0,0.5263157894736842,0.0047846889952153065,0.8508771929824561,1.0,0.5263157894736842,0.5263157894736842,0.6976744186046512
total_sp45_massey55_v1,2021-2023,2024,SUN_9AM_ET,2,749,12.833567415730338,16.301524703905784,0.12344803370786794,283,153-130-0,0.5406360424028268,0.03212335367812399,0.41519434628975266,0.0,0.44876325088339225,0.44876325088339225,0.5358649789029536
total_sp45_massey55_v1,2021-2023,2024,SUN_9AM_ET,3,749,12.833567415730338,16.301524703905784,0.12344803370786794,189,106-83-0,0.5608465608465608,0.07070707070707069,0.3994708994708995,0.0,0.42857142857142855,0.42857142857142855,0.5031055900621118
total_sp45_massey55_v1,2021-2023,2024,SUN_9AM_ET,4,749,12.833567415730338,16.301524703905784,0.12344803370786794,121,70-51-0,0.5785123966942148,0.1044327573253193,0.359504132231405,0.0,0.4132231404958678,0.4132231404958678,0.4807692307692308
total_sp45_massey55_v1,2021-2023,2024,SUN_9AM_ET,5,749,12.833567415730338,16.301524703905784,0.12344803370786794,67,42-25-0,0.6268656716417911,0.19674355495251014,0.5074626865671642,0.0,0.4626865671641791,0.4626865671641791,0.5166666666666667
