model_id,threshold,week_scope,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
total_sp50_massey50_v1,0.5,W0-2,442,231-208-3,231,208,3,0.5261958997722096,0.0045248868778280625,0.40497737556561086,0.0,0.4683257918552036,0.4683257918552036,0.5948275862068966,,12.97143665158371,16.37405963415044,1.2552601809954753,3.570192307692308,3.0124999999999993
total_sp50_massey50_v1,0.5,W0-4,973,508-458-7,508,458,7,0.525879917184265,0.003924133420536298,0.34172661870503596,0.0,0.4563206577595067,0.4563206577595067,0.5714285714285714,,12.865853031860224,16.233303522159275,0.2734583761562178,3.494475847893114,2.950000000000003
total_sp50_massey50_v1,0.5,W5+,2568,1332-1230-6,1332,1230,6,0.5199063231850117,-0.007434154630416308,0.26713395638629284,0.0,0.43730529595015577,0.43730529595015577,0.5589845694375312,,12.787801791277257,16.06997952304563,0.4980821651090342,3.2220891744548283,2.674999999999997
total_sp50_massey50_v1,1.0,W0-2,427,221-204-2,221,204,2,0.52,-0.007238662976367884,0.43676814988290397,0.0,0.4637002341920375,0.4637002341920375,0.6036585365853658,,13.115456674473071,16.511030661029654,1.3071428571428574,3.763700234192038,3.1499999999999986
total_sp50_massey50_v1,1.0,W0-4,937,492-439-6,492,439,6,0.5284640171858217,0.00882895119821481,0.3655282817502668,0.0,0.4503735325506937,0.4503735325506937,0.5780821917808219,,12.851787620064034,16.204765565343674,0.32692102454642474,3.693409818569904,3.125
total_sp50_massey50_v1,1.0,W5+,2450,1270-1171-9,1270,1171,9,0.5202785743547726,-0.006716141001855281,0.27591836734693875,0.0,0.42122448979591837,0.42122448979591837,0.5667215815485996,,12.826969387755101,16.115259176207083,0.551357142857143,3.479071428571429,2.924999999999997
total_sp50_massey50_v1,1.5,W0-2,401,209-190-2,209,190,2,0.5238095238095238,0.0,0.3653366583541147,0.0,0.428927680798005,0.428927680798005,0.5910652920962199,,13.177805486284287,16.67910341260522,1.2279301745635913,4.012219451371571,3.375
total_sp50_massey50_v1,1.5,W0-4,878,465-404-9,465,404,9,0.5350978135788262,0.021329467798716095,0.34054669703872437,0.0,0.42255125284738043,0.42255125284738043,0.5725308641975309,,12.875626423690203,16.265188101081204,0.22033029612756264,3.9703872437357632,3.325000000000003
total_sp50_massey50_v1,1.5,W5+,2266,1186-1074-6,1186,1074,6,0.5247787610619469,0.001845462569204848,0.3053839364518976,0.0,0.4086496028243601,0.4086496028243601,0.5723114956736712,,12.742453662842012,16.010619493393257,0.585216240070609,3.808804060017652,3.2250000000000014
total_sp50_massey50_v1,2.0,W0-2,359,196-161-2,196,161,2,0.5490196078431373,0.04786021777665232,0.4178272980501393,0.0,0.42896935933147634,0.42896935933147634,0.6111111111111112,,12.985793871866298,16.603434868812446,1.4682451253481892,4.419359331476323,3.7749999999999986
total_sp50_massey50_v1,2.0,W0-4,795,431-355-9,431,355,9,0.5483460559796438,0.046312178387650095,0.379874213836478,0.0,0.4138364779874214,0.4138364779874214,0.5823008849557522,,12.91553459119497,16.361938114658805,0.31641509433962267,4.35062893081761,3.75
total_sp50_massey50_v1,2.0,W5+,2044,1061-978-5,1061,978,5,0.5203531142717018,-0.006582458637253155,0.32142857142857145,0.0,0.39823874755381605,0.39823874755381605,0.5785358919687278,,12.77957436399217,16.055701872615508,0.7158023483365948,4.155748532289628,3.625
total_sp50_massey50_v1,2.5,W0-2,329,177-150-2,177,150,2,0.5412844036697247,0.03315833103067145,0.4513677811550152,0.0,0.4376899696048632,0.4376899696048632,0.6233766233766234,,12.760714285714284,16.33206115297635,1.2169452887537997,4.713601823708207,4.125
total_sp50_massey50_v1,2.5,W0-4,714,390-316-8,390,316,8,0.5524079320113314,0.05398523045581869,0.3739495798319328,0.0,0.40896358543417366,0.40896358543417366,0.5898989898989899,,12.861834733893557,16.316040444001974,0.17913165266106434,4.692927170868347,4.174999999999997
total_sp50_massey50_v1,2.5,W5+,1794,932-858-4,932,858,4,0.5206703910614525,-0.005979527718658146,0.3430880713489409,0.0,0.39464882943143814,0.39464882943143814,0.5808039376538146,,12.878191192865104,16.135703703779548,0.9248188405797104,4.534071906354515,4.0
total_sp50_massey50_v1,3.0,W0-2,287,157-127-3,157,127,3,0.5528169014084507,0.05479885967690846,0.4686411149825784,0.0,0.4250871080139373,0.4250871080139373,0.6321243523316062,,12.758275261324043,16.31452006328934,1.078135888501742,5.097648083623693,4.575000000000003
total_sp50_massey50_v1,3.0,W0-4,617,345-264-8,345,264,8,0.5665024630541872,0.08044791513186975,0.35089141004862234,0.0,0.39384116693679094,0.39384116693679094,0.5841346153846154,,12.896961102106967,16.395037105590188,0.05879254457050228,5.105632090761751,4.625
