game_id,season,week,start_date,away_team,home_team,opening_total,closing_total,actual_total,normalized_away,normalized_home
401281947,2021,1,2021-09-04T16:00:00.000Z,UL Monroe,Kentucky,,54.0,55.0,louisiana monroe,kentucky
401287896,2021,2,2021-09-10T23:30:00.000Z,Kansas,Coastal Carolina,,52.0,71.0,kansas,coastal carolina
401282191,2021,2,2021-09-11T01:30:00.000Z,UTEP,Boise State,,56.5,67.0,utep,boise state
401282624,2021,2,2021-09-11T15:00:00.000Z,Illinois,Virginia,,56.5,56.0,illinois,virginia
401282193,2021,2,2021-09-11T15:30:00.000Z,Western Kentucky,Army,,52.0,73.0,western kentucky,army
401282065,2021,2,2021-09-11T16:00:00.000Z,South Carolina,East Carolina,,56.5,37.0,south carolina,east carolina
401282066,2021,2,2021-09-11T16:00:00.000Z,Pittsburgh,Tennessee,,56.0,75.0,pittsburgh,tennessee
401282790,2021,2,2021-09-11T16:00:00.000Z,Miami (OH),Minnesota,,55.0,57.0,miami ohio,minnesota
401282809,2021,2,2021-09-11T16:00:00.000Z,Oregon,Ohio State,,65.0,63.0,oregon,ohio state
401287899,2021,2,2021-09-11T16:00:00.000Z,Tulsa,Oklahoma State,,51.0,51.0,tulsa,oklahoma state
401282059,2021,2,2021-09-11T17:00:00.000Z,Florida,South Florida,,57.5,62.0,florida,south florida
401309547,2021,2,2021-09-11T17:30:00.000Z,Wyoming,Northern Illinois,,44.5,93.0,wyoming,northern illinois
401282186,2021,2,2021-09-11T18:00:00.000Z,Middle Tennessee,Virginia Tech,,54.5,49.0,middle tennessee,virginia tech
401282622,2021,2,2021-09-11T18:00:00.000Z,Rutgers,Syracuse,,51.0,24.0,rutgers,syracuse
401282705,2021,2,2021-09-11T18:30:00.000Z,Toledo,Notre Dame,,55.5,61.0,toledo,notre dame
401282820,2021,2,2021-09-11T19:00:00.000Z,Purdue,UConn,,57.5,49.0,purdue,uconn
401282060,2021,2,2021-09-11T19:30:00.000Z,UAB,Georgia,,44.0,63.0,uab,georgia
401282067,2021,2,2021-09-11T19:30:00.000Z,Texas A&M,Colorado,,50.0,17.0,texas a and m,colorado
401282183,2021,2,2021-09-11T19:30:00.000Z,Georgia Southern,Florida Atlantic,,48.5,44.0,georgia southern,florida atlantic
401282623,2021,2,2021-09-11T19:30:00.000Z,Boston College,Massachusetts,,57.0,73.0,boston college,umass
401282797,2021,2,2021-09-11T19:30:00.000Z,Buffalo,Nebraska,,54.5,31.0,buffalo,nebraska
401282816,2021,2,2021-09-11T19:30:00.000Z,Ball State,Penn State,,58.0,57.0,ball state,penn state
401287900,2021,2,2021-09-11T19:30:00.000Z,California,TCU,,46.5,66.0,california,tcu
401300999,2021,2,2021-09-11T19:30:00.000Z,Temple,Akron,,51.5,69.0,temple,akron
