lookback_weeks,half_life_weeks,ridge_alpha,n,mae,rmse,direction_accuracy,correlation
99,8.0,1.0,667,4.90595241589055,6.5485252504497895,0.848575712143928,0.8708445412241115
8,8.0,1.0,667,4.950854231181108,6.65101818629035,0.8470764617691154,0.8670946455211688
99,4.0,1.0,667,4.988108689405155,6.671832696886106,0.8500749625187406,0.8720948594483527
6,8.0,1.0,667,4.994606738196691,6.777291811441129,0.8395802098950524,0.8635212358478219
8,4.0,1.0,667,5.044804607873894,6.780707052997652,0.8455772113943029,0.8669804466906961
6,4.0,1.0,667,5.103755499402165,6.905940787154386,0.8380809595202399,0.8626679610854537
4,8.0,1.0,667,5.304040733879894,7.121027920445419,0.8350824587706147,0.8504976602356894
99,2.0,1.0,667,5.312898735056313,7.105209345282698,0.8455772113943029,0.8628461220556571
8,2.0,1.0,667,5.34316722431401,7.15933060819958,0.8395802098950524,0.8595991035353503
6,2.0,1.0,667,5.400359033563291,7.25099070984897,0.8380809595202399,0.8553475395029966
4,4.0,1.0,667,5.404303996020122,7.248908972019246,0.8335832083958021,0.8478778495158968
4,2.0,1.0,667,5.646984765040615,7.544315826591332,0.8335832083958021,0.8393770818279392
99,8.0,5.0,667,6.630107814169475,8.823850618330388,0.8350824587706147,0.8282801547181261
8,8.0,5.0,667,6.7153504170867,8.956039979994355,0.8260869565217391,0.8277781482075305
6,8.0,5.0,667,6.8930040898868015,9.156638807355527,0.8140929535232384,0.8261009450537375
99,4.0,5.0,667,6.915619433201584,9.172380494496684,0.823088455772114,0.8315750858578502
8,4.0,5.0,667,6.979525809260515,9.2622262813138,0.8140929535232384,0.8290313474583267
6,4.0,5.0,667,7.120056020525631,9.415022391060354,0.8050974512743628,0.8248891683159586
4,8.0,5.0,667,7.279465398289077,9.599423280955063,0.7961019490254873,0.8068687230402265
99,2.0,5.0,667,7.413588679448127,9.772454217480915,0.7946026986506747,0.8203015074597122
4,4.0,5.0,667,7.420946817855371,9.773247760131124,0.7871064467766117,0.8041837594642116
8,2.0,5.0,667,7.4346421351308445,9.80206836115396,0.7931034482758621,0.8180121961074777
6,2.0,5.0,667,7.500383899491019,9.874887037108099,0.7916041979010495,0.8128731853508787
99,8.0,10.0,667,7.545083556794022,10.001560190183607,0.7946026986506747,0.8081149604879605
8,8.0,10.0,667,7.633691791006898,10.125046914409435,0.7901049475262368,0.810761083827658
4,2.0,5.0,667,7.673318219607137,10.089750268970597,0.7781109445277361,0.7929616769988551
6,8.0,10.0,667,7.795827153635457,10.30625404353095,0.782608695652174,0.8101822716630587
99,4.0,10.0,667,7.811572172001512,10.333032692028146,0.767616191904048,0.8153141858054566
8,4.0,10.0,667,7.868012162451143,10.406608157073482,0.7736131934032984,0.8140519382230842
6,4.0,10.0,667,7.975506722429778,10.530837798973737,0.7586206896551724,0.8101373302627358
4,8.0,10.0,667,8.087584883552442,10.660971833058293,0.7436281859070465,0.7912819852621805
4,4.0,10.0,667,8.195831856703544,10.80039699021145,0.7271364317841079,0.7893192028669993
99,2.0,10.0,667,8.203334511529103,10.81859330396479,0.7301349325337332,0.8058576051993287
8,2.0,10.0,667,8.219121204865237,10.839221631657292,0.7286356821589205,0.8037667102008498
6,2.0,10.0,667,8.262852689411753,10.890287795223397,0.719640179910045,0.7985207026844038
99,8.0,20.0,667,8.308526620487395,10.984188498072879,0.7136431784107946,0.7921931267725951
8,8.0,20.0,667,8.379691795121497,11.080574158232759,0.7076461769115442,0.7975964379402549
4,2.0,10.0,667,8.380835442225775,11.03698207929868,0.7001499250374813,0.7784875635822848
6,8.0,20.0,667,8.488704559774414,11.21363904061513,0.6866566716641679,0.7981460992822215
99,4.0,20.0,667,8.509314052502111,11.236855203859275,0.679160419790105,0.8032951258386877
8,4.0,20.0,667,8.548463874629917,11.288431180255962,0.6761619190404797,0.8029991650160901
6,4.0,20.0,667,8.61696218556744,11.372986681832119,0.656671664167916,0.79943770893472
4,8.0,20.0,667,8.689133545694908,11.453895524483201,0.6446776611694153,0.7803323071665281
4,4.0,20.0,667,8.763048206686767,11.54759398602757,0.6401799100449775,0.7791092659516189
99,2.0,20.0,667,8.771932722711718,11.565879175032157,0.6326836581709145,0.7959648331637277
8,2.0,20.0,667,8.781830602178756,11.578698758660884,0.631184407796102,0.7940145966153207
6,2.0,20.0,667,8.80653485150849,11.610189539600475,0.6281859070464768,0.7887907582863778
4,2.0,20.0,667,8.881717148700131,11.69923490650231,0.6251874062968515,0.768957017481035
