season,week,game_id,team,opponent,team_margin,team_closing_spread,team_ats_margin,abs_team_closing_spread,market_innovation,next_week,target_next_market_innovation,weeks_to_next_game,off_success_rate,off_ppa,off_explosiveness,off_rush_success_rate,off_pass_success_rate,off_neutral_pass_rate,off_qb_run_share,def_success_allowed,def_ppa_allowed,def_explosiveness_allowed,def_havoc_rate,off_drive_elapsed_seconds_per_play,off_plays
2021,2,401301004,Air Force,Navy,20,-6.0,14.0,6.0,7.95,3.0,4.246969696969697,1.0,0.2898550724637681,-0.045604294705103,1.3909247083907412,0.293103448275862,0.2727272727272727,0.1886792452830188,0.2241379310344827,0.2093023255813953,-0.2316381583744296,0.5695405191428565,0.2954545454545454,,69
2021,3,401310704,Air Force,Utah State,-4,-9.0,-13.0,9.0,4.246969696969697,4.0,-1.7758234998716347,1.0,0.4266666666666667,0.4211560760535588,1.866309269961422,0.4193548387096774,0.4615384615384615,0.1551724137931034,0.1935483870967742,0.4382022471910112,0.4392526079853402,1.7572029599881125,0.0561797752808988,26.789473684210527,75
2021,4,401282207,Air Force,Florida Atlantic,24,-3.5,20.5,3.5,-1.7758234998716347,5.0,12.460325089632402,1.0,0.5517241379310345,0.5494029145846058,1.2778738847083937,0.5660377358490566,0.4,0.0454545454545454,0.3018867924528302,0.4054054054054054,0.1244502963984826,1.175724426198438,0.25,29.578125,58
2021,5,401310710,Air Force,New Mexico,28,-11.5,16.5,11.5,12.460325089632402,6.0,4.0346981073078405,1.0,0.559322033898305,0.2789947692012114,0.9147484739295164,0.5614035087719298,0.5,0.0,0.1052631578947368,0.3157894736842105,0.0493016364964047,1.080901021765098,0.1707317073170731,32.21212121212121,59
2021,6,401310714,Air Force,Wyoming,10,-5.5,4.5,5.5,4.0346981073078405,7.0,-0.12270034475720859,1.0,0.4166666666666667,0.1542774685277872,1.1080848936976724,0.3770491803278688,0.6363636363636364,0.1020408163265306,0.1639344262295081,0.3333333333333333,0.1328880682022012,1.567230108815681,0.2962962962962963,31.0,72
2021,7,401310718,Air Force,Boise State,7,3.0,10.0,3.0,-0.12270034475720859,8.0,-0.16329471266043694,1.0,0.4545454545454545,0.2749942187395047,1.0614896415224797,0.4915254237288136,0.1428571428571428,0.1176470588235294,0.3050847457627119,0.4754098360655737,0.2007466773315575,1.1715163305352152,0.0983606557377049,31.685714285714287,66
2021,8,401310724,Air Force,San Diego State,-6,-3.0,-9.0,3.0,-0.16329471266043694,10.0,-1.320415798743877,2.0,0.365079365079365,0.0280143989403767,0.920346105208166,0.4042553191489361,0.25,0.2068965517241379,0.3191489361702128,0.4901960784313725,0.1929257539958149,0.8416049449153714,0.0784313725490196,27.38095238095238,63
2021,10,401310253,Air Force,Army,-7,-2.5,-9.5,2.5,-1.320415798743877,11.0,5.84630746747343,1.0,0.4923076923076923,0.1292638270322127,1.0834808902450792,0.4444444444444444,0.6,0.15,0.3333333333333333,0.36,0.1345800585329756,1.4418892005963495,0.1851851851851851,27.235294117647054,65
2021,11,401310741,Air Force,Colorado State,14,-3.0,11.0,3.0,5.84630746747343,12.0,7.047748588045598,1.0,0.48,0.4303571209958331,1.3844738290167775,0.5,0.3636363636363636,0.1666666666666666,0.109375,0.4107142857142857,0.152027458249931,1.2393571901858835,0.1428571428571428,29.31645569620253,75
2021,12,401310747,Air Force,Nevada,2,-1.5,0.5,1.5,7.047748588045598,13.0,10.55217589834383,1.0,0.5324675324675324,0.2494663010023604,1.0062850040965827,0.5555555555555556,0.2,0.0655737704918032,0.0694444444444444,0.4285714285714285,0.2581105066769927,1.3916895209223126,0.2539682539682539,28.582278481012654,77
2021,1,401281944,Akron,Auburn,-50,37.0,-13.0,37.0,-34.5,2.0,-6.7,1.0,0.4761904761904761,0.158487121563274,0.8965205239787691,0.35,0.5909090909090909,0.5,0.4,0.7692307692307693,0.8834156151610884,1.2352080101356906,0.032258064516129,31.29032258064516,42
2021,2,401300999,Akron,Temple,-21,6.5,-14.5,6.5,-6.7,4.0,-37.32409248551644,2.0,0.4133333333333333,0.0722333064833672,1.2925610092749709,0.4651162790697674,0.34375,0.4,0.4186046511627907,0.5,0.2522536493468206,1.165888501085873,0.0806451612903225,25.051724137931036,75
2021,4,401282811,Akron,Ohio State,-52,48.5,-3.5,48.5,-37.32409248551644,5.0,-7.111663675447894,1.0,0.3243243243243243,-0.3564115663389844,0.8914119034923057,0.3333333333333333,0.3157894736842105,0.56,0.4444444444444444,0.7096774193548387,0.7102290840877508,1.3816683878282516,0.081967213114754,32.11764705882353,37
2021,5,401309560,Akron,Ohio,-17,9.5,-7.5,9.5,-7.111663675447894,6.0,-11.55819172545468,1.0,0.5806451612903226,0.1324897873548274,0.9522966937782232,0.5806451612903226,0.5806451612903226,0.4565217391304347,0.4193548387096774,0.527027027027027,0.3044956671946837,1.1347221233493494,0.054054054054054,,62
2021,6,401309566,Akron,Bowling Green,15,14.0,29.0,14.0,-11.55819172545468,7.0,-11.245229987311491,1.0,0.5087719298245614,0.3743482102980396,1.4323842496716102,0.40625,0.64,0.5,0.0,0.46875,0.0363416206372077,1.0710026145319271,0.1515151515151515,27.339285714285715,57
2021,7,401308837,Akron,Miami (OH),-13,20.0,7.0,20.0,-11.245229987311491,8.0,-9.888190427800577,1.0,0.4629629629629629,0.1663366320661484,1.2054307258324135,0.4,0.5,0.5666666666666667,0.2,0.5689655172413793,0.5307889295749258,1.391580420332058,0.0615384615384615,30.153846153846153,54
2021,8,401309575,Akron,Buffalo,-35,13.5,-21.5,13.5,-9.888190427800577,10.0,-16.349598702629834,2.0,0.3863636363636363,0.1112445133076456,1.6951182244068566,0.5454545454545454,0.2272727272727272,0.5,0.4545454545454545,0.5849056603773585,0.4070831916906175,1.0755680664020446,0.0833333333333333,,44
2021,10,401309579,Akron,Ball State,-6,20.0,14.0,20.0,-16.349598702629834,11.0,-12.60267115953887,1.0,0.546875,0.2944162484600103,1.1709938836449758,0.4642857142857143,0.6111111111111112,0.5142857142857142,0.1034482758620689,0.4615384615384615,0.2830425784095193,1.404953998168808,0.123076923076923,,66
2021,11,401309584,Akron,Western Michigan,-5,24.5,19.5,24.5,-12.60267115953887,12.0,-8.775742658015274,1.0,0.4788732394366197,0.2499050660405595,1.2262521209527166,0.3846153846153846,0.5333333333333333,0.5833333333333334,0.2692307692307692,0.6031746031746031,0.4633842929419273,1.2766199967252183,0.0317460317460317,25.573333333333338,71
2021,12,401309592,Akron,Kent State,-38,13.5,-24.5,13.5,-8.775742658015274,13.0,-17.183016436777947,1.0,0.4444444444444444,-0.1686143484555312,0.9268053031135346,0.4615384615384615,0.4285714285714285,0.5294117647058824,0.0,0.5365853658536586,0.5935692871260168,1.480968021095139,0.0555555555555555,26.03448275862069,28
2021,1,401281942,Alabama,Miami,31,-19.5,11.5,19.5,22.0,3.0,18.885033738229435,2.0,0.5111111111111111,0.3754409028668554,1.2616792013414575,0.5294117647058824,0.5,0.6153846153846154,0.0588235294117647,0.4761904761904761,0.0012023242271699,0.869267036011423,0.2222222222222222,26.833333333333332,45
2021,3,401282071,Alabama,Florida,2,-14.0,-12.0,14.0,18.885033738229435,4.0,37.32775408586108,1.0,0.492063492063492,0.1969423214254957,1.0602585485580551,0.4230769230769231,0.5405405405405406,0.6578947368421053,0.0769230769230769,0.4929577464788732,0.2807007712363139,1.2174769545208026,0.1690140845070422,26.40625,63
2021,4,401282081,Alabama,Southern Miss,49,-45.0,4.0,45.0,37.32775408586108,5.0,6.521011983544405,1.0,0.59375,0.9116234602110872,1.9622275687554207,0.5882352941176471,0.6,0.5384615384615384,0.0,0.2592592592592592,0.004151919917337,1.9420237326674037,0.1403508771929824,26.59375,32
2021,5,401282089,Alabama,Ole Miss,21,-15.0,6.0,15.0,6.521011983544405,6.0,19.29822252619858,1.0,0.4745762711864407,0.2747726572889198,1.1810447685940595,0.4324324324324324,0.5454545454545454,0.4117647058823529,0.054054054054054,0.4615384615384615,0.0262822708920508,0.8781317400856369,0.1428571428571428,29.602941176470587,59
