season,team,raw_team,overall_returning_production,offense_returning_production,defense_returning_production,overall_rank,offense_rank,defense_rank,source
2021,Air Force,Air Force,54.0,59.0,49.0,115,91,116,manual_table
2021,Akron,Akron,79.0,85.0,73.0,31,19,58,manual_table
2021,Alabama,Alabama,55.0,33.0,77.0,110,126,41,manual_table
2021,Appalachian State,App. St.,78.0,67.0,88.0,40,76,7,manual_table
2021,Arizona,Arizona,76.0,75.0,77.0,46,54,40,manual_table
2021,Arizona State,Arizona St.,84.0,86.0,82.0,11,15,21,manual_table
2021,Arkansas,Arkansas,78.0,70.0,85.0,39,67,15,manual_table
2021,Arkansas State,Arkansas St.,61.0,48.0,75.0,94,114,50,manual_table
2021,Army,Army,77.0,79.0,76.0,42,42,46,manual_table
2021,Auburn,Auburn,73.0,73.0,72.0,54,60,62,manual_table
2021,BYU,BYU,31.0,47.0,16.0,127,117,127,manual_table
2021,Ball State,Ball St.,78.0,80.0,76.0,36,36,47,manual_table
2021,Baylor,Baylor,72.0,59.0,85.0,59,90,14,manual_table
2021,Boise State,Boise St.,59.0,75.0,42.0,102,49,122,manual_table
2021,Boston College,Boston Coll.,75.0,84.0,66.0,47,22,79,manual_table
2021,Bowling Green,BGSU,69.0,59.0,78.0,68,88,38,manual_table
2021,Buffalo,Buffalo,54.0,52.0,56.0,116,108,105,manual_table
2021,California,California,81.0,75.0,87.0,20,52,11,manual_table
2021,Central Michigan,CMU,81.0,84.0,79.0,17,23,35,manual_table
2021,Charlotte,Charlotte,56.0,66.0,46.0,106,77,117,manual_table
2021,Cincinnati,Cincinnati,77.0,82.0,73.0,41,31,60,manual_table
2021,Clemson,Clemson,69.0,46.0,92.0,65,118,3,manual_table
2021,Coastal Carolina,Coastal Caro.,81.0,70.0,91.0,21,66,4,manual_table
2021,Colorado,Colorado,83.0,86.0,81.0,12,16,27,manual_table
2021,Colorado State,Colorado St.,62.0,60.0,64.0,88,86,83,manual_table
2021,Duke,Duke,56.0,51.0,62.0,104,110,92,manual_table
2021,East Carolina,ECU,75.0,71.0,78.0,48,65,37,manual_table
2021,Eastern Michigan,EMU,71.0,78.0,64.0,61,45,85,manual_table
2021,FIU,FIU,56.0,48.0,64.0,107,115,88,manual_table
2021,Florida,Florida,55.0,41.0,70.0,108,125,67,manual_table
2021,Florida Atlantic,FAU,64.0,76.0,51.0,83,48,111,manual_table
2021,Florida State,Florida St.,73.0,84.0,62.0,53,25,90,manual_table
2021,Fresno State,Fresno St.,76.0,74.0,78.0,45,56,39,manual_table
2021,Georgia,Georgia,62.0,84.0,39.0,92,20,126,manual_table
2021,Georgia Southern,Ga. Southern,51.0,46.0,56.0,119,119,103,manual_table
