case,role,matchup_class,season,games,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_pct,seasons
def_vs_off_gap,Favorite,Independent FBS vs Unknown,2023,1.0,0.0,1.0,0.0,0.0,-10.75,0.0,,,,1.0
def_vs_off_gap,Favorite,Independent FBS vs Unknown,2025,2.0,1.0,1.0,0.0,0.5,-2.083333333333333,2.0,-0.75,-0.75,0.5,1.0
def_vs_off_gap,Favorite,Unknown vs Independent FBS,2023,1.0,0.0,1.0,0.0,0.0,-0.1666666666666665,0.0,,,,1.0
def_vs_off_gap,Favorite,Unknown vs Unknown,2023,49.0,28.0,21.0,0.0,0.5714285714285714,0.11972789115646273,0.0,,,,1.0
def_vs_off_gap,Favorite,Unknown vs Unknown,2024,45.0,20.0,25.0,0.0,0.4444444444444444,-3.748148148148147,37.0,-0.14864864864864866,0.0,0.2972972972972973,1.0
def_vs_off_gap,Favorite,Unknown vs Unknown,2025,46.0,19.0,27.0,0.0,0.41304347826086957,-3.217391304347826,46.0,0.2608695652173913,0.0,0.43478260869565216,1.0
def_vs_off_gap,Underdog,Independent FBS vs Unknown,2023,1.0,1.0,0.0,0.0,1.0,0.1666666666666665,0.0,,,,1.0
def_vs_off_gap,Underdog,Independent FBS vs Unknown,2024,1.0,0.0,1.0,0.0,0.0,-23.666666666666668,0.0,,,,1.0
def_vs_off_gap,Underdog,Unknown vs Independent FBS,2023,1.0,1.0,0.0,0.0,1.0,10.75,0.0,,,,1.0
def_vs_off_gap,Underdog,Unknown vs Independent FBS,2025,1.0,1.0,0.0,0.0,1.0,7.833333333333333,1.0,0.0,0.0,0.0,1.0
def_vs_off_gap,Underdog,Unknown vs Unknown,2023,28.0,14.0,14.0,0.0,0.5,-0.32440476190476125,0.0,,,,1.0
def_vs_off_gap,Underdog,Unknown vs Unknown,2024,24.0,8.0,16.0,0.0,0.3333333333333333,-3.4652777777777772,17.0,-0.20588235294117646,0.0,0.4117647058823529,1.0
def_vs_off_gap,Underdog,Unknown vs Unknown,2025,37.0,16.0,20.0,1.0,0.4444444444444444,-0.9076576576576574,36.0,0.041666666666666664,0.0,0.4722222222222222,1.0
off_vs_def_gap,Favorite,Independent FBS vs Unknown,2024,1.0,1.0,0.0,0.0,1.0,50.333333333333336,1.0,-3.5,-3.5,0.0,1.0
off_vs_def_gap,Favorite,Independent FBS vs Unknown,2025,1.0,1.0,0.0,0.0,1.0,1.5,1.0,-2.0,-2.0,0.0,1.0
off_vs_def_gap,Favorite,Unknown vs Independent FBS,2023,1.0,1.0,0.0,0.0,1.0,11.833333333333332,0.0,,,,1.0
off_vs_def_gap,Favorite,Unknown vs Independent FBS,2024,1.0,0.0,1.0,0.0,0.0,-12.666666666666666,0.0,,,,1.0
off_vs_def_gap,Favorite,Unknown vs Unknown,2023,66.0,40.0,25.0,1.0,0.6153846153846154,2.4952020202020204,1.0,0.5,0.5,1.0,1.0
off_vs_def_gap,Favorite,Unknown vs Unknown,2024,54.0,29.0,25.0,0.0,0.5370370370370371,-0.39351851851851855,44.0,-0.45454545454545453,0.0,0.2727272727272727,1.0
off_vs_def_gap,Favorite,Unknown vs Unknown,2025,59.0,31.0,28.0,0.0,0.5254237288135594,0.8121468926553673,59.0,0.6186440677966102,0.5,0.5423728813559322,1.0
off_vs_def_gap,Underdog,Independent FBS vs Unknown,2023,1.0,0.0,1.0,0.0,0.0,-11.833333333333332,0.0,,,,1.0
off_vs_def_gap,Underdog,Unknown vs Independent FBS,2024,1.0,1.0,0.0,0.0,1.0,2.333333333333332,1.0,-1.0,-1.0,0.0,1.0
off_vs_def_gap,Underdog,Unknown vs Independent FBS,2025,1.0,1.0,0.0,0.0,1.0,11.666666666666666,1.0,1.0,1.0,1.0,1.0
off_vs_def_gap,Underdog,Unknown vs Unknown,2023,44.0,25.0,19.0,0.0,0.5681818181818182,2.1617424242424246,0.0,,,,1.0
off_vs_def_gap,Underdog,Unknown vs Unknown,2024,33.0,13.0,20.0,0.0,0.3939393939393939,-3.2323232323232323,22.0,0.4318181818181818,0.0,0.45454545454545453,1.0
off_vs_def_gap,Underdog,Unknown vs Unknown,2025,31.0,14.0,16.0,1.0,0.4666666666666667,-0.9838709677419355,30.0,0.2833333333333333,0.0,0.43333333333333335,1.0
overall_gap,Favorite,Independent FBS vs Unknown,2025,1.0,1.0,0.0,0.0,1.0,1.5,1.0,-2.0,-2.0,0.0,1.0
overall_gap,Favorite,Unknown vs Independent FBS,2024,1.0,0.0,1.0,0.0,0.0,-12.666666666666666,0.0,,,,1.0
overall_gap,Favorite,Unknown vs Unknown,2023,51.0,29.0,21.0,1.0,0.58,1.1495098039215685,1.0,0.5,0.5,1.0,1.0
overall_gap,Favorite,Unknown vs Unknown,2024,48.0,24.0,24.0,0.0,0.5,-1.487847222222223,42.0,-0.03571428571428571,0.0,0.30952380952380953,1.0
overall_gap,Favorite,Unknown vs Unknown,2025,50.0,21.0,29.0,0.0,0.42,-1.4133333333333338,50.0,0.69,0.5,0.54,1.0
overall_gap,Underdog,Independent FBS vs Unknown,2024,1.0,0.0,1.0,0.0,0.0,-23.666666666666668,0.0,,,,1.0
overall_gap,Underdog,Unknown vs Independent FBS,2024,1.0,1.0,0.0,0.0,1.0,2.333333333333332,1.0,-1.0,-1.0,0.0,1.0
overall_gap,Underdog,Unknown vs Independent FBS,2025,2.0,2.0,0.0,0.0,1.0,9.75,2.0,0.5,0.5,0.5,1.0
overall_gap,Underdog,Unknown vs Unknown,2023,25.0,17.0,8.0,0.0,0.68,4.227,0.0,,,,1.0
overall_gap,Underdog,Unknown vs Unknown,2024,22.0,9.0,13.0,0.0,0.4090909090909091,-2.8257575757575757,16.0,0.03125,0.0,0.4375,1.0
overall_gap,Underdog,Unknown vs Unknown,2025,26.0,12.0,13.0,1.0,0.48,-2.903846153846154,25.0,0.06,0.0,0.48,1.0
