case,role,matchup_class,spread_bucket,games,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_pct,seasons
def_vs_off_gap,Favorite,Independent FBS vs Unknown,favorite_1_to_7,1.0,0.0,1.0,0.0,0.0,-5.666666666666666,1.0,0.5,0.5,1.0,1.0
def_vs_off_gap,Favorite,Independent FBS vs Unknown,favorite_22plus,2.0,1.0,1.0,0.0,0.5,-4.625,1.0,-2.0,-2.0,0.0,2.0
def_vs_off_gap,Favorite,Unknown vs Independent FBS,favorite_1_to_7,1.0,0.0,1.0,0.0,0.0,-0.1666666666666665,0.0,,,,1.0
def_vs_off_gap,Favorite,Unknown vs Unknown,favorite_15_to_21,30.0,14.0,16.0,0.0,0.4666666666666667,-1.3538888888888891,18.0,0.4722222222222222,0.0,0.4444444444444444,3.0
def_vs_off_gap,Favorite,Unknown vs Unknown,favorite_1_to_7,45.0,24.0,21.0,0.0,0.5333333333333333,-0.3070370370370372,28.0,-0.07142857142857142,0.0,0.32142857142857145,3.0
def_vs_off_gap,Favorite,Unknown vs Unknown,favorite_22plus,44.0,19.0,25.0,0.0,0.4318181818181818,-2.115340909090909,24.0,0.08333333333333333,0.0,0.375,3.0
def_vs_off_gap,Favorite,Unknown vs Unknown,favorite_8_to_14,21.0,10.0,11.0,0.0,0.47619047619047616,-7.775793650793652,13.0,-0.15384615384615385,0.0,0.38461538461538464,3.0
def_vs_off_gap,Underdog,Independent FBS vs Unknown,underdog_15_to_21,1.0,0.0,1.0,0.0,0.0,-23.666666666666668,0.0,,,,1.0
def_vs_off_gap,Underdog,Independent FBS vs Unknown,underdog_1_to_7,1.0,1.0,0.0,0.0,1.0,0.1666666666666665,0.0,,,,1.0
def_vs_off_gap,Underdog,Unknown vs Independent FBS,underdog_1_to_7,1.0,1.0,0.0,0.0,1.0,7.833333333333333,1.0,0.0,0.0,0.0,1.0
def_vs_off_gap,Underdog,Unknown vs Independent FBS,underdog_22plus,1.0,1.0,0.0,0.0,1.0,10.75,0.0,,,,1.0
def_vs_off_gap,Underdog,Unknown vs Unknown,underdog_15_to_21,13.0,6.0,7.0,0.0,0.46153846153846156,-2.0999999999999996,6.0,-1.0833333333333333,0.0,0.16666666666666666,3.0
def_vs_off_gap,Underdog,Unknown vs Unknown,underdog_1_to_7,43.0,16.0,27.0,0.0,0.37209302325581395,-3.137790697674418,27.0,0.2222222222222222,1.0,0.5185185185185185,3.0
def_vs_off_gap,Underdog,Unknown vs Unknown,underdog_22plus,16.0,8.0,7.0,1.0,0.5333333333333333,2.6078124999999996,10.0,-0.4,-0.25,0.4,3.0
