case,threshold,role,season,games,ats_graded,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_games,positive_clv_pct,zero_clv_games,negative_clv_games,avg_opening_spread,avg_closing_spread
def_vs_off_gap,gap_10+,Favorite,2023,51.0,51.0,28.0,23.0,0.0,0.5490196078431373,-0.0990196078431374,0.0,,,0.0,,0.0,0.0,,-17.774509803921568
def_vs_off_gap,gap_10+,Favorite,2024,45.0,45.0,20.0,25.0,0.0,0.4444444444444444,-3.748148148148147,37.0,-0.14864864864864866,0.0,11.0,0.2972972972972973,10.0,16.0,-16.135135135135137,-17.288888888888888
def_vs_off_gap,gap_10+,Favorite,2025,48.0,48.0,20.0,28.0,0.0,0.4166666666666667,-3.170138888888889,48.0,0.21875,0.0,21.0,0.4375,9.0,18.0,-15.0,-15.21875
def_vs_off_gap,gap_10+,Underdog,2023,30.0,30.0,16.0,14.0,0.0,0.5333333333333333,0.0611111111111115,0.0,,,0.0,,0.0,0.0,,13.716666666666667
def_vs_off_gap,gap_10+,Underdog,2024,25.0,25.0,8.0,17.0,0.0,0.32,-4.273333333333333,17.0,-0.20588235294117646,0.0,7.0,0.4117647058823529,3.0,7.0,13.617647058823529,13.84
def_vs_off_gap,gap_10+,Underdog,2025,38.0,38.0,17.0,20.0,1.0,0.4594594594594595,-0.6776315789473686,37.0,0.04054054054054054,0.0,17.0,0.4594594594594595,8.0,12.0,10.04054054054054,9.855263157894736
off_vs_def_gap,gap_10+,Favorite,2023,67.0,67.0,41.0,25.0,1.0,0.6212121212121212,2.6345771144278607,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-16.0,-16.73134328358209
off_vs_def_gap,gap_10+,Favorite,2024,56.0,56.0,30.0,26.0,0.0,0.5357142857142857,0.2931547619047616,45.0,-0.5222222222222223,0.0,12.0,0.26666666666666666,13.0,20.0,-15.033333333333333,-14.044642857142858
off_vs_def_gap,gap_10+,Favorite,2025,60.0,60.0,32.0,28.0,0.0,0.5333333333333333,0.8236111111111112,60.0,0.575,0.5,32.0,0.5333333333333333,11.0,17.0,-14.266666666666667,-14.841666666666667
off_vs_def_gap,gap_10+,Underdog,2023,45.0,45.0,25.0,20.0,0.0,0.5555555555555556,1.8507407407407412,0.0,,,0.0,,0.0,0.0,,10.577777777777778
off_vs_def_gap,gap_10+,Underdog,2024,34.0,34.0,14.0,20.0,0.0,0.4117647058823529,-3.0686274509803924,23.0,0.3695652173913043,0.0,10.0,0.43478260869565216,6.0,7.0,12.217391304347826,11.426470588235293
off_vs_def_gap,gap_10+,Underdog,2025,32.0,32.0,15.0,16.0,1.0,0.4838709677419355,-0.5885416666666664,31.0,0.3064516129032258,0.0,14.0,0.45161290322580644,6.0,11.0,10.612903225806452,10.125
overall_gap,gap_10+,Favorite,2023,51.0,51.0,29.0,21.0,1.0,0.58,1.1495098039215685,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-16.0,-17.96078431372549
overall_gap,gap_10+,Favorite,2024,49.0,49.0,24.0,25.0,0.0,0.4897959183673469,-1.715986394557824,42.0,-0.03571428571428571,0.0,13.0,0.30952380952380953,14.0,15.0,-15.761904761904763,-15.285714285714286
overall_gap,gap_10+,Favorite,2025,51.0,51.0,22.0,29.0,0.0,0.43137254901960786,-1.3562091503267972,51.0,0.6372549019607843,0.5,27.0,0.5294117647058824,10.0,14.0,-16.08823529411765,-16.725490196078432
overall_gap,gap_10+,Underdog,2023,25.0,25.0,17.0,8.0,0.0,0.68,4.227,0.0,,,0.0,,0.0,0.0,,10.46
overall_gap,gap_10+,Underdog,2024,24.0,24.0,10.0,14.0,0.0,0.4166666666666667,-3.4791666666666665,17.0,-0.029411764705882353,0.0,7.0,0.4117647058823529,4.0,6.0,12.735294117647058,12.354166666666666
overall_gap,gap_10+,Underdog,2025,28.0,28.0,14.0,13.0,1.0,0.5185185185185185,-1.9999999999999998,27.0,0.09259259259259259,0.0,13.0,0.48148148148148145,5.0,9.0,11.148148148148149,10.821428571428571
