case,threshold,role,spread_bucket,season,games,ats_graded,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_games,positive_clv_pct,zero_clv_games,negative_clv_games,avg_opening_spread,avg_closing_spread
def_vs_off_gap,gap_10+,Favorite,favorite_15_to_21,2023,10.0,10.0,5.0,5.0,0.0,0.5,-2.603333333333334,0.0,,,0.0,,0.0,0.0,,-18.65
def_vs_off_gap,gap_10+,Favorite,favorite_15_to_21,2024,11.0,11.0,6.0,5.0,0.0,0.5454545454545454,1.5757575757575757,9.0,-0.1111111111111111,0.0,2.0,0.2222222222222222,3.0,4.0,-18.77777777777778,-18.818181818181817
def_vs_off_gap,gap_10+,Favorite,favorite_15_to_21,2025,9.0,9.0,3.0,6.0,0.0,0.3333333333333333,-3.5462962962962963,9.0,1.0555555555555556,1.0,6.0,0.6666666666666666,2.0,1.0,-17.666666666666668,-18.72222222222222
def_vs_off_gap,gap_10+,Favorite,favorite_1_to_7,2023,17.0,17.0,11.0,6.0,0.0,0.6470588235294118,2.0745098039215684,0.0,,,0.0,,0.0,0.0,,-4.470588235294118
def_vs_off_gap,gap_10+,Favorite,favorite_1_to_7,2024,13.0,13.0,4.0,9.0,0.0,0.3076923076923077,-3.910256410256411,12.0,-0.041666666666666664,-0.25,3.0,0.25,3.0,6.0,-2.8333333333333335,-2.8461538461538463
def_vs_off_gap,gap_10+,Favorite,favorite_1_to_7,2025,17.0,17.0,9.0,8.0,0.0,0.5294117647058824,-0.24019607843137264,17.0,-0.058823529411764705,0.0,7.0,0.4117647058823529,3.0,7.0,-4.264705882352941,-4.205882352941177
def_vs_off_gap,gap_10+,Favorite,favorite_22plus,2023,18.0,18.0,8.0,10.0,0.0,0.4444444444444444,-0.5597222222222222,0.0,,,0.0,,0.0,0.0,,-31.88888888888889
def_vs_off_gap,gap_10+,Favorite,favorite_22plus,2024,15.0,15.0,8.0,7.0,0.0,0.5333333333333333,-3.2111111111111117,12.0,-0.25,0.0,5.0,0.4166666666666667,3.0,4.0,-28.916666666666668,-31.0
def_vs_off_gap,gap_10+,Favorite,favorite_22plus,2025,13.0,13.0,4.0,9.0,0.0,0.3076923076923077,-3.391025641025642,13.0,0.23076923076923078,0.0,4.0,0.3076923076923077,3.0,6.0,-29.384615384615383,-29.615384615384617
def_vs_off_gap,gap_10+,Favorite,favorite_8_to_14,2023,6.0,6.0,4.0,2.0,0.0,0.6666666666666666,-0.7013888888888881,0.0,,,0.0,,0.0,0.0,,-11.666666666666666
def_vs_off_gap,gap_10+,Favorite,favorite_8_to_14,2024,6.0,6.0,2.0,4.0,0.0,0.3333333333333333,-14.5,4.0,-0.25,-0.25,1.0,0.25,1.0,2.0,-11.75,-11.5
def_vs_off_gap,gap_10+,Favorite,favorite_8_to_14,2025,9.0,9.0,4.0,5.0,0.0,0.4444444444444444,-8.00925925925926,9.0,-0.1111111111111111,0.0,4.0,0.4444444444444444,1.0,4.0,-11.833333333333334,-11.722222222222221
def_vs_off_gap,gap_10+,Underdog,underdog_15_to_21,2023,7.0,7.0,4.0,3.0,0.0,0.5714285714285714,1.0523809523809529,0.0,,,0.0,,0.0,0.0,,19.0
def_vs_off_gap,gap_10+,Underdog,underdog_15_to_21,2024,4.0,4.0,1.0,3.0,0.0,0.25,-7.833333333333333,3.0,-1.5,0.0,1.0,0.3333333333333333,1.0,1.0,16.0,17.75
def_vs_off_gap,gap_10+,Underdog,underdog_15_to_21,2025,3.0,3.0,1.0,2.0,0.0,0.3333333333333333,-8.999999999999998,3.0,-0.6666666666666666,0.0,0.0,0.0,2.0,1.0,16.833333333333332,17.5
def_vs_off_gap,gap_10+,Underdog,underdog_1_to_7,2023,13.0,13.0,6.0,7.0,0.0,0.46153846153846156,-2.4814102564102565,0.0,,,0.0,,0.0,0.0,,4.3076923076923075
def_vs_off_gap,gap_10+,Underdog,underdog_1_to_7,2024,10.0,10.0,3.0,7.0,0.0,0.3,-4.866666666666666,7.0,0.5,1.5,4.0,0.5714285714285714,1.0,2.0,5.642857142857143,5.05
def_vs_off_gap,gap_10+,Underdog,underdog_1_to_7,2025,22.0,22.0,9.0,13.0,0.0,0.4090909090909091,-2.090909090909091,21.0,0.11904761904761904,0.0,10.0,0.47619047619047616,3.0,8.0,3.8333333333333335,3.75
def_vs_off_gap,gap_10+,Underdog,underdog_22plus,2023,5.0,5.0,3.0,2.0,0.0,0.6,3.961666666666667,0.0,,,0.0,,0.0,0.0,,32.2
def_vs_off_gap,gap_10+,Underdog,underdog_22plus,2024,7.0,7.0,3.0,4.0,0.0,0.42857142857142855,0.6428571428571429,5.0,-0.2,-0.5,2.0,0.4,0.0,3.0,24.8,27.714285714285715
def_vs_off_gap,gap_10+,Underdog,underdog_22plus,2025,5.0,5.0,3.0,1.0,1.0,0.75,5.633333333333334,5.0,-0.6,0.0,2.0,0.4,1.0,2.0,29.7,30.3
def_vs_off_gap,gap_10+,Underdog,underdog_8_to_14,2023,5.0,5.0,3.0,2.0,0.0,0.6,1.3833333333333333,0.0,,,0.0,,0.0,0.0,,12.3
def_vs_off_gap,gap_10+,Underdog,underdog_8_to_14,2024,3.0,3.0,1.0,2.0,0.0,0.3333333333333333,-9.888888888888888,2.0,-0.75,-0.75,0.0,0.0,1.0,1.0,10.0,9.666666666666666
def_vs_off_gap,gap_10+,Underdog,underdog_8_to_14,2025,8.0,8.0,4.0,4.0,0.0,0.5,2.385416666666667,8.0,0.5,1.0,5.0,0.625,2.0,1.0,11.5,11.0
def_vs_off_gap,gap_10+,Underdog,unknown,2024,1.0,1.0,0.0,1.0,0.0,0.0,-1.6666666666666667,0.0,,,0.0,,0.0,0.0,,1.5
off_vs_def_gap,gap_10+,Favorite,favorite_15_to_21,2023,9.0,9.0,5.0,4.0,0.0,0.5555555555555556,-0.9861111111111112,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-16.0,-17.38888888888889
off_vs_def_gap,gap_10+,Favorite,favorite_15_to_21,2024,16.0,16.0,10.0,6.0,0.0,0.625,3.21875,14.0,-0.5714285714285714,-0.25,4.0,0.2857142857142857,3.0,7.0,-17.321428571428573,-17.09375
off_vs_def_gap,gap_10+,Favorite,favorite_15_to_21,2025,11.0,11.0,4.0,7.0,0.0,0.36363636363636365,-7.431818181818181,11.0,1.3636363636363635,1.0,8.0,0.7272727272727273,2.0,1.0,-16.40909090909091,-17.772727272727273
off_vs_def_gap,gap_10+,Favorite,favorite_1_to_7,2023,21.0,21.0,12.0,8.0,1.0,0.6,2.8793650793650793,0.0,,,0.0,,0.0,0.0,,-4.119047619047619
off_vs_def_gap,gap_10+,Favorite,favorite_1_to_7,2024,17.0,17.0,8.0,9.0,0.0,0.47058823529411764,-0.4362745098039215,13.0,-0.5,0.0,3.0,0.23076923076923078,5.0,5.0,-3.5384615384615383,-2.8823529411764706
off_vs_def_gap,gap_10+,Favorite,favorite_1_to_7,2025,21.0,21.0,14.0,7.0,0.0,0.6666666666666666,6.428571428571427,21.0,0.30952380952380953,0.0,10.0,0.47619047619047616,5.0,6.0,-4.714285714285714,-5.023809523809524
off_vs_def_gap,gap_10+,Favorite,favorite_22plus,2023,23.0,23.0,13.0,10.0,0.0,0.5652173913043478,2.4644927536231878,0.0,,,0.0,,0.0,0.0,,-31.369565217391305
off_vs_def_gap,gap_10+,Favorite,favorite_22plus,2024,13.0,13.0,6.0,7.0,0.0,0.46153846153846156,-4.602564102564102,11.0,-0.3181818181818182,0.0,4.0,0.36363636363636365,3.0,4.0,-30.09090909090909,-29.307692307692307
off_vs_def_gap,gap_10+,Favorite,favorite_22plus,2025,16.0,16.0,6.0,10.0,0.0,0.375,-2.083333333333333,16.0,0.53125,0.0,7.0,0.4375,4.0,5.0,-28.0,-28.53125
off_vs_def_gap,gap_10+,Favorite,favorite_8_to_14,2023,14.0,14.0,11.0,3.0,0.0,0.7857142857142857,4.8744047619047635,0.0,,,0.0,,0.0,0.0,,-11.178571428571429
off_vs_def_gap,gap_10+,Favorite,favorite_8_to_14,2024,9.0,9.0,5.0,4.0,0.0,0.5555555555555556,3.518518518518519,6.0,-1.1666666666666667,-0.75,0.0,0.0,2.0,4.0,-9.916666666666666,-9.333333333333334
off_vs_def_gap,gap_10+,Favorite,favorite_8_to_14,2025,12.0,12.0,8.0,4.0,0.0,0.6666666666666666,2.4583333333333335,12.0,0.375,1.0,7.0,0.5833333333333334,0.0,5.0,-10.708333333333334,-11.083333333333334
